#depth	Te	cC/dT	dt/dr	d^2T/dr^2
3.56946e+18	1.4480e+04	9.24e-34	-2.15e-19	-5.01e-36
3.65628e+18	1.4480e+04	9.24e-34	2.42e-19	5.56e-36
3.73442e+18	1.4480e+04	9.24e-34	-2.90e-19	-7.19e-36
3.80475e+18	1.4480e+04	9.24e-34	4.00e-19	1.04e-35
3.86805e+18	1.4480e+04	9.24e-34	-4.85e-19	-1.48e-35
3.92502e+18	1.4480e+04	9.24e-34	4.21e-19	1.68e-35
3.97629e+18	1.4480e+04	9.24e-34	-4.11e-19	-1.71e-35
4.02277e+18	1.4480e+04	9.24e-34	3.25e-19	1.66e-35
4.06716e+18	1.4480e+04	9.24e-34	-4.25e-19	-1.69e-35
4.11155e+18	1.4480e+04	9.24e-34	4.44e-19	1.96e-35
4.15593e+18	1.4480e+04	9.24e-34	-5.09e-19	-2.15e-35
4.20032e+18	1.4480e+04	9.24e-34	3.29e-19	1.89e-35
4.24471e+18	1.4480e+04	9.24e-34	-3.06e-19	-1.43e-35
4.28910e+18	1.4480e+04	9.24e-34	2.76e-19	1.31e-35
4.33349e+18	1.4480e+04	9.24e-34	-3.28e-19	-1.36e-35
4.37788e+18	1.4480e+04	9.24e-34	3.04e-19	1.42e-35
4.41892e+18	1.4480e+04	9.24e-34	-4.12e-19	-1.90e-35
4.41892e+18	1.4480e+04	9.24e-34	-4.12e-19	0.00e+00
