# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+2 N+4 O O+2 O+5 O+6 Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
3.01994e+16 3.89237e+20 11206300000000.0 1048810000000000.0 1642350000000000.0 180127000000000.0 599256000000000.0 128673000.0 670582000000000.0 2805070000000000.0 1554740000000000.0 41165600000.0 1427360000000.0 3670760000000.0 116845000000000.0 -4.6 4.462 [-4.6]
3.01994e+16 3.69076e+20 11801400000000.0 1072210000000000.0 1617480000000000.0 185011000000000.0 566139000000000.0 142940000.0 691344000000000.0 2544030000000000.0 1352350000000000.0 46779500000.0 1598380000000.0 3984770000000.0 120152000000000.0 -4.58 4.458 [-4.58]
3.01994e+16 3.49972e+20 12410900000000.0 1094500000000000.0 1590690000000000.0 189718000000000.0 533835000000000.0 158802000.0 711784000000000.0 2303240000000000.0 1174510000000000.0 53054200000.0 1786920000000.0 4319060000000.0 123348000000000.0 -4.56 4.454 [-4.56]
3.01994e+16 3.31849e+20 13031800000000.0 1115500000000000.0 1562090000000000.0 194217000000000.0 502411000000000.0 176415000.0 731818000000000.0 2081580000000000.0 1018420000000000.0 60045200000.0 1994300000000.0 4674550000000.0 126417000000000.0 -4.54 4.45 [-4.54]
3.01994e+16 3.14738e+20 13673700000000.0 1135430000000000.0 1531760000000000.0 198549000000000.0 471964000000000.0 196183000.0 751555000000000.0 1878130000000000.0 881986000000000.0 67847100000.0 2222370000000.0 5050180000000.0 129342000000000.0 -4.52 4.446 [-4.52]
3.01994e+16 2.985e+20 14324400000000.0 1153880000000000.0 1499770000000000.0 202638000000000.0 442523000000000.0 218142000.0 770791000000000.0 1691620000000000.0 762574000000000.0 76503600000.0 2472260000000.0 5447880000000.0 132108000000000.0 -4.5 4.443 [-4.5]
3.01994e+16 2.83092e+20 14982100000000.0 1170760000000000.0 1466250000000000.0 206473000000000.0 414146000000000.0 242558000.0 789487000000000.0 1521000000000000.0 658206000000000.0 86085100000.0 2745510000000.0 5868160000000.0 134700000000000.0 -4.48 4.439 [-4.48]
3.01994e+16 2.68552e+20 15661000000000.0 1186380000000000.0 1431370000000000.0 210106000000000.0 386897000000000.0 270025000.0 807770000000000.0 1365370000000000.0 567444000000000.0 96715400000.0 3044320000000.0 6308960000000.0 137102000000000.0 -4.46 4.435 [-4.46]
3.01994e+16 2.54719e+20 16338400000000.0 1200100000000000.0 1395150000000000.0 213427000000000.0 360763000000000.0 300527000.0 825337000000000.0 1223480000000000.0 488299000000000.0 108412000000.0 3369500000000.0 6773400000000.0 139298000000000.0 -4.44 4.432 [-4.44]
3.01994e+16 2.41634e+20 17027300000000.0 1212240000000000.0 1357800000000000.0 216495000000000.0 335798000000000.0 334665000.0 842319000000000.0 1094570000000000.0 419608000000000.0 121303000000.0 3723230000000.0 7259300000000.0 141274000000000.0 -4.42 4.428 [-4.42]
3.01994e+16 2.29233e+20 17720600000000.0 1222610000000000.0 1319410000000000.0 219276000000000.0 312003000000000.0 372764000.0 858599000000000.0 977778000000000.0 360063000000000.0 135458000000.0 4106940000000.0 7767340000000.0 143018000000000.0 -4.4 4.424 [-4.4]
3.01994e+16 2.17487e+20 18420000000000.0 1231240000000000.0 1280120000000000.0 221776000000000.0 289388000000000.0 415349000.0 874169000000000.0 872174000000000.0 308534000000000.0 150974000000.0 4522310000000.0 8296390000000.0 144515000000000.0 -4.38 4.421 [-4.38]
3.01994e+16 2.06379e+20 19131600000000.0 1238230000000000.0 1240080000000000.0 224005000000000.0 267948000000000.0 463181000.0 889026000000000.0 776880000000000.0 264041000000000.0 167984000000.0 4971520000000.0 8844480000000.0 145751000000000.0 -4.36 4.417 [-4.36]
3.01995e+16 1.95803e+20 19828500000000.0 1242950000000000.0 1199360000000000.0 225873000000000.0 247655000000000.0 516374000.0 902921000000000.0 690943000000000.0 225544000000000.0 186461000000.0 5454530000000.0 9415020000000.0 146712000000000.0 -4.34 4.414 [-4.34]
3.01994e+16 1.85799e+20 20530500000000.0 1245930000000000.0 1158190000000000.0 227456000000000.0 228517000000000.0 575957000.0 916035000000000.0 613684000000000.0 192417000000000.0 206591000000.0 5973990000000.0 10003500000000.0 147394000000000.0 -4.32 4.41 [-4.32]
3.01994e+16 1.76323e+20 21233200000000.0 1247080000000000.0 1116690000000000.0 228737000000000.0 210508000000000.0 642665000.0 928301000000000.0 544328000000000.0 163930000000000.0 228455000000.0 6531210000000.0 10609000000000.0 147789000000000.0 -4.3 4.407 [-4.3]
3.01995e+16 1.67339e+20 21930800000000.0 1246320000000000.0 1075000000000000.0 229706000000000.0 193597000000000.0 717231000.0 939671000000000.0 482154000000000.0 139456000000000.0 252119000000.0 7127000000000.0 11230800000000.0 147886000000000.0 -4.28 4.403 [-4.28]
3.01995e+16 1.58828e+20 22625400000000.0 1243750000000000.0 1033250000000000.0 230374000000000.0 177756000000000.0 800675000.0 950142000000000.0 426521000000000.0 118477000000000.0 277686000000.0 7762630000000.0 11866400000000.0 147681000000000.0 -4.26 4.4 [-4.26]
3.01995e+16 1.50752e+20 23310600000000.0 1239240000000000.0 991578000000000.0 230723000000000.0 162945000000000.0 894088000.0 959640000000000.0 376800000000000.0 100503000000000.0 305209000000.0 8438590000000.0 12514600000000.0 147167000000000.0 -4.24 4.396 [-4.24]
3.01995e+16 1.43095e+20 23986600000000.0 1232920000000000.0 950106000000000.0 230768000000000.0 149132000000000.0 998525000.0 968179000000000.0 332444000000000.0 85137700000000.0 334761000000.0 9155280000000.0 13172500000000.0 146342000000000.0 -4.22 4.393 [-4.22]
3.01995e+16 1.35845e+20 24658900000000.0 1224980000000000.0 908988000000000.0 230527000000000.0 136277000000000.0 1115480000.0 975784000000000.0 292946000000000.0 72030700000000.0 366463000000.0 9913780000000.0 13836300000000.0 145208000000000.0 -4.2 4.389 [-4.2]
3.01995e+16 1.28956e+20 25310200000000.0 1215130000000000.0 868307000000000.0 229965000000000.0 124334000000000.0 1246040000.0 982327000000000.0 257797000000000.0 60850400000000.0 400232000000.0 10711900000000.0 14506100000000.0 143757000000000.0 -4.18 4.386 [-4.18]
3.01995e+16 1.22426e+20 25951800000000.0 1203680000000000.0 828176000000000.0 229120000000000.0 113264000000000.0 1392200000.0 987887000000000.0 226584000000000.0 51340700000000.0 436218000000.0 11550900000000.0 15176000000000.0 142000000000000.0 -4.16 4.382 [-4.16]
3.01995e+16 1.16231e+20 26577300000000.0 1190600000000000.0 788700000000000.0 227987000000000.0 103023000000000.0 1555640000.0 992418000000000.0 198899000000000.0 43258900000000.0 474396000000.0 12428800000000.0 15843400000000.0 139936000000000.0 -4.14 4.379 [-4.14]
