# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH parameters
1.23033e+18 2.37254e+21 2.34287e+16 3.5365e+18 1.05703e+18 5549380000000000.0 7.43725e+17 1.76951e+17 23390200000000.0 7.35803e+18 9.39112e+17 5.63752e+17 51572600000000.0 1.47346e+16 6.65068e+16 3.17586e+17 1.64252e+17 -4.64 [-4.64]
1.23027e+18 2.26024e+21 2.35185e+16 3.4004e+18 1.01639e+18 5573760000000000.0 7.15456e+17 1.69497e+17 24894500000000.0 7.04914e+18 8.67585e+17 4.98987e+17 52856300000000.0 1.52545e+16 6.5857e+16 3.02326e+17 1.56184e+17 -4.62 [-4.62]
1.23033e+18 2.15278e+21 2.36208e+16 3.27189e+18 9.77031e+17 5600050000000000.0 6.88783e+17 1.61909e+17 26507000000000.0 6.75617e+18 7.97675e+17 4.3859e+17 54146200000000.0 1.5777e+16 6.5162e+16 2.87723e+17 1.48675e+17 -4.6 [-4.6]
1.23039e+18 2.05048e+21 2.37169e+16 3.14728e+18 9.3855e+17 5620070000000000.0 6.62844e+17 1.54458e+17 28174800000000.0 6.4722e+18 7.33338e+17 3.86125e+17 55398900000000.0 1.62726e+16 6.43689e+16 2.73621e+17 1.41669e+17 -4.58 [-4.58]
1.23036e+18 1.95213e+21 2.38235e+16 3.02883e+18 9.01236e+17 5642910000000000.0 6.3818e+17 1.4689e+17 29973300000000.0 6.20173e+18 6.70311e+17 3.36945e+17 56645200000000.0 1.67751e+16 6.35298e+16 2.60069e+17 1.35098e+17 -4.56 [-4.56]
1.23036e+18 1.85816e+21 2.39398e+16 2.91634e+18 8.65059e+17 5667810000000000.0 6.1487e+17 1.39315e+17 31905100000000.0 5.94416e+18 6.09686e+17 2.91854e+17 57913900000000.0 1.72703e+16 6.26698e+16 2.47068e+17 1.28969e+17 -4.54 [-4.54]
1.23043e+18 1.76825e+21 2.40604e+16 2.80802e+18 8.29519e+17 5689800000000000.0 5.92333e+17 1.31815e+17 33940100000000.0 5.69579e+18 5.52882e+17 2.51903e+17 59157400000000.0 1.77465e+16 6.17349e+16 2.34557e+17 1.23225e+17 -4.52 [-4.52]
1.23032e+18 1.6822e+21 2.41833e+16 2.70449e+18 7.94743e+17 5712650000000000.0 5.70783e+17 1.24375e+17 36111300000000.0 5.45807e+18 4.99043e+17 2.15898e+17 60375500000000.0 1.82129e+16 6.07545e+16 2.22568e+17 1.17818e+17 -4.5 [-4.5]
1.23035e+18 1.59949e+21 2.43111e+16 2.60416e+18 7.60823e+17 5731880000000000.0 5.49872e+17 1.17015e+17 38401500000000.0 5.22816e+18 4.48249e+17 1.83664e+17 61581900000000.0 1.86519e+16 5.97011e+16 2.10977e+17 1.12737e+17 -4.48 [-4.48]
1.2303e+18 1.5207e+21 2.44507e+16 2.50907e+18 7.27421e+17 5754900000000000.0 5.30009e+17 1.09776e+17 40879900000000.0 5.00912e+18 4.00483e+17 1.54988e+17 62776300000000.0 1.90877e+16 5.86298e+16 1.99953e+17 1.07964e+17 -4.46 [-4.46]
1.23027e+18 1.44492e+21 2.45977e+16 2.41798e+18 6.93905e+17 5778280000000000.0 5.10921e+17 1.02624e+17 43515600000000.0 4.79834e+18 3.55518e+17 1.29479e+17 63930200000000.0 1.95094e+16 5.75023e+16 1.89408e+17 1.03415e+17 -4.44 [-4.44]
1.2303e+18 1.3722e+21 2.47585e+16 2.32969e+18 6.61124e+17 5802740000000000.0 4.92394e+17 9.56613e+16 46393500000000.0 4.5944e+18 3.13536e+17 1.07002e+17 65120900000000.0 1.99093e+16 5.63615e+16 1.79221e+17 9.90958e+16 -4.42 [-4.42]
1.23028e+18 1.30281e+21 2.49167e+16 2.24522e+18 6.29007e+17 5826390000000000.0 4.74616e+17 8.88491e+16 49408800000000.0 4.39962e+18 2.74448e+17 8.73497e+16 66220800000000.0 2.02897e+16 5.51461e+16 1.69557e+17 9.50062e+16 -4.4 [-4.4]
1.23043e+18 1.23667e+21 2.50873e+16 2.16468e+18 5.97238e+17 5850910000000000.0 4.57608e+17 8.22699e+16 52643100000000.0 4.21325e+18 2.38249e+17 7.03065e+16 67314300000000.0 2.06415e+16 5.39121e+16 1.60393e+17 9.11348e+16 -4.38 [-4.38]
1.23028e+18 1.17263e+21 2.52653e+16 2.08497e+18 5.65657e+17 5876600000000000.0 4.40692e+17 7.59263e+16 56170800000000.0 4.03034e+18 2.05022e+17 5.57364e+16 68385700000000.0 2.09789e+16 5.26364e+16 1.51466e+17 8.73519e+16 -4.36 [-4.36]
1.23036e+18 1.1114e+21 2.54743e+16 2.00955e+18 5.33655e+17 5909100000000000.0 4.24595e+17 6.9811e+16 60080500000000.0 3.85518e+18 1.74276e+17 4.31572e+16 69480900000000.0 2.13053e+16 5.1373e+16 1.43039e+17 8.37343e+16 -4.34 [-4.34]
1.23027e+18 1.05334e+21 2.56664e+16 1.93568e+18 5.03023e+17 5934610000000000.0 4.08804e+17 6.40369e+16 64099800000000.0 3.68699e+18 1.46865e+17 3.30058e+16 70470200000000.0 2.15771e+16 5.00285e+16 1.35036e+17 8.02497e+16 -4.32 [-4.32]
1.23046e+18 9.97097e+20 2.58963e+16 1.86407e+18 4.71233e+17 5962260000000000.0 3.93327e+17 5.85426e+16 68465200000000.0 3.5233e+18 1.22038e+17 2.46428e+16 71455600000000.0 2.18176e+16 4.86691e+16 1.27488e+17 7.67751e+16 -4.3 [-4.3]
1.23041e+18 9.44101e+20 2.6111e+16 1.79379e+18 4.41231e+17 5988620000000000.0 3.78212e+17 5.34382e+16 73109500000000.0 3.3663e+18 1.00264e+17 1.80994e+16 72391400000000.0 2.20133e+16 4.72908e+16 1.20287e+17 7.3429e+16 -4.28 [-4.28]
1.23035e+18 8.93924e+20 2.63184e+16 1.72525e+18 4.12417e+17 6023020000000000.0 3.63469e+17 4.86474e+16 78269400000000.0 3.21561e+18 8.10123e+16 1.30272e+16 73248600000000.0 2.22312e+16 4.58834e+16 1.13394e+17 7.01713e+16 -4.26 [-4.26]
1.23029e+18 8.45192e+20 2.65605e+16 1.6564e+18 3.82873e+17 6052190000000000.0 3.4857e+17 4.42847e+16 83752300000000.0 3.06701e+18 6.50803e+16 9379530000000000.0 74095200000000.0 2.23725e+16 4.44506e+16 1.06912e+17 6.68008e+16 -4.24 [-4.24]
1.23038e+18 7.99798e+20 2.67705e+16 1.58907e+18 3.56062e+17 6085370000000000.0 3.34195e+17 4.02603e+16 89714600000000.0 2.926e+18 5.17638e+16 6651350000000000.0 74876900000000.0 2.24971e+16 4.30124e+16 1.00759e+17 6.35461e+16 -4.22 [-4.22]
1.23029e+18 7.56113e+20 2.69874e+16 1.52181e+18 3.30018e+17 6121140000000000.0 3.19943e+17 3.64957e+16 96183000000000.0 2.78886e+18 4.09091e+16 4700300000000000.0 75627100000000.0 2.259e+16 4.15588e+16 9.49276e+16 6.02165e+16 -4.2 [-4.2]
1.23035e+18 7.16151e+20 2.71571e+16 1.45766e+18 3.06739e+17 6159690000000000.0 3.06467e+17 3.31518e+16 103160000000000.0 2.65999e+18 3.235e+16 3332380000000000.0 76263900000000.0 2.26679e+16 4.01147e+16 8.94425e+16 5.71648e+16 -4.18 [-4.18]
1.23039e+18 6.77786e+20 2.7306e+16 1.39359e+18 2.84715e+17 6201980000000000.0 2.93165e+17 3.00232e+16 110766000000000.0 2.53432e+18 2.57222e+16 2403350000000000.0 76837000000000.0 2.27291e+16 3.8649e+16 8.41927e+16 5.40814e+16 -4.16 [-4.16]
1.23029e+18 6.41394e+20 2.74368e+16 1.33026e+18 2.64343e+17 6243270000000000.0 2.80126e+17 2.72332e+16 118831000000000.0 2.41238e+18 2.08489e+16 1795880000000000.0 77358200000000.0 2.27396e+16 3.71862e+16 7.9272e+16 5.10262e+16 -4.14 [-4.14]
1.23028e+18 6.06919e+20 2.75492e+16 1.26862e+18 2.45361e+17 6288180000000000.0 2.6755e+17 2.46747e+16 127573000000000.0 2.2955e+18 1.71151e+16 1376620000000000.0 77825700000000.0 2.27249e+16 3.57352e+16 7.46445e+16 4.80517e+16 -4.12 [-4.12]
1.23042e+18 5.74949e+20 2.76305e+16 1.21012e+18 2.28238e+17 6338220000000000.0 2.55681e+17 2.23717e+16 137073000000000.0 2.18503e+18 1.41532e+16 1067990000000000.0 78224400000000.0 2.26995e+16 3.43063e+16 7.03112e+16 4.52735e+16 -4.1 [-4.1]
1.23046e+18 5.44406e+20 2.76852e+16 1.15288e+18 2.12328e+17 6389890000000000.0 2.4412e+17 2.02844e+16 147263000000000.0 2.07769e+18 1.18083e+16 841116000000000.0 78552800000000.0 2.26461e+16 3.28793e+16 6.61939e+16 4.25676e+16 -4.08 [-4.08]
1.23041e+18 5.15335e+20 2.77318e+16 1.09778e+18 1.97323e+17 6446620000000000.0 2.33048e+17 1.83348e+16 158317000000000.0 1.97501e+18 9837910000000000.0 662393000000000.0 78853100000000.0 2.25643e+16 3.14811e+16 6.23393e+16 3.99302e+16 -4.06 [-4.06]
1.23036e+18 4.87994e+20 2.77622e+16 1.04515e+18 1.8349e+17 6505660000000000.0 2.22505e+17 1.6573e+16 170150000000000.0 1.87741e+18 8232090000000000.0 525395000000000.0 79111800000000.0 2.2449e+16 3.01201e+16 5.87493e+16 3.74196e+16 -4.04 [-4.04]
1.23031e+18 4.61829e+20 2.77825e+16 9.9428e+17 1.7038e+17 6572770000000000.0 2.12348e+17 1.49302e+16 183195000000000.0 1.78339e+18 6878980000000000.0 416771000000000.0 79341800000000.0 2.23239e+16 2.87778e+16 5.53418e+16 3.49717e+16 -4.02 [-4.02]
1.23028e+18 4.37062e+20 2.77768e+16 9.45412e+17 1.58276e+17 6643240000000000.0 2.02561e+17 1.34573e+16 197300000000000.0 1.69312e+18 5769140000000000.0 332294000000000.0 79485700000000.0 2.21892e+16 2.74471e+16 5.2125e+16 3.26485e+16 -4.0 [-4.0]
1.2303e+18 4.13938e+20 2.77724e+16 8.99267e+17 1.47167e+17 6714890000000000.0 1.93316e+17 1.21457e+16 212260000000000.0 1.60798e+18 4860330000000000.0 266614000000000.0 79631100000000.0 2.20147e+16 2.61799e+16 4.91655e+16 3.04583e+16 -3.98 [-3.98]
1.23034e+18 3.91774e+20 2.775e+16 8.54642e+17 1.36663e+17 6792180000000000.0 1.84371e+17 1.09323e+16 228564000000000.0 1.52584e+18 4088650000000000.0 213732000000000.0 79720400000000.0 2.18277e+16 2.49328e+16 4.63564e+16 2.83336e+16 -3.96 [-3.96]
