#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string
000000095	F	F	                  ok	4	503	-5.000000	1.750000	-5.000000, 1.750000
000000096	F	F	                  ok	9	488	-5.000000	1.800000	-5.000000, 1.800000
000000097	F	F	                  ok	9	1667	-5.000000	1.850000	-5.000000, 1.850000


000000099	F	F	                  ok	6	1351	-5.000000	1.950000	-5.000000, 1.950000
000000100	F	F	                  ok	5	1201	-5.000000	2.000000	-5.000000, 2.000000
000000101	F	F	                  ok	0	1057	-4.980000	-3.000000	-4.980000, -3.000000
000000102	F	F	                  ok	2	1705	-4.980000	-2.950000	-4.980000, -2.950000
000000103	F	F	                  ok	1	724	-4.980000	-2.900000	-4.980000, -2.900000
000000104	F	F	                  ok	11	1059	-4.980000	-2.850000	-4.980000, -2.850000


000000106	F	F	                  ok	4	321	-4.980000	-2.750000	-4.980000, -2.750000
000000107	F	F	                  ok	3	10	-4.980000	-2.700000	-4.980000, -2.700000
000000108	F	F	                  ok	5	953	-4.980000	-2.650000	-4.980000, -2.650000
000000109	F	F	                  ok	7	822	-4.980000	-2.600000	-4.980000, -2.600000


000000111	F	F	                  ok	0	706	-4.980000	-2.500000	-4.980000, -2.500000
000000112	F	F	                  ok	9	1163	-4.980000	-2.450000	-4.980000, -2.450000
000000113	F	F	                  ok	6	650	-4.980000	-2.400000	-4.980000, -2.400000
000000114	F	F	                  ok	7	1469	-4.980000	-2.350000	-4.980000, -2.350000
000000115	F	F	                  ok	2	1170	-4.980000	-2.300000	-4.980000, -2.300000


000000117	F	F	                  ok	1	159	-4.980000	-2.200000	-4.980000, -2.200000
000000118	F	F	                  ok	3	225	-4.980000	-2.150000	-4.980000, -2.150000
000000119	F	F	                  ok	11	637	-4.980000	-2.100000	-4.980000, -2.100000
000000120	F	F	                  ok	2	441	-4.980000	-2.050000	-4.980000, -2.050000
000000121	F	F	                  ok	0	1594	-4.980000	-2.000000	-4.980000, -2.000000
000000122	F	F	                  ok	0	1965	-4.980000	-1.950000	-4.980000, -1.950000
000000123	F	F	                  ok	11	549	-4.980000	-1.900000	-4.980000, -1.900000
000000124	F	F	                  ok	7	916	-4.980000	-1.850000	-4.980000, -1.850000
000000125	F	F	                  ok	4	1258	-4.980000	-1.800000	-4.980000, -1.800000
000000126	F	F	                  ok	6	1385	-4.980000	-1.750000	-4.980000, -1.750000
000000127	F	F	                  ok	6	423	-4.980000	-1.700000	-4.980000, -1.700000


000000129	F	F	                  ok	4	395	-4.980000	-1.600000	-4.980000, -1.600000


000000131	F	F	                  ok	4	631	-4.980000	-1.500000	-4.980000, -1.500000
000000132	F	F	                  ok	0	249	-4.980000	-1.450000	-4.980000, -1.450000
000000133	F	F	                  ok	0	1050	-4.980000	-1.400000	-4.980000, -1.400000


000000135	F	F	                  ok	7	1215	-4.980000	-1.300000	-4.980000, -1.300000
000000136	F	F	                  ok	2	1597	-4.980000	-1.250000	-4.980000, -1.250000
000000137	F	F	                  ok	3	676	-4.980000	-1.200000	-4.980000, -1.200000




000000140	F	F	                  ok	8	660	-4.980000	-1.050000	-4.980000, -1.050000
000000141	F	F	                  ok	1	6	-4.980000	-1.000000	-4.980000, -1.000000
000000142	F	F	                  ok	6	400	-4.980000	-0.950000	-4.980000, -0.950000
000000143	F	F	                  ok	6	405	-4.980000	-0.900000	-4.980000, -0.900000
000000144	F	F	                  ok	6	323	-4.980000	-0.850000	-4.980000, -0.850000
000000145	F	F	                  ok	5	916	-4.980000	-0.800000	-4.980000, -0.800000
000000146	F	F	                  ok	9	161	-4.980000	-0.750000	-4.980000, -0.750000
000000147	F	F	                  ok	2	840	-4.980000	-0.700000	-4.980000, -0.700000
000000148	F	F	                  ok	6	1088	-4.980000	-0.650000	-4.980000, -0.650000
000000149	F	F	                  ok	9	412	-4.980000	-0.600000	-4.980000, -0.600000
000000150	F	F	                  ok	6	226	-4.980000	-0.550000	-4.980000, -0.550000
000000151	F	F	                  ok	6	897	-4.980000	-0.500000	-4.980000, -0.500000
000000152	F	F	                  ok	8	736	-4.980000	-0.450000	-4.980000, -0.450000


000000154	F	F	                  ok	0	2048	-4.980000	-0.350000	-4.980000, -0.350000




000000157	F	F	                  ok	6	1745	-4.980000	-0.200000	-4.980000, -0.200000
000000158	F	F	                  ok	1	887	-4.980000	-0.150000	-4.980000, -0.150000
000000159	F	F	                  ok	8	859	-4.980000	-0.100000	-4.980000, -0.100000
000000160	F	F	                  ok	0	1523	-4.980000	-0.050000	-4.980000, -0.050000
000000161	F	F	                  ok	5	1013	-4.980000	0.000000	-4.980000, 0.000000
000000162	F	F	                  ok	1	163	-4.980000	0.050000	-4.980000, 0.050000
000000163	F	F	                  ok	2	899	-4.980000	0.100000	-4.980000, 0.100000
000000164	F	F	                  ok	4	1649	-4.980000	0.150000	-4.980000, 0.150000
000000165	F	F	                  ok	10	53	-4.980000	0.200000	-4.980000, 0.200000
000000166	F	F	                  ok	10	395	-4.980000	0.250000	-4.980000, 0.250000
000000167	F	F	                  ok	0	1737	-4.980000	0.300000	-4.980000, 0.300000
000000168	F	F	                  ok	8	999	-4.980000	0.350000	-4.980000, 0.350000
000000169	F	F	                  ok	0	164	-4.980000	0.400000	-4.980000, 0.400000
000000170	F	F	                  ok	4	1484	-4.980000	0.450000	-4.980000, 0.450000
000000171	F	F	                  ok	6	830	-4.980000	0.500000	-4.980000, 0.500000
000000172	F	F	                  ok	7	2059	-4.980000	0.550000	-4.980000, 0.550000
