H	H+	C+	C+2	C+3	N+2	N+4	O	O+2	O+5	O+6	Si+	Si+2	Si+3	Si+4
5.88841e+15	2.16131e+20	3.82635e+11	7.24288e+13	2.87863e+14	1.13704e+13	2.50287e+14	1.77869e+06	3.40406e+13	2.61968e+15	3.23058e+15	4.53628e+08	2.37327e+10	1.18216e+11	1.08709e+13
5.88842e+15	2.04867e+20	4.13790e+11	7.61140e+13	2.90958e+14	1.20773e+13	2.45665e+14	1.99799e+06	3.62469e+13	2.46849e+15	2.90576e+15	5.35117e+08	2.73821e+10	1.31855e+11	1.14959e+13
5.88842e+15	1.94210e+20	4.47046e+11	7.98995e+13	2.93775e+14	1.28125e+13	2.40744e+14	2.24332e+06	3.85406e+13	2.32120e+15	2.60897e+15	6.30066e+08	3.15432e+10	1.46847e+11	1.21392e+13
5.88842e+15	1.84123e+20	4.82490e+11	8.37828e+13	2.96310e+14	1.35751e+13	2.35539e+14	2.51736e+06	4.09188e+13	2.17820e+15	2.33826e+15	7.40478e+08	3.62806e+10	1.63305e+11	1.28000e+13
5.88842e+15	1.74576e+20	5.20244e+11	8.77593e+13	2.98555e+14	1.43644e+13	2.30066e+14	2.82375e+06	4.33807e+13	2.03979e+15	2.09195e+15	8.68623e+08	4.16648e+10	1.81335e+11	1.34772e+13
5.88842e+15	1.65538e+20	5.60392e+11	9.18251e+13	3.00504e+14	1.51790e+13	2.24341e+14	3.16583e+06	4.59226e+13	1.90628e+15	1.86822e+15	1.01704e+09	4.77741e+10	2.01060e+11	1.41695e+13
5.88842e+15	1.56978e+20	6.03034e+11	9.59753e+13	3.02153e+14	1.60176e+13	2.18384e+14	3.54753e+06	4.85408e+13	1.77788e+15	1.66543e+15	1.18860e+09	5.46948e+10	2.22606e+11	1.48757e+13
5.88842e+15	1.48870e+20	6.48262e+11	1.00204e+14	3.03496e+14	1.68782e+13	2.12215e+14	3.97320e+06	5.12315e+13	1.65477e+15	1.48199e+15	1.38649e+09	6.25215e+10	2.46105e+11	1.55944e+13
5.88843e+15	1.41188e+20	6.96160e+11	1.04505e+14	3.04527e+14	1.77591e+13	2.05856e+14	4.44764e+06	5.39899e+13	1.53710e+15	1.31640e+15	1.61427e+09	7.13578e+10	2.71691e+11	1.63238e+13
5.88842e+15	1.33908e+20	7.46819e+11	1.08871e+14	3.05242e+14	1.86578e+13	1.99328e+14	4.97629e+06	5.68118e+13	1.42495e+15	1.16720e+15	1.87594e+09	8.13174e+10	2.99507e+11	1.70621e+13
5.88842e+15	1.27009e+20	8.00299e+11	1.13293e+14	3.05638e+14	1.95718e+13	1.92655e+14	5.56494e+06	5.96915e+13	1.31838e+15	1.03304e+15	2.17585e+09	9.25230e+10	3.29699e+11	1.78074e+13
5.88843e+15	1.20471e+20	8.56716e+11	1.17764e+14	3.05710e+14	2.04989e+13	1.85863e+14	6.22073e+06	6.26252e+13	1.21741e+15	9.12663e+14	2.51894e+09	1.05109e+11	3.62410e+11	1.85575e+13
5.88842e+15	1.14272e+20	9.16111e+11	1.22274e+14	3.05455e+14	2.14358e+13	1.78976e+14	6.95087e+06	6.56061e+13	1.12199e+15	8.04882e+14	2.91055e+09	1.19222e+11	3.97797e+11	1.93103e+13
5.88842e+15	1.08396e+20	9.78553e+11	1.26811e+14	3.04871e+14	2.23798e+13	1.72020e+14	7.76385e+06	6.86287e+13	1.03208e+15	7.08571e+14	3.35658e+09	1.35018e+11	4.36012e+11	2.00631e+13
5.88842e+15	1.02825e+20	1.04411e+12	1.31366e+14	3.03956e+14	2.33276e+13	1.65020e+14	8.66929e+06	7.16872e+13	9.47579e+14	6.22689e+14	3.86354e+09	1.52667e+11	4.77208e+11	2.08136e+13
5.88842e+15	9.75437e+19	1.11282e+12	1.35927e+14	3.02709e+14	2.42759e+13	1.58003e+14	9.67780e+06	7.47756e+13	8.68372e+14	5.46256e+14	4.43849e+09	1.72352e+11	5.21540e+11	2.15588e+13
5.88842e+15	9.25353e+19	1.18471e+12	1.40480e+14	3.01128e+14	2.52214e+13	1.50993e+14	1.08012e+07	7.78872e+13	7.94318e+14	4.78363e+14	5.08914e+09	1.94266e+11	5.69166e+11	2.22962e+13
5.88842e+15	8.77867e+19	1.25985e+12	1.45014e+14	2.99213e+14	2.61608e+13	1.44016e+14	1.20535e+07	8.10167e+13	7.25259e+14	4.18180e+14	5.82390e+09	2.18619e+11	6.20231e+11	2.30226e+13
5.88842e+15	8.32839e+19	1.33822e+12	1.49513e+14	2.96966e+14	2.70905e+13	1.37096e+14	1.34497e+07	8.41573e+13	6.61017e+14	3.64927e+14	6.65183e+09	2.45632e+11	6.74885e+11	2.37351e+13
5.88842e+15	7.90140e+19	1.41985e+12	1.53964e+14	2.94388e+14	2.80070e+13	1.30253e+14	1.50071e+07	8.73022e+13	6.01395e+14	3.17914e+14	7.58274e+09	2.75542e+11	7.33271e+11	2.44307e+13
5.88842e+15	7.49654e+19	1.50475e+12	1.58352e+14	2.91482e+14	2.89069e+13	1.23512e+14	1.67453e+07	9.04453e+13	5.46195e+14	2.76494e+14	8.62718e+09	3.08596e+11	7.95515e+11	2.51059e+13
5.88842e+15	7.11260e+19	1.59285e+12	1.62659e+14	2.88253e+14	2.97864e+13	1.16891e+14	1.86860e+07	9.35797e+13	4.95207e+14	2.40062e+14	9.79630e+09	3.45054e+11	8.61749e+11	2.57577e+13
5.88842e+15	6.74852e+19	1.68416e+12	1.66872e+14	2.84705e+14	3.06425e+13	1.10411e+14	2.08543e+07	9.66989e+13	4.48216e+14	2.08087e+14	1.11021e+10	3.85187e+11	9.32075e+11	2.63827e+13
