# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+2 N+4 O O+2 O+5 O+6 Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
5888410000000000.0 2.83009e+20 255015000000.0 55584600000000.0 268514000000000.0 8271280000000.0 268535000000000.0 990010.0 24367100000000.0 3418740000000000.0 5344290000000000.0 193115000.0 11337100000.0 66921300000.0 8043450000000.0 -4.58 4.547 [-4.58]
5888420000000000.0 2.68073e+20 277103000000.0 58738400000000.0 272875000000000.0 8833080000000.0 265565000000000.0 1113560.0 26119300000000.0 3254880000000000.0 4849360000000000.0 229943000.0 13184200000.0 75222100000.0 8567830000000.0 -4.56 4.542 [-4.56]
5888420000000000.0 2.53964e+20 300810000000.0 61999800000000.0 276996000000000.0 9423490000000.0 262243000000000.0 1252300.0 27962300000000.0 3092470000000000.0 4392580000000000.0 273276000.0 15307400000.0 84418000000.0 9112990000000.0 -4.54 4.538 [-4.54]
5888420000000000.0 2.40636e+20 326237000000.0 65369500000000.0 280874000000000.0 10043100000000.0 258585000000000.0 1408070.0 29897000000000.0 2932130000000000.0 3971990000000000.0 324172000.0 17744700000.0 94591500000.0 9678910000000.0 -4.52 4.534 [-4.52]
5888420000000000.0 2.2804e+20 353479000000.0 68846400000000.0 284499000000000.0 10692100000000.0 254597000000000.0 1582800.0 31923400000000.0 2774390000000000.0 3585290000000000.0 383832000.0 20537600000.0 105827000000.0 10265100000000.0 -4.5 4.53 [-4.5]
5888410000000000.0 2.16131e+20 382635000000.0 72428800000000.0 287863000000000.0 11370400000000.0 250287000000000.0 1778690.0 34040600000000.0 2619680000000000.0 3230580000000000.0 453628000.0 23732700000.0 118216000000.0 10870900000000.0 -4.48 4.526 [-4.48]
5888420000000000.0 2.04867e+20 413790000000.0 76114000000000.0 290958000000000.0 12077300000000.0 245665000000000.0 1997990.0 36246900000000.0 2468490000000000.0 2905760000000000.0 535117000.0 27382100000.0 131855000000.0 11495900000000.0 -4.46 4.522 [-4.46]
5888420000000000.0 1.9421e+20 447046000000.0 79899500000000.0 293775000000000.0 12812500000000.0 240744000000000.0 2243320.0 38540600000000.0 2321200000000000.0 2608970000000000.0 630066000.0 31543200000.0 146847000000.0 12139200000000.0 -4.44 4.517 [-4.44]
5888420000000000.0 1.84123e+20 482490000000.0 83782800000000.0 296310000000000.0 13575100000000.0 235539000000000.0 2517360.0 40918800000000.0 2178200000000000.0 2338260000000000.0 740478000.0 36280600000.0 163305000000.0 12800000000000.0 -4.42 4.514 [-4.42]
5888420000000000.0 1.74576e+20 520244000000.0 87759300000000.0 298555000000000.0 14364400000000.0 230066000000000.0 2823750.0 43380700000000.0 2039790000000000.0 2091950000000000.0 868623000.0 41664800000.0 181335000000.0 13477200000000.0 -4.4 4.51 [-4.4]
