# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH parameters
6165960000000000.0 1.92661e+20 5022570000000.0 3130890000000000.0 3.24179e+16 305222000000.0 458658000000000.0 3.04341e+16 11901900.0 1465770000000000.0 3.26583e+17 2.73432e+17 195773000.0 9552610000.0 1456560000000.0 26118600000000.0 1669820000000000.0 -4.62 [-4.62]
6165950000000000.0 1.80767e+20 5410630000000.0 3257300000000000.0 3.28428e+16 345480000000.0 501339000000000.0 2.98652e+16 14674700.0 1621260000000000.0 3.05667e+17 2.42205e+17 225067000.0 10701100000.0 1621400000000.0 29222100000000.0 1752750000000000.0 -4.6 [-4.6]
6165960000000000.0 1.69502e+20 5840420000000.0 3387950000000000.0 3.32365e+16 391726000000.0 547555000000000.0 2.92294e+16 18135600.0 1789750000000000.0 2.85231e+17 2.13886e+17 259062000.0 11973200000.0 1801670000000.0 32681900000000.0 1837820000000000.0 -4.58 [-4.58]
6165950000000000.0 1.5882e+20 6319410000000.0 3523780000000000.0 3.35974e+16 445066000000.0 597632000000000.0 2.85284e+16 22471300.0 1972340000000000.0 2.65307e+17 1.88206e+17 298647000.0 13387700000.0 1999020000000.0 36542800000000.0 1924910000000000.0 -4.56 [-4.56]
6165970000000000.0 1.48686e+20 6855890000000.0 3665820000000000.0 3.39224e+16 506720000000.0 651806000000000.0 2.77631e+16 27910200.0 2169550000000000.0 2.45948e+17 1.64977e+17 344882000.0 14966600000.0 2215230000000.0 40854100000000.0 2013880000000000.0 -4.54 [-4.54]
6166010000000000.0 1.39041e+20 7462270000000.0 3815770000000000.0 3.42093e+16 578402000000.0 710484000000000.0 2.69324e+16 34769000.0 2382350000000000.0 2.27168e+17 1.43969e+17 399148000.0 16739000000.0 2452860000000.0 45684900000000.0 2104740000000000.0 -4.52 [-4.52]
6165950000000000.0 1.29836e+20 8152230000000.0 3975360000000000.0 3.44503e+16 661838000000.0 773853000000000.0 2.60324e+16 43429400.0 2610710000000000.0 2.08989e+17 1.25012e+17 463110000.0 18742900000.0 2714840000000.0 51103400000000.0 2197060000000000.0 -4.5 [-4.5]
6165940000000000.0 1.2104e+20 8947430000000.0 4148430000000000.0 3.46462e+16 759803000000.0 842581000000000.0 2.50667e+16 54431500.0 2855950000000000.0 1.91431e+17 1.07938e+17 539052000.0 21041800000.0 3006900000000.0 57220900000000.0 2291140000000000.0 -4.48 [-4.48]
6165940000000000.0 1.12619e+20 9875310000000.0 4339190000000000.0 3.47886e+16 875284000000.0 916971000000000.0 2.4033e+16 68450900.0 3117780000000000.0 1.74521e+17 9.26117e+16 629992000.0 23719700000.0 3335450000000.0 64142200000000.0 2386570000000000.0 -4.46 [-4.46]
6165930000000000.0 1.04515e+20 10973300000000.0 4552900000000000.0 3.4866e+16 1012140000000.0 997326000000000.0 2.2927e+16 86418700.0 3395420000000000.0 1.58262e+17 7.88775e+16 739971000.0 26898500000.0 3710080000000.0 72010400000000.0 2482980000000000.0 -4.44 [-4.44]
6165900000000000.0 9.66969e+19 12293700000000.0 4797530000000000.0 3.48665e+16 1175060000000.0 1083910000000000.0 2.17466e+16 109519000.0 3687490000000000.0 1.42676e+17 6.66254e+16 874742000.0 30783400000.0 4147630000000.0 81028600000000.0 2580070000000000.0 -4.42 [-4.42]
