H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4
5.01188e+17	5.61364e+21	3.43700e+14	4.87101e+16	4.33343e+16	2.86896e+13	9.05178e+15	3.18324e+15	3.04666e+10	1.70289e+17	9.74132e+15	6.06603e+15	4.02469e+11	3.19144e+13	1.28883e+15	2.18536e+15	5.89866e+15
5.01255e+17	5.33160e+21	3.50383e+14	4.77007e+16	4.08698e+16	2.94915e+13	8.94522e+15	2.99468e+15	3.22036e+10	1.63078e+17	8.84436e+15	5.28634e+15	4.16079e+11	3.27124e+13	1.29255e+15	2.11256e+15	5.58353e+15
5.01192e+17	5.06386e+21	3.56939e+14	4.66951e+16	3.85339e+16	3.02902e+13	8.83445e+15	2.81385e+15	3.40502e+10	1.56157e+17	8.01902e+15	4.60107e+15	4.29996e+11	3.34810e+13	1.29476e+15	2.03985e+15	5.28727e+15
5.01239e+17	4.80951e+21	3.63443e+14	4.56896e+16	3.63237e+16	3.11085e+13	8.72020e+15	2.64058e+15	3.60525e+10	1.49514e+17	7.26081e+15	3.99961e+15	4.44125e+11	3.42035e+13	1.29514e+15	1.96821e+15	5.00868e+15
5.01188e+17	4.56820e+21	3.69844e+14	4.46904e+16	3.42291e+16	3.19275e+13	8.60215e+15	2.47499e+15	3.81868e+10	1.43145e+17	6.56609e+15	3.47289e+15	4.58646e+11	3.49009e+13	1.29429e+15	1.89702e+15	4.74728e+15
5.01231e+17	4.33892e+21	3.76123e+14	4.36914e+16	3.22472e+16	3.27553e+13	8.48085e+15	2.31681e+15	4.04929e+10	1.37033e+17	5.92991e+15	3.01174e+15	4.73363e+11	3.55461e+13	1.29161e+15	1.82725e+15	4.50143e+15
5.01238e+17	4.12150e+21	3.82255e+14	4.26998e+16	3.03717e+16	3.35812e+13	8.35636e+15	2.16629e+15	4.29568e+10	1.31176e+17	5.34862e+15	2.60868e+15	4.88451e+11	3.61588e+13	1.28768e+15	1.75851e+15	4.27097e+15
5.01255e+17	3.91502e+21	3.88343e+14	4.17107e+16	2.85950e+16	3.44272e+13	8.22850e+15	2.02299e+15	4.56181e+10	1.25557e+17	4.81831e+15	2.25727e+15	5.03837e+11	3.67299e+13	1.28232e+15	1.69100e+15	4.05449e+15
5.01189e+17	3.71906e+21	3.94323e+14	4.07273e+16	2.69113e+16	3.52761e+13	8.09764e+15	1.88675e+15	4.84666e+10	1.20172e+17	4.33516e+15	1.95104e+15	5.19566e+11	3.72618e+13	1.27568e+15	1.62471e+15	3.85124e+15
5.01248e+17	3.53275e+21	4.00120e+14	3.97452e+16	2.53177e+16	3.61281e+13	7.96383e+15	1.75730e+15	5.15437e+10	1.15006e+17	3.89564e+15	1.68440e+15	5.35538e+11	3.77436e+13	1.26758e+15	1.56030e+15	3.66012e+15
5.01199e+17	3.35619e+21	4.05817e+14	3.87715e+16	2.38100e+16	3.69866e+13	7.82742e+15	1.63505e+15	5.48341e+10	1.10055e+17	3.49704e+15	1.45289e+15	5.51854e+11	3.81868e+13	1.25836e+15	1.49727e+15	3.48076e+15
5.01191e+17	3.18807e+21	4.11258e+14	3.77985e+16	2.23807e+16	3.78378e+13	7.68761e+15	1.51905e+15	5.83717e+10	1.05301e+17	3.13505e+15	1.25152e+15	5.68466e+11	3.85897e+13	1.24802e+15	1.43590e+15	3.31204e+15
5.01205e+17	3.02877e+21	4.16661e+14	3.68348e+16	2.10304e+16	3.87069e+13	7.54639e+15	1.40972e+15	6.21864e+10	1.00751e+17	2.80735e+15	1.07700e+15	5.85381e+11	3.89459e+13	1.23654e+15	1.37662e+15	3.15331e+15
5.01206e+17	2.87717e+21	4.21874e+14	3.58737e+16	1.97503e+16	3.95777e+13	7.40208e+15	1.30639e+15	6.62881e+10	9.63818e+16	2.51121e+15	9.25890e+14	6.02622e+11	3.92662e+13	1.22416e+15	1.31894e+15	3.00382e+15
5.01253e+17	2.73324e+21	4.26941e+14	3.49191e+16	1.85398e+16	4.04504e+13	7.25544e+15	1.20918e+15	7.06838e+10	9.21844e+16	2.24278e+15	7.94817e+14	6.20106e+11	3.95410e+13	1.21066e+15	1.26298e+15	2.86281e+15
