WAVE1 WAVE2
1147.727 1148.968
1182.951 1184.605
1185.26 1186.26
1188.707 1191.016
1192.808 1193.739
1199.15 1201.149
1206.112 1206.905
1213.35 1218.278
1253.399 1254.64
1259.017 1262.084
1271.769 1273.251
1276.112 1277.284
1281.006 1283.177
1283.591 1284.969
1290.691 1291.69
1292.138 1293.103
1300.031 1306.993
1308.234 1309.509
1311.198 1312.404
1315.851 1318.677
1321.951 1323.192
1332.015 1333.256
1334.049 1337.013
1338.943 1341.08
1345.043 1347.421
1348.903 1350.316
1381.439 1384.369
1387.505 1388.918
1389.676 1394.088
1402.187 1403.532
1404.083 1407.599
1409.184 1410.666
1412.182 1414.423
1416.904 1419.076
1419.558 1422.901
1428.485 1430.622
1443.822 1444.787
1456.505 1458.504
1465.708 1466.776
1472.049 1473.083
1485.732 1486.835
1509.135 1510.479
1518.888 1521.06
1526.057 1527.264
1547.288 1548.632
1550.287 1551.355
1607.879 1608.809
1632.074 1633.004
1634.934 1635.865
1637.209 1641.242
1661.301 1663.644
1670.331 1672.399
1689.321 1690.665
1694.629 1696.421
1700.419 1701.246
1708.863 1709.759
1711.379 1712.207
1713.964 1715.136
1726.096 1728.337
