WAVE1 WAVE2
1144.55 1145.452
1158.572 1159.073
1173.996 1175.365
1181.408 1182.109
1187.985 1188.652
1189.854 1191.023
1192.992 1193.727
1199.235 1201.072
1205.879 1206.981
1212.656 1218.866
1220.569 1223.707
1255.122 1257.659
1259.095 1260.898
1264.403 1265.238
1266.306 1267.575
1269.311 1269.945
1271.414 1272.549
1283.967 1285.236
1293.882 1294.917
1300.493 1307.737
1320.524 1321.192
1334.178 1336.449
1391.668 1394.372
1402.217 1403.052
1421.214 1421.982
1448.222 1450.559
1488.251 1490.354
1501.672 1502.306
1503.174 1503.909
1507.08 1507.715
1517.597 1518.732
1520.401 1523.473
1524.207 1524.975
1526.244 1527.011
1540.966 1541.701
1547.643 1548.511
1550.147 1551.116
1670.367 1671.102
