WAVE1 WAVE2
1189.734 1190.534
1192.936 1193.536
1199.373 1200.807
1205.943 1207.144
1210.512 1211.58
1212.714 1219.317
1227.022 1228.956
1243.464 1244.598
1249.134 1250.869
1259.34 1261.341
1264.643 1265.444
1281.986 1283.387
1300.93 1306.7
1324.41 1325.144
1326.578 1327.512
1333.982 1335.85
1338.785 1339.752
1346.289 1347.824
1357.229 1358.496
1367.335 1368.302
1375.339 1376.907
1380.942 1381.81
1393.149 1394.05
1400.687 1401.454
1417.53 1418.73
1426.602 1427.702
1498.409 1499.409
1526.225 1527.025
1547.87 1548.737
1549.538 1551.306
1552.706 1553.707
1574.452 1579.655
1600.1 1601.134
1607.938 1608.671
1670.206 1671.14
1699.49 1700.056
