WAVE1 WAVE2
1133.917 1134.384
1144.405 1145.071
1152.295 1152.762
1170.64 1171.239
1189.384 1191.182
1192.514 1194.079
1194.578 1195.144
1198.906 1201.303
1205.332 1207.529
1213.422 1218.083
1229.17 1230.002
1249.712 1250.611
1253.374 1254.007
1256.437 1257.569
1258.668 1261.365
1263.196 1264.494
1271.686 1272.585
1278.944 1288.366
1295.191 1295.923
1298.82 1300.318
1301.483 1306.777
1333.545 1335.876
1353.088 1353.954
1366.506 1367.138
1372.898 1373.83
1387.347 1388.612
1392.807 1394.306
1401.797 1404.061
1413.649 1417.012
1525.848 1527.646
1546.989 1551.384
1575.722 1587.108
1607.783 1608.882
1669.909 1671.707
