WAVE1 WAVE2
1144.282 1145.142
1150.565 1151.557
1137.57 1138.992
1176.951 1177.711
1189.284 1190.772
1192.194 1193.45
1197.683 1201.122
1202.147 1203.899
1205.056 1206.776
1213.157 1218.25
1223.507 1224.697
1238.221 1238.982
1242.387 1243.545
1249.893 1250.885
1253.233 1255.382
1258.589 1260.672
1271.154 1272.642
1277.833 1279.222
1282.562 1284.083
1288.48 1289.472
1291.556 1293.176
1294.796 1295.557
1299.921 1307.096
1316.652 1318.735
1324.257 1325.348
1331.003 1331.928
1333.251 1335.996
1352.528 1354.677
1359.207 1360.067
1362.845 1365.258
1367.639 1368.532
1369.359 1370.251
1375.211 1378.485
1392.769 1393.794
1402.159 1404.706
1410.327 1411.352
1412.311 1414.427
1414.89 1415.617
1416.411 1417.138
1420.775 1422.561
1425.438 1426.363
1431.489 1433.803
1449.344 1451.956
1467.728 1468.522
1480.425 1482.542
1483.6 1486.939
1490.014 1493.321
1506.613 1507.572
1522.485 1527.345
1537.265 1539.15
1546.887 1548.54
1549.631 1551.119
1565.37 1568.082
1569.867 1571.124
1573.571 1574.596
1575.257 1576.15
1607.33 1608.719
1610.902 1612.059
1632.824 1633.849
1645.653 1646.877
1648.662 1649.621
1652.696 1653.556
1662.913 1665.162
1669.262 1671.246
1673.825 1674.817
1702.79 1704.245
1757.745 1759.167
1765.615 1768.26
