WAVE1 WAVE2
1149.605 1150.875
1156.299 1157.776
1167.046 1168.144
1175.869 1177.105
1183.079 1184.04
1189.774 1190.872
1192.795 1193.55
1198.94 1201.0
1205.979 1206.837
1212.673 1219.437
1230.938 1232.209
1236.431 1239.384
1258.988 1260.91
1301.56 1306.401
1316.426 1318.52
1333.421 1335.858
1355.84 1356.938
1362.294 1363.839
1370.019 1371.427
1419.938 1422.651
1431.199 1429.963
1431.955 1432.882
1458.7 1460.485
1465.326 1467.042
1477.308 1478.578
1519.056 1520.567
1525.888 1527.296
1539.106 1540.651
1547.483 1548.754
1550.23 1551.466
1561.869 1563.036
1607.771 1608.664
1624.01 1624.972
1635.718 1637.4
1643.34 1645.091
1663.458 1664.351
1670.05 1671.046
1682.891 1685.843
1693.98 1695.044
1713.412 1714.82
1735.454 1737.17
1750.869 1752.311
1774.936 1775.966
