WAVE1 WAVE2
1144.671 1145.643
1164.38 1165.083
1177.318 1177.955
1190.055 1191.261
1192.803 1194.11
1199.44 1201.116
1202.457 1203.362
1206.144 1207.451
1209.931 1219.249
1229.774 1230.512
1259.271 1261.282
1287.225 1288.7
1299.258 1307.638
1316.688 1318.029
1334.252 1336.229
1379.837 1380.91
1384.563 1385.3
1386.708 1387.68
1389.457 1390.06
1393.613 1394.485
1425.02 1425.891
1519.743 1520.481
1526.514 1527.654
1547.966 1549.139
1550.48 1551.62
1553.832 1554.67
1607.998 1609.205
1670.409 1671.784
1677.046 1678.119
1679.962 1680.867
