WAVE1 WAVE2
1152.052 1153.862
1158.989 1160.967
1163.715 1164.586
1165.759 1167.569
1189.888 1190.86
1192.703 1194.479
1199.171 1201.048
1202.154 1202.757
1206.175 1207.717
1212.409 1218.676
1221.256 1225.479
1230.103 1231.679
1238.046 1238.951
1246.391 1247.597
1252.155 1253.965
1259.226 1261.74
1267.738 1268.71
1300.849 1306.11
1312.21 1315.729
1322.331 1323.872
1331.647 1332.384
1333.893 1335.937
1342.371 1343.343
1365.193 1367.841
1379.269 1380.308
1392.908 1393.981
1433.425 1435.738
1442.34 1443.312
1458.359 1459.8
1525.854 1528.132
1540.432 1541.269
1546.699 1551.256
1565.533 1566.572
1567.51 1568.314
1607.926 1608.831
1670.26 1671.299
1739.129 1740.235
1740.905 1744.591
