WAVE1 WAVE2
1142.794 1145.055
1152.406 1153.171
1157.728 1158.593
1185.368 1186.366
1189.426 1193.716
1198.672 1200.901
1205.557 1206.888
1210.912 1219.128
1224.483 1225.447
1226.711 1227.543
1242.078 1243.009
1249.628 1251.225
1252.721 1254.983
1256.114 1256.946
1257.943 1260.97
1261.868 1262.799
1267.024 1267.922
1277.335 1278.1
1279.064 1280.062
1280.594 1281.193
1282.823 1283.554
1295.595 1296.626
1299.353 1306.97
1323.567 1326.062
1333.313 1335.874
1365.743 1367.239
1391.986 1394.148
1395.744 1396.908
1398.006 1399.802
1401.964 1403.627
1440.78 1442.509
1453.119 1454.683
1455.747 1457.011
1471.978 1473.01
1481.491 1482.988
1486.38 1487.445
1488.509 1489.274
1492.866 1494.064
1497.955 1499.119
1525.695 1527.724
1530.684 1531.815
1547.282 1548.446
1549.809 1550.907
1555.464 1556.628
1559.422 1560.32
1570.232 1571.529
1585.0 1586.097
1592.65 1593.548
1603.559 1604.856
1607.551 1608.748
1619.225 1620.29
1622.052 1622.851
1634.226 1635.29
1655.114 1656.212
1669.682 1670.913
1672.875 1673.674
1680.193 1681.191
1739.797 1741.559
1744.021 1744.753
