WAVE1 WAVE2
1140.611 1141.617
1142.905 1146.267
1149.943 1150.666
1151.2 1152.362
1156.29 1157.421
1158.081 1158.866
1164.805 1166.061
1172.44 1173.791
1180.389 1181.111
1185.227 1185.887
1189.815 1195.062
1197.481 1198.267
1199.366 1202.383
1203.86 1205.305
1206.216 1209.672
1211.337 1224.22
1259.19 1262.175
1263.557 1265.568
1274.146 1290.704
1300.947 1307.074
1308.268 1309.399
1315.997 1316.688
1318.731 1319.548
1324.481 1325.769
1326.649 1327.623
1333.467 1336.514
1340.756 1342.987
1345.249 1346.663
1347.229 1348.423
1349.522 1350.371
1351.785 1353.01
1354.424 1355.901
1362.153 1363.598
1364.447 1365.484
1366.395 1367.62
1369.411 1370.574
1376.795 1380.094
1384.618 1385.749
1389.426 1391.154
1392.002 1393.259
1393.699 1395.804
1402.465 1403.407
1404.853 1406.172
1414.279 1415.441
1427.412 1428.512
1434.136 1435.079
1443.908 1445.479
1450.223 1451.103
1453.145 1454.402
1461.534 1463.074
1464.017 1465.085
1469.766 1471.275
1480.7 1481.737
1489.278 1490.598
1499.113 1500.401
1505.397 1506.591
1510.926 1512.435
1514.98 1517.053
1517.556 1518.499
1525.882 1528.804
1530.595 1531.664
1547.719 1554.38
1558.213 1578.605
1579.987 1582.187
1607.888 1608.862
1609.554 1610.402
1629.945 1631.767
1653.824 1654.83
1670.477 1672.582
1682.762 1683.736
1684.27 1685.967
1711.291 1713.931
1724.865 1725.807
1737.873 1739.161
1741.863 1743.245
