#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string
000000076	F	F	                  ok	0	1095	-5.000000	0.800000	-5.000000, 0.800000
000000077	F	F	                  ok	0	245	-5.000000	0.850000	-5.000000, 0.850000
000000078	F	F	                  ok	2	1177	-5.000000	0.900000	-5.000000, 0.900000
000000079	F	F	                  ok	2	394	-5.000000	0.950000	-5.000000, 0.950000
000000080	F	F	                  ok	0	165	-5.000000	1.000000	-5.000000, 1.000000
000000081	F	F	                  ok	3	2018	-5.000000	1.050000	-5.000000, 1.050000
000000082	F	F	                  ok	2	475	-5.000000	1.100000	-5.000000, 1.100000
000000083	F	F	                  ok	4	637	-5.000000	1.150000	-5.000000, 1.150000
000000084	F	F	                  ok	11	1180	-5.000000	1.200000	-5.000000, 1.200000
000000085	F	F	                  ok	4	299	-5.000000	1.250000	-5.000000, 1.250000
000000086	F	F	                  ok	4	1741	-5.000000	1.300000	-5.000000, 1.300000
000000087	F	F	                  ok	0	1015	-5.000000	1.350000	-5.000000, 1.350000
000000088	F	F	                  ok	4	1331	-5.000000	1.400000	-5.000000, 1.400000
000000089	F	F	                  ok	3	936	-5.000000	1.450000	-5.000000, 1.450000
000000090	F	F	                  ok	1	14	-5.000000	1.500000	-5.000000, 1.500000
000000091	F	F	                  ok	9	133	-5.000000	1.550000	-5.000000, 1.550000
000000092	F	F	                  ok	5	1506	-5.000000	1.600000	-5.000000, 1.600000
000000093	F	F	                  ok	1	567	-5.000000	1.650000	-5.000000, 1.650000
000000094	F	F	                  ok	9	1177	-5.000000	1.700000	-5.000000, 1.700000
000000095	F	F	                  ok	9	1253	-5.000000	1.750000	-5.000000, 1.750000
000000096	F	F	                  ok	4	1159	-5.000000	1.800000	-5.000000, 1.800000
000000097	F	F	                  ok	6	250	-5.000000	1.850000	-5.000000, 1.850000
000000098	F	F	                  ok	3	2082	-5.000000	1.900000	-5.000000, 1.900000
000000099	F	F	                  ok	8	956	-5.000000	1.950000	-5.000000, 1.950000
000000100	F	F	                  ok	9	108	-5.000000	2.000000	-5.000000, 2.000000
000000101	F	F	                  ok	9	1693	-4.980000	-3.000000	-4.980000, -3.000000
000000102	F	F	                  ok	10	1580	-4.980000	-2.950000	-4.980000, -2.950000
000000103	F	F	                  ok	3	1475	-4.980000	-2.900000	-4.980000, -2.900000
000000104	F	F	                  ok	4	327	-4.980000	-2.850000	-4.980000, -2.850000
000000105	F	F	                  ok	8	1990	-4.980000	-2.800000	-4.980000, -2.800000
000000106	F	F	                  ok	0	1938	-4.980000	-2.750000	-4.980000, -2.750000
000000107	F	F	                  ok	1	1198	-4.980000	-2.700000	-4.980000, -2.700000
000000108	F	F	                  ok	3	1050	-4.980000	-2.650000	-4.980000, -2.650000
000000109	F	F	                  ok	9	1932	-4.980000	-2.600000	-4.980000, -2.600000
000000110	F	F	                  ok	7	1100	-4.980000	-2.550000	-4.980000, -2.550000
000000111	F	F	                  ok	10	1567	-4.980000	-2.500000	-4.980000, -2.500000
000000112	F	F	                  ok	2	1136	-4.980000	-2.450000	-4.980000, -2.450000
000000113	F	F	                  ok	1	422	-4.980000	-2.400000	-4.980000, -2.400000
000000114	F	F	                  ok	8	7	-4.980000	-2.350000	-4.980000, -2.350000
000000115	F	F	                  ok	1	745	-4.980000	-2.300000	-4.980000, -2.300000
000000116	F	F	                  ok	11	490	-4.980000	-2.250000	-4.980000, -2.250000
000000117	F	F	                  ok	4	976	-4.980000	-2.200000	-4.980000, -2.200000
000000118	F	F	                  ok	2	631	-4.980000	-2.150000	-4.980000, -2.150000
000000119	F	F	                  ok	3	1809	-4.980000	-2.100000	-4.980000, -2.100000
000000120	F	F	                  ok	4	1564	-4.980000	-2.050000	-4.980000, -2.050000
000000121	F	F	                  ok	9	686	-4.980000	-2.000000	-4.980000, -2.000000
000000122	F	F	                  ok	2	1848	-4.980000	-1.950000	-4.980000, -1.950000
000000123	F	F	                  ok	6	1322	-4.980000	-1.900000	-4.980000, -1.900000
000000124	F	F	                  ok	6	1572	-4.980000	-1.850000	-4.980000, -1.850000
000000125	F	F	                  ok	0	1965	-4.980000	-1.800000	-4.980000, -1.800000
000000126	F	F	                  ok	1	1112	-4.980000	-1.750000	-4.980000, -1.750000
000000127	F	F	                  ok	11	1004	-4.980000	-1.700000	-4.980000, -1.700000
000000128	F	F	                  ok	10	1483	-4.980000	-1.650000	-4.980000, -1.650000
000000129	F	F	                  ok	5	1837	-4.980000	-1.600000	-4.980000, -1.600000
000000130	F	F	                  ok	6	2085	-4.980000	-1.550000	-4.980000, -1.550000
000000131	F	F	                  ok	3	665	-4.980000	-1.500000	-4.980000, -1.500000
000000132	F	F	                  ok	11	871	-4.980000	-1.450000	-4.980000, -1.450000
000000133	F	F	                  ok	10	2013	-4.980000	-1.400000	-4.980000, -1.400000
000000134	F	F	                  ok	10	1023	-4.980000	-1.350000	-4.980000, -1.350000
000000135	F	F	                  ok	9	1116	-4.980000	-1.300000	-4.980000, -1.300000
000000136	F	F	                  ok	2	2058	-4.980000	-1.250000	-4.980000, -1.250000
000000137	F	F	                  ok	9	1676	-4.980000	-1.200000	-4.980000, -1.200000
000000138	F	F	                  ok	0	1369	-4.980000	-1.150000	-4.980000, -1.150000
000000139	F	F	                  ok	11	1681	-4.980000	-1.100000	-4.980000, -1.100000
000000140	F	F	                  ok	8	251	-4.980000	-1.050000	-4.980000, -1.050000
000000141	F	F	                  ok	5	1517	-4.980000	-1.000000	-4.980000, -1.000000
000000142	F	F	                  ok	0	1465	-4.980000	-0.950000	-4.980000, -0.950000
000000143	F	F	                  ok	9	666	-4.980000	-0.900000	-4.980000, -0.900000
000000144	F	F	                  ok	4	1263	-4.980000	-0.850000	-4.980000, -0.850000
000000145	F	F	                  ok	11	1316	-4.980000	-0.800000	-4.980000, -0.800000
000000146	F	F	                  ok	4	2093	-4.980000	-0.750000	-4.980000, -0.750000
000000147	F	F	                  ok	7	809	-4.980000	-0.700000	-4.980000, -0.700000
000000148	F	F	                  ok	11	1228	-4.980000	-0.650000	-4.980000, -0.650000
000000149	F	F	                  ok	7	1687	-4.980000	-0.600000	-4.980000, -0.600000
000000150	F	F	                  ok	2	1464	-4.980000	-0.550000	-4.980000, -0.550000
000000151	F	F	                  ok	8	1861	-4.980000	-0.500000	-4.980000, -0.500000
000000152	F	F	                  ok	3	1649	-4.980000	-0.450000	-4.980000, -0.450000
000000153	F	F	                  ok	0	1358	-4.980000	-0.400000	-4.980000, -0.400000
000000154	F	F	                  ok	2	1381	-4.980000	-0.350000	-4.980000, -0.350000
000000155	F	F	                  ok	4	1479	-4.980000	-0.300000	-4.980000, -0.300000
000000156	F	F	                  ok	3	757	-4.980000	-0.250000	-4.980000, -0.250000
000000157	F	F	                  ok	11	1468	-4.980000	-0.200000	-4.980000, -0.200000
000000158	F	F	                  ok	4	174	-4.980000	-0.150000	-4.980000, -0.150000
000000159	F	F	                  ok	8	1007	-4.980000	-0.100000	-4.980000, -0.100000
000000160	F	F	                  ok	10	1237	-4.980000	-0.050000	-4.980000, -0.050000
000000161	F	F	                  ok	0	75	-4.980000	0.000000	-4.980000, 0.000000
000000162	F	F	                  ok	2	422	-4.980000	0.050000	-4.980000, 0.050000
000000163	F	F	                  ok	8	1259	-4.980000	0.100000	-4.980000, 0.100000
000000164	F	F	                  ok	11	55	-4.980000	0.150000	-4.980000, 0.150000
