H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4
4.78629e+13	2.23261e+17	6.44419e+11	7.88474e+13	1.62204e+14	6.25619e+10	1.61591e+13	4.91621e+13	2.10255e+07	4.85891e+13	1.96458e+14	4.31985e+13	8.62743e+07	2.77461e+09	1.57462e+11	1.75409e+12	2.02899e+13
4.78629e+13	1.93187e+17	7.94053e+11	8.50477e+13	1.48610e+14	7.07027e+10	1.61452e+13	4.20413e+13	2.76010e+07	4.83208e+13	1.51835e+14	2.94005e+13	1.17272e+08	4.02781e+09	1.94551e+11	2.00422e+12	2.00359e+13
4.78629e+13	1.64821e+17	9.84636e+11	9.04245e+13	1.32984e+14	7.89256e+10	1.57493e+13	3.55424e+13	3.70004e+07	4.76854e+13	1.11127e+14	1.88106e+13	1.64632e+08	6.01661e+09	2.38082e+11	2.28218e+12	1.94239e+13
4.78629e+13	1.39298e+17	1.21148e+12	9.39547e+13	1.16300e+14	8.69192e+10	1.49885e+13	2.98436e+13	5.07783e+07	4.71648e+13	7.67579e+13	1.13377e+13	2.37445e+08	9.07155e+09	2.85324e+11	2.56999e+12	1.84241e+13
4.78629e+13	1.18773e+17	1.43722e+12	9.49832e+13	1.00996e+14	9.46250e+10	1.41135e+13	2.51647e+13	6.97465e+07	4.72887e+13	5.21422e+13	6.80092e+12	3.37032e+08	1.31945e+10	3.31025e+11	2.82465e+12	1.71946e+13
4.78629e+13	1.03340e+17	1.62953e+12	9.40925e+13	8.83995e+13	1.02364e+11	1.33588e+13	2.14183e+13	9.35862e+07	4.79825e+13	3.63636e+13	4.26446e+12	4.54976e+08	1.81408e+10	3.72949e+11	3.02366e+12	1.59499e+13
4.78630e+13	9.15425e+16	1.78494e+12	9.21180e+13	7.81726e+13	1.10379e+11	1.27601e+13	1.83648e+13	1.22139e+08	4.89048e+13	2.62415e+13	2.80783e+12	5.84857e+08	2.38147e+10	4.11848e+11	3.17372e+12	1.47766e+13
4.78629e+13	8.21368e+16	1.91022e+12	8.95567e+13	6.96801e+13	1.18744e+11	1.22776e+13	1.58192e+13	1.55751e+08	4.98375e+13	1.94639e+13	1.91943e+12	7.24447e+08	3.02590e+10	4.48664e+11	3.28648e+12	1.36849e+13
4.78630e+13	7.43584e+16	2.01175e+12	8.66620e+13	6.24581e+13	1.27473e+11	1.18723e+13	1.36641e+13	1.95060e+08	5.06800e+13	1.47311e+13	1.34813e+12	8.73144e+08	3.75590e+10	4.83895e+11	3.37032e+12	1.26668e+13
4.78630e+13	6.77503e+16	2.09405e+12	8.35742e+13	5.62061e+13	1.36558e+11	1.15178e+13	1.18218e+13	2.40859e+08	5.13896e+13	1.13168e+13	9.65837e+11	1.03062e+09	4.58033e+10	5.17712e+11	3.43045e+12	1.17141e+13
