H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4
3.01995e+13	5.36544e+17	5.54828e+09	6.06546e+11	1.35411e+12	4.52572e+08	1.08526e+11	8.13867e+11	4.83299e+04	2.97492e+11	5.27164e+12	4.15758e+12	8.26120e+05	1.46481e+07	5.64362e+08	1.71565e+09	8.51941e+10
3.01995e+13	5.08825e+17	5.92420e+09	6.29376e+11	1.35263e+12	4.86037e+08	1.13304e+11	7.83142e+11	5.38730e+04	3.11466e+11	4.85968e+12	3.65895e+12	9.48503e+05	1.69137e+07	6.40407e+08	1.88481e+09	8.86779e+10
3.01995e+13	4.82557e+17	6.31838e+09	6.52286e+11	1.34962e+12	5.21191e+08	1.18098e+11	7.52105e+11	6.00362e+04	3.25615e+11	4.47094e+12	3.21423e+12	1.08706e+06	1.94919e+07	7.25553e+08	2.06765e+09	9.21626e+10
3.01995e+13	4.57663e+17	6.73104e+09	6.75215e+11	1.34507e+12	5.58043e+08	1.22892e+11	7.20872e+11	6.68908e+04	3.39911e+11	4.10517e+12	2.81846e+12	1.24361e+06	2.24195e+07	8.20720e+08	2.26494e+09	9.56361e+10
3.01995e+13	4.34063e+17	7.16251e+09	6.98105e+11	1.33897e+12	5.96611e+08	1.27670e+11	6.89558e+11	7.45200e+04	3.54332e+11	3.76189e+12	2.46696e+12	1.42021e+06	2.57378e+07	9.26921e+08	2.47746e+09	9.90862e+10
3.01995e+13	4.11697e+17	7.61201e+09	7.20852e+11	1.33132e+12	6.36809e+08	1.32406e+11	6.58299e+11	8.30006e+04	3.68826e+11	3.44081e+12	2.15559e+12	1.61873e+06	2.94870e+07	1.04514e+09	2.70593e+09	1.02498e+11
3.01995e+13	3.90495e+17	8.08051e+09	7.43421e+11	1.32213e+12	6.78719e+08	1.37091e+11	6.27194e+11	9.24498e+04	3.83388e+11	3.14113e+12	1.88026e+12	1.84177e+06	3.37179e+07	1.17657e+09	2.95112e+09	1.05859e+11
3.01995e+13	3.70402e+17	8.56801e+09	7.65734e+11	1.31138e+12	7.22332e+08	1.41706e+11	5.96360e+11	1.02984e+05	3.97989e+11	2.86221e+12	1.63734e+12	2.09190e+06	3.84812e+07	1.32241e+09	3.21369e+09	1.09154e+11
3.01995e+13	3.51352e+17	9.07374e+09	7.87692e+11	1.29910e+12	7.67572e+08	1.46229e+11	5.65904e+11	1.14725e+05	4.12588e+11	2.60327e+12	1.42342e+12	2.37164e+06	4.38307e+07	1.48390e+09	3.49441e+09	1.12368e+11
3.01995e+13	3.33291e+17	9.59746e+09	8.09214e+11	1.28530e+12	8.14422e+08	1.50643e+11	5.35925e+11	1.27820e+05	4.27158e+11	2.36349e+12	1.23542e+12	2.68389e+06	4.98256e+07	1.66239e+09	3.79396e+09	1.15486e+11
3.01995e+13	3.16169e+17	1.01388e+10	8.30213e+11	1.27000e+12	8.62852e+08	1.54931e+11	5.06520e+11	1.42434e+05	4.41669e+11	2.14199e+12	1.07054e+12	3.03172e+06	5.65280e+07	1.85926e+09	4.11291e+09	1.18492e+11
3.01995e+13	2.99936e+17	1.06975e+10	8.50611e+11	1.25322e+12	9.12859e+08	1.59078e+11	4.77772e+11	1.58763e+05	4.56099e+11	1.93785e+12	9.26200e+11	3.41852e+06	6.40065e+07	2.07603e+09	4.45181e+09	1.21372e+11
3.01995e+13	2.84546e+17	1.12729e+10	8.70315e+11	1.23499e+12	9.64397e+08	1.63067e+11	4.49761e+11	1.77016e+05	4.70415e+11	1.75016e+12	8.00080e+11	3.84770e+06	7.23312e+07	2.31419e+09	4.81115e+09	1.24109e+11
3.01995e+13	2.69956e+17	1.18643e+10	8.89239e+11	1.21535e+12	1.01745e+09	1.66885e+11	4.22557e+11	1.97436e+05	4.84592e+11	1.57798e+12	6.90091e+11	4.32296e+06	8.15769e+07	2.57533e+09	5.19129e+09	1.26687e+11
3.01995e+13	2.56120e+17	1.24715e+10	9.07304e+11	1.19433e+12	1.07200e+09	1.70520e+11	3.96211e+11	2.20307e+05	4.98608e+11	1.42033e+12	5.94309e+11	4.84842e+06	9.18272e+07	2.86118e+09	5.59263e+09	1.29092e+11
3.01995e+13	2.43009e+17	1.30921e+10	9.24390e+11	1.17202e+12	1.12793e+09	1.73952e+11	3.70802e+11	2.45906e+05	5.12417e+11	1.27643e+12	5.11121e+11	5.42727e+06	1.03150e+08	3.17311e+09	6.01509e+09	1.31306e+11
3.01995e+13	2.30577e+17	1.37267e+10	9.40450e+11	1.14844e+12	1.18532e+09	1.77178e+11	3.46347e+11	2.74617e+05	5.26014e+11	1.14524e+12	4.38934e+11	6.06457e+06	1.15645e+08	3.51307e+09	6.45889e+09	1.33317e+11
3.01995e+13	2.18790e+17	1.43733e+10	9.55379e+11	1.12366e+12	1.24407e+09	1.80184e+11	3.22887e+11	3.06818e+05	5.39361e+11	1.02592e+12	3.76412e+11	6.76412e+06	1.29394e+08	3.88263e+09	6.92391e+09	1.35110e+11
3.01995e+13	2.07619e+17	1.50319e+10	9.69127e+11	1.09775e+12	1.30425e+09	1.82965e+11	3.00451e+11	3.42973e+05	5.52444e+11	9.17614e+11	3.22364e+11	7.53095e+06	1.44493e+08	4.28354e+09	7.40966e+09	1.36671e+11
3.01995e+13	1.97021e+17	1.56999e+10	9.81586e+11	1.07078e+12	1.36574e+09	1.85507e+11	2.79041e+11	3.83582e+05	5.65230e+11	8.19450e+11	2.75679e+11	8.36902e+06	1.61035e+08	4.71752e+09	7.91613e+09	1.37988e+11
3.01995e+13	1.86981e+17	1.63755e+10	9.92685e+11	1.04287e+12	1.42847e+09	1.87805e+11	2.58696e+11	4.29166e+05	5.77683e+11	7.30767e+11	2.35476e+11	9.28196e+06	1.79091e+08	5.18569e+09	8.44205e+09	1.39047e+11
3.01995e+13	1.77454e+17	1.70586e+10	1.00238e+12	1.01405e+12	1.49254e+09	1.89855e+11	2.39380e+11	4.80444e+05	5.89800e+11	6.50650e+11	2.00845e+11	1.02757e+07	1.98790e+08	5.69026e+09	8.98721e+09	1.39839e+11
3.01995e+13	1.68426e+17	1.77464e+10	1.01060e+12	9.84452e+11	1.55783e+09	1.91652e+11	2.21115e+11	5.38074e+05	6.01544e+11	5.78511e+11	1.71100e+11	1.13530e+07	2.20195e+08	6.23207e+09	9.55002e+09	1.40354e+11
3.01995e+13	1.59870e+17	1.84373e+10	1.01731e+12	9.54185e+11	1.62431e+09	1.93192e+11	2.03890e+11	6.02854e+05	6.12891e+11	5.13671e+11	1.45589e+11	1.25177e+07	2.43390e+08	6.81229e+09	1.01291e+10	1.40584e+11
3.01995e+13	1.51748e+17	1.91305e+10	1.02245e+12	9.23293e+11	1.69206e+09	1.94474e+11	1.87660e+11	6.75796e+05	6.23832e+11	4.55399e+11	1.23707e+11	1.37752e+07	2.68504e+08	7.43274e+09	1.07234e+10	1.40521e+11
3.01995e+13	1.44056e+17	1.98225e+10	1.02600e+12	8.91957e+11	1.76092e+09	1.95496e+11	1.72439e+11	7.57779e+05	6.34328e+11	4.03234e+11	1.05002e+11	1.51261e+07	2.95556e+08	8.09320e+09	1.13303e+10	1.40161e+11
3.01995e+13	1.36757e+17	2.05127e+10	1.02793e+12	8.60224e+11	1.83096e+09	1.96258e+11	1.58173e+11	8.50069e+05	6.44370e+11	3.56532e+11	8.90095e+10	1.65749e+07	3.24666e+08	8.79506e+09	1.19482e+10	1.39498e+11
