H	H+	C+	C+2	C+3	O+5	O+6	Si+	Si+2	Si+3
1.25892e+16	4.30537e+17	1.49199e+12	1.22539e+12	3.68494e+09	0	0	1.58655e+11	1.63741e+11	6.13634e+09
1.25892e+16	4.30132e+17	1.63483e+12	1.34198e+12	4.03317e+09	0	0	1.74142e+11	1.79041e+11	6.71781e+09
1.25892e+16	4.29672e+17	1.79118e+12	1.46943e+12	4.41323e+09	0	0	1.91171e+11	1.95690e+11	7.35281e+09
1.25892e+16	4.29172e+17	1.96236e+12	1.60878e+12	4.82816e+09	0	0	2.09881e+11	2.13831e+11	8.04647e+09
1.25892e+16	4.28613e+17	2.14970e+12	1.76103e+12	5.28064e+09	0	0	2.30453e+11	2.33559e+11	8.80345e+09
1.25892e+16	4.28015e+17	2.35477e+12	1.92745e+12	5.77451e+09	0	0	2.53069e+11	2.55031e+11	9.63016e+09
1.25892e+16	4.27367e+17	2.57915e+12	2.10929e+12	6.31322e+09	0	0	2.77959e+11	2.78355e+11	1.05325e+10
1.25892e+16	4.26634e+17	2.82455e+12	2.30766e+12	6.89935e+09	0	0	3.05342e+11	3.03644e+11	1.15152e+10
1.25892e+16	4.25827e+17	3.09292e+12	2.52410e+12	7.53728e+09	0	0	3.35487e+11	3.31046e+11	1.25858e+10
1.25892e+16	4.24942e+17	3.38635e+12	2.76016e+12	8.23110e+09	0	0	3.68682e+11	3.60703e+11	1.37513e+10
1.25892e+16	4.23968e+17	3.70706e+12	3.01744e+12	8.98502e+09	0	0	4.05253e+11	3.92750e+11	1.50192e+10
1.25892e+16	4.22901e+17	4.05752e+12	3.29774e+12	9.80362e+09	0	0	4.45555e+11	4.27333e+11	1.63975e+10
1.25892e+16	4.21733e+17	4.44035e+12	3.60289e+12	1.06915e+10	0	0	4.89993e+11	4.64584e+11	1.78944e+10
1.25892e+16	4.20440e+17	4.85829e+12	3.93468e+12	1.16527e+10	0	0	5.39033e+11	5.04572e+11	1.95174e+10
1.25892e+16	4.19024e+17	5.31447e+12	4.29531e+12	1.26926e+10	0	0	5.93164e+11	5.47446e+11	2.12759e+10
1.25892e+16	4.17469e+17	5.81212e+12	4.68683e+12	1.38157e+10	0	0	6.52962e+11	5.93258e+11	2.31783e+10
1.25892e+16	4.15756e+17	6.35468e+12	5.11135e+12	1.50262e+10	0	0	7.19070e+11	6.42032e+11	2.52326e+10
1.25892e+16	4.13869e+17	6.94582e+12	5.57103e+12	1.63281e+10	0	0	7.92212e+11	6.93740e+11	2.74466e+10
1.25892e+16	4.11795e+17	7.58952e+12	6.06818e+12	1.77256e+10	0	0	8.73198e+11	7.48324e+11	2.98283e+10
1.25892e+16	4.09517e+17	8.28994e+12	6.60499e+12	1.92218e+10	0	0	9.62942e+11	8.05635e+11	3.23841e+10
1.25892e+16	4.07013e+17	9.05148e+12	7.18359e+12	2.08190e+10	0	0	1.06248e+12	8.65417e+11	3.51193e+10
1.25892e+16	4.04256e+17	9.87857e+12	7.80581e+12	2.25179e+10	0	0	1.17301e+12	9.27244e+11	3.80362e+10
1.25892e+16	4.01226e+17	1.07760e+13	8.47349e+12	2.43181e+10	0	0	1.29583e+12	9.90598e+11	4.11354e+10
1.25892e+16	3.97914e+17	1.17490e+13	9.18857e+12	2.62195e+10	0	0	1.43241e+12	1.05490e+12	4.44178e+10
1.25892e+16	3.94283e+17	1.28025e+13	9.95199e+12	2.82170e+10	0	0	1.58442e+12	1.11917e+12	4.78756e+10
1.25892e+16	3.90233e+17	1.39400e+13	1.07611e+13	3.02894e+10	0	0	1.75349e+12	1.18196e+12	5.14770e+10
1.25892e+16	3.85881e+17	1.51693e+13	1.16221e+13	3.24534e+10	0	0	1.94219e+12	1.24233e+12	5.52436e+10
1.25892e+16	3.81132e+17	1.64943e+13	1.25314e+13	3.46837e+10	0	0	2.15255e+12	1.29836e+12	5.91354e+10
1.25892e+16	3.75994e+17	1.79210e+13	1.34893e+13	3.69706e+10	0	0	2.38691e+12	1.34848e+12	6.31338e+10
1.25892e+16	3.70411e+17	1.94532e+13	1.44921e+13	3.92878e+10	0	0	2.64792e+12	1.39012e+12	6.71941e+10
1.25892e+16	3.64406e+17	2.10972e+13	1.55386e+13	4.16211e+10	0	0	2.93806e+12	1.42144e+12	7.12905e+10
1.25892e+16	3.57983e+17	2.28587e+13	1.66264e+13	4.39508e+10	0	0	3.25978e+12	1.44041e+12	7.53897e+10
1.25892e+16	3.51161e+17	2.47436e+13	1.77527e+13	4.62573e+10	0	0	3.61532e+12	1.44522e+12	7.94615e+10
1.25892e+16	3.43942e+17	2.67574e+13	1.89127e+13	4.85147e+10	0	0	4.00677e+12	1.43391e+12	8.34693e+10
1.25892e+16	3.36351e+17	2.89064e+13	2.01019e+13	5.07002e+10	0	0	4.43552e+12	1.40531e+12	8.73886e+10
