# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Z, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[2]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+2 N+4 O O+2 O+5 O+6 Si+ Si+2 Si+3 Si+4 log_nH log_Z parameters
39810700000000.0 2.37487e+18 29516200.0 3558070000.0 14178900000.0 786258000.0 15861900000.0 482.071 2550430000.0 218924000000.0 530229000000.0 8473.76 477781.0 2167240.0 361728000.0 -5.0 -3.0 [-5.0,-3.0]
39810700000000.0 2.37334e+18 33092100.0 3991800000.0 15909400000.0 881265000.0 17795000000.0 538.753 2856530000.0 245586000000.0 594489000000.0 9515.0 536286.0 2433350.0 405928000.0 -5.0 -2.95 [-5.0,-2.95]
39810700000000.0 2.37162e+18 37097800.0 4478350000.0 17851100000.0 987627000.0 19963400000.0 601.815 3198700000.0 275488000000.0 666480000000.0 10685.1 601982.0 2732350.0 455538000.0 -5.0 -2.9 [-5.0,-2.9]
39810700000000.0 2.36971e+18 41584100.0 5024140000.0 20030000000.0 1106670000.0 22395600000.0 671.905 3581020000.0 309022000000.0 747116000000.0 12000.4 675761.0 3068370.0 511221000.0 -5.0 -2.85 [-5.0,-2.85]
39810700000000.0 2.36757e+18 46607300.0 5636350000.0 22474800000.0 1239870000.0 25123600000.0 749.716 4007970000.0 346628000000.0 837418000000.0 13479.0 758624.0 3446070.0 573724000.0 -5.0 -2.8 [-5.0,-2.8]
39810700000000.0 2.36519e+18 52230600.0 6323050000.0 25218300000.0 1388860000.0 28183400000.0 835.992 4484530000.0 388797000000.0 938521000000.0 15141.5 851701.0 3870700.0 643887000.0 -5.0 -2.75 [-5.0,-2.75]
39810700000000.0 2.36254e+18 58523800.0 7093260000.0 28296700000.0 1555450000.0 31615000000.0 931.52 5016130000.0 436080000000.0 1051690000000.0 17011.5 956265.0 4348200.0 722651000.0 -5.0 -2.7 [-5.0,-2.7]
39810700000000.0 2.35958e+18 65564500.0 7957100000.0 31751200000.0 1741640000.0 35463600000.0 1037.12 5608710000.0 489093000000.0 1178330000000.0 19115.1 1073750.0 4885290.0 811077000.0 -5.0 -2.65 [-5.0,-2.65]
39810700000000.0 2.35628e+18 73438800.0 8925940000.0 35627600000.0 1949660000.0 39779600000.0 1153.65 6268800000.0 548528000000.0 1320010000000.0 21482.3 1205770.0 5489600.0 910358000.0 -5.0 -2.6 [-5.0,-2.6]
39810700000000.0 2.35262e+18 82242000.0 10012400000.0 39977600000.0 2181940000.0 44619400000.0 1281.99 7003480000.0 615153000000.0 1478460000000.0 24147.0 1354150.0 6169730.0 1021830000.0 -5.0 -2.55 [-5.0,-2.55]
39810700000000.0 2.34855e+18 92079500.0 11230800000.0 44859100000.0 2441170000.0 50046400000.0 1423.03 7820430000.0 689835000000.0 1655590000000.0 27147.3 1520940.0 6935470.0 1147020000.0 -5.0 -2.5 [-5.0,-2.5]
39810700000000.0 2.34404e+18 103067000.0 12597000000.0 50337300000.0 2730310000.0 56131400000.0 1577.65 8727970000.0 773537000000.0 1853540000000.0 30526.9 1708470.0 7797930.0 1287600000.0 -5.0 -2.45 [-5.0,-2.45]
39810700000000.0 2.33904e+18 115334000.0 14128800000.0 56485100000.0 3052600000.0 62953700000.0 1746.7 9735020000.0 867340000000.0 2074650000000.0 34335.0 1919370.0 8769730.0 1445500000.0 -5.0 -2.4 [-5.0,-2.4]
39810700000000.0 2.3335e+18 129020000.0 15846100000.0 63384700000.0 3411570000.0 70602200000.0 1930.97 10851200000.0 972450000000.0 2321520000000.0 38627.5 2156590.0 9865250.0 1622880000.0 -5.0 -2.35 [-5.0,-2.35]
39810700000000.0 2.32063e+18 161279000.0 19929000000.0 79819000000.0 4255320000.0 88786600000.0 2347.86 13452200000.0 1222140000000.0 2904270000000.0 48929.1 2723880.0 12495200.0 2046070000.0 -5.0 -2.25 [-5.0,-2.25]
39810700000000.0 2.31319e+18 180204000.0 22347300000.0 89573600000.0 4748850000.0 99558300000.0 2581.47 14959200000.0 1369910000000.0 3246760000000.0 55092.5 3062030.0 14069700.0 2297720000.0 -5.0 -2.2 [-5.0,-2.2]
39810700000000.0 2.30502e+18 201254000.0 25057200000.0 100523000000.0 5296560000.0 111630000000.0 2832.16 16619600000.0 1535400000000.0 3628270000000.0 62051.6 3442810.0 15848800.0 2580580000.0 -5.0 -2.15 [-5.0,-2.15]
39810700000000.0 2.29606e+18 224643000.0 28093400000.0 112813000000.0 5903730000.0 125159000000.0 3099.86 18445600000.0 1720720000000.0 4052970000000.0 69912.7 3871740.0 17860400.0 2898610000.0 -5.0 -2.1 [-5.0,-2.1]
39810700000000.0 2.27557e+18 279381000.0 35303600000.0 142100000000.0 7319460000.0 157301000000.0 3684.26 22645800000.0 2160450000000.0 5050550000000.0 88839.1 4899850.0 22714700.0 3658540000.0 -5.0 -2.0 [-5.0,-2.0]
39810700000000.0 2.26393e+18 311242000.0 39568600000.0 159491000000.0 8140460000.0 176329000000.0 3998.96 25045900000.0 2420410000000.0 5633800000000.0 100197.0 5514140.0 25636700.0 4111190000.0 -5.0 -1.95 [-5.0,-1.95]
39810700000000.0 2.2513e+18 346466000.0 44343100000.0 179018000000.0 9045850000.0 197644000000.0 4326.57 27663600000.0 2711320000000.0 6281080000000.0 113045.0 6207050.0 28952000.0 4620660000.0 -5.0 -1.9 [-5.0,-1.9]
39810700000000.0 2.23764e+18 385344000.0 49686100000.0 200947000000.0 10042800000.0 221520000000.0 4664.91 30512000000.0 3036840000000.0 6998810000000.0 127582.0 6988900.0 32716900.0 5194290000.0 -5.0 -1.85 [-5.0,-1.85]
39810700000000.0 2.22291e+18 428184000.0 55663700000.0 225574000000.0 11138700000.0 248262000000.0 5011.31 33604000000.0 3401010000000.0 7793940000000.0 144034.0 7871430.0 36997000.0 5840380000.0 -5.0 -1.8 [-5.0,-1.8]
39810700000000.0 2.19017e+18 527022000.0 69822700000.0 284312000000.0 13660000000.0 311758000000.0 5715.21 40569700000.0 4264050000000.0 9647470000000.0 183720.0 9993440.0 47417200.0 7389030000.0 -5.0 -1.7 [-5.0,-1.7]
