# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH parameters
933254000000000.0 5.01587e+18 10681400000000.0 1471730000000000.0 3557150000000000.0 1042400000000.0 304674000000000.0 1131700000000000.0 299453000.0 925145000000000.0 4882030000000000.0 1149950000000000.0 1205280000.0 37257600000.0 2420960000000.0 29675800000000.0 394515000000000.0 -4.62 [-4.62]
933254000000000.0 4.39102e+18 13040000000000.0 1596370000000000.0 3307220000000000.0 1189820000000.0 309893000000000.0 979019000000000.0 389442000.0 931067000000000.0 3912770000000000.0 822575000000000.0 1605600000.0 52667900000.0 2998440000000.0 33974500000000.0 395099000000000.0 -4.6 [-4.6]
933254000000000.0 3.80189e+18 16012100000000.0 1714260000000000.0 3017160000000000.0 1343290000000.0 309280000000000.0 837928000000000.0 512490000.0 927440000000000.0 3021010000000000.0 564191000000000.0 2188280000.0 76480900000.0 3697930000000.0 38812700000000.0 390323000000000.0 -4.58 [-4.58]
933254000000000.0 3.25188e+18 19723000000000.0 1812670000000000.0 2691770000000000.0 1498260000000.0 301771000000000.0 710438000000000.0 687587000.0 918326000000000.0 2217270000000000.0 366509000000000.0 3070550000.0 113718000000.0 4510390000000.0 44142500000000.0 378863000000000.0 -4.56 [-4.56]
933254000000000.0 2.76372e+18 24015500000000.0 1873600000000000.0 2354250000000000.0 1649540000000.0 288120000000000.0 599644000000000.0 940007000.0 912455000000000.0 1549810000000000.0 227218000000000.0 4395730000.0 169496000000.0 5383950000000.0 49590300000000.0 360497000000000.0 -4.54 [-4.54]
933254000000000.0 2.36782e+18 28277400000000.0 1889060000000000.0 2046420000000000.0 1797400000000.0 272471000000000.0 507882000000000.0 1285420000.0 917742000000000.0 1067200000000000.0 140220000000000.0 6193540000.0 244349000000.0 6238970000000.0 54465100000000.0 337821000000000.0 -4.52 [-4.52]
933254000000000.0 2.0667e+18 31936900000000.0 1869480000000000.0 1792320000000000.0 1946610000000.0 258844000000000.0 433855000000000.0 1718980000.0 932742000000000.0 752694000000000.0 89934500000000.0 8326740000.0 334314000000.0 7033400000000.0 58346900000000.0 314599000000000.0 -4.5 [-4.5]
933254000000000.0 1.83365e+18 34935900000000.0 1829690000000000.0 1584700000000000.0 2101360000000.0 247853000000000.0 373018000000000.0 2240630000.0 951700000000000.0 547226000000000.0 60091200000000.0 10698400000.0 438225000000.0 7778600000000.0 61341600000000.0 292377000000000.0 -4.48 [-4.48]
933254000000000.0 1.64686e+18 37374900000000.0 1778770000000000.0 1412020000000000.0 2262870000000.0 238942000000000.0 322108000000000.0 2855910000.0 970758000000000.0 408205000000000.0 41499100000000.0 13264000000.0 556616000000.0 8487990000000.0 63634500000000.0 271510000000000.0 -4.46 [-4.46]
933254000000000.0 1.49156e+18 39373900000000.0 1721460000000000.0 1264910000000000.0 2431870000000.0 231398000000000.0 278789000000000.0 3578470000.0 988113000000000.0 310177000000000.0 29328200000000.0 16019500000.0 691390000000.0 9171120000000.0 65378100000000.0 251876000000000.0 -4.44 [-4.44]
