Line			z		err_z	        b	   err_b     	  logN	     err_logN    chi_sq

HI_1      	    0.3467764144    0.0000192987    38.12759      6.45674  	13.456094    0.052620  	2.2973965
HI_2      	    0.3477092231    0.0000011949    73.67076      3.41310  	14.311615    0.025255  	2.2973965
HI_3                0.3479117504    0.0000016694    16.20340      0.31646  	16.097090    0.019687  	2.2973965
OVI_1031_1037_1     0.3475794007    0.0000058328    29.63435      2.03937  	14.264263    0.018561   1.3422760
OVI_1031_1037_2     0.3478844149    0.0000059847    13.23766      2.41193  	13.913302    0.037264   1.3422760
CII     	    0.3478948817    0.0000000000     3.08952     28.04921  	14.206967   16.549602   1.0609767
#CIII_cont    	    0.3474823635    0.0000202278    61.13666      6.93848  	13.548518    0.034987   1.4968092
CIII    	    0.3479229414    0.0000057201    22.56269      2.09600  	13.807780    0.045084   1.4968092
SiII     	    0.3479007919    0.0000071791     3.23683     22.81096  	13.193418   12.323048   1.5111224
SiIII	            0.3479145358    0.0000096123     9.70904     12.19953  	12.871448    1.187579   3.5046019
