Line			z		err_z	        b	   err_b     	  logN	     err_logN    chi_sq

HI_1	            0.3467799434    0.0000200055    36.02937     7.13522  	13.384318    0.061678	2.4460754  
HI_2      	    0.3477056570    0.0000012150    73.47859     3.66419  	14.273462    0.027121	2.4460754
HI_3      	    0.3479116836    0.0000017646    15.98443     0.32789  	16.066236    0.020874	2.4460754
OVI_1031_1037_1     0.3475810865    0.0000060490    28.55038     2.13214  	14.232150    0.020631	1.4356901
OVI_1031_1037_2     0.3478817747    0.0000061017    11.96454     2.50450	13.913302    0.039531	1.4356901
CII     	    0.3478948817    0.0000078728     2.73614    26.32313  	14.157729   17.124186   1.5408041
#CIII_cont    	    0.3474959452    0.0000236548    59.66791     8.27162  	13.514368    0.042535   1.8454108
CIII		    0.3479212445    0.0000065966    21.58757     2.49903  	13.809118    0.061240  	1.8454108
SiII     	    0.3479005647    0.0000085042     2.67119    18.85168  	13.352548   11.576457	1.4380532 
SiIII	            0.3479133648    0.0000087233     8.60602     5.00442  	12.849058    0.320434	2.5635864
