#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	grid parameter string
000000290	F	F	                  ok	0	1	0.800000	0.800000
000000291	F	F	                  ok	11	23	0.820000	0.820000
000000292	F	F	                  ok	2	4	0.840000	0.840000
000000293	F	F	                  ok	8	9	0.860000	0.860000
000000294	F	F	                  ok	9	11	0.880000	0.880000
000000295	F	F	                  ok	7	8	0.900000	0.900000
000000296	F	F	                  ok	5	2	0.920000	0.920000
000000297	F	F	                  ok	0	6	0.940000	0.940000
000000298	F	F	                  ok	1	9	0.960000	0.960000
000000299	F	F	                  ok	2	5	0.980000	0.980000
000000300	F	F	                  ok	1	21	1.000000	1.000000
