#depth	Te	cC/dT	dt/dr	d^2T/dr^2
7.34484e+25	2.4783e+03	-6.46e-37	-3.42e-22	-2.61e-46
7.36468e+25	2.4302e+03	-6.54e-37	-2.54e-22	4.63e-46
7.38643e+25	2.3585e+03	-6.64e-37	-2.92e-22	-1.51e-46
7.40991e+25	2.3089e+03	-6.72e-37	-2.22e-22	3.11e-46
7.43128e+25	2.2670e+03	-6.78e-37	-2.06e-22	8.02e-47
7.45469e+25	2.2038e+03	-6.87e-37	-2.39e-22	-1.25e-46
7.47996e+25	2.1601e+03	-6.93e-37	-1.82e-22	2.37e-46
7.50296e+25	2.1223e+03	-6.99e-37	-1.72e-22	4.26e-47
7.52817e+25	2.0648e+03	-7.06e-37	-2.02e-22	-1.03e-46
7.55538e+25	2.0258e+03	-7.11e-37	-1.50e-22	1.98e-46
7.58519e+25	1.9669e+03	-7.17e-37	-1.75e-22	-7.29e-47
7.61738e+25	1.9249e+03	-7.22e-37	-1.37e-22	1.24e-46
7.64667e+25	1.8890e+03	-7.26e-37	-1.29e-22	2.96e-47
7.67877e+25	1.8371e+03	-7.30e-37	-1.43e-22	-3.96e-47
7.71343e+25	1.7987e+03	-7.33e-37	-1.16e-22	8.06e-47
7.74496e+25	1.7662e+03	-7.35e-37	-1.08e-22	2.78e-47
7.77951e+25	1.7189e+03	-7.36e-37	-1.21e-22	-3.37e-47
7.81682e+25	1.6843e+03	-7.38e-37	-9.73e-23	6.72e-47
7.85076e+25	1.6549e+03	-7.38e-37	-9.08e-23	2.03e-47
7.88796e+25	1.6121e+03	-7.36e-37	-1.02e-22	-2.64e-47
7.92812e+25	1.5810e+03	-7.35e-37	-8.12e-23	5.40e-47
7.97213e+25	1.5373e+03	-7.30e-37	-8.79e-23	-1.34e-47
8.01964e+25	1.5052e+03	-7.27e-37	-7.09e-23	3.75e-47
8.06287e+25	1.4786e+03	-7.23e-37	-6.46e-23	1.54e-47
8.11025e+25	1.4407e+03	-7.15e-37	-7.07e-23	-1.16e-47
8.16139e+25	1.4140e+03	-7.09e-37	-5.48e-23	3.28e-47
8.21743e+25	1.3773e+03	-6.97e-37	-5.80e-23	-5.11e-48
8.27794e+25	1.3526e+03	-6.90e-37	-4.28e-23	2.65e-47
8.34424e+25	1.3191e+03	-6.75e-37	-4.47e-23	-2.63e-48
8.41581e+25	1.2996e+03	-6.68e-37	-2.86e-23	2.36e-47
8.48244e+25	1.2850e+03	-6.62e-37	-2.25e-23	9.47e-48
8.55725e+25	1.2663e+03	-6.52e-37	-2.20e-23	5.47e-49
8.63768e+25	1.2670e+03	-6.55e-37	8.39e-25	2.99e-47
8.70566e+25	1.2831e+03	-6.66e-37	2.70e-23	4.38e-47
8.76226e+25	1.3005e+03	-6.76e-37	3.26e-23	1.05e-47
8.82379e+25	1.3151e+03	-6.82e-37	2.09e-23	-1.67e-47
8.90378e+25	1.3487e+03	-6.92e-37	3.72e-23	1.80e-47
8.98313e+25	1.4421e+03	-7.13e-37	1.37e-22	1.46e-46
9.03433e+25	1.5620e+03	-7.23e-37	3.51e-22	6.28e-46
9.05992e+25	1.6457e+03	-7.23e-37	4.91e-22	8.17e-46
9.07349e+25	1.6946e+03	-7.21e-37	4.86e-22	-4.95e-47
9.08375e+25	1.7189e+03	-7.19e-37	2.32e-22	-2.42e-45
9.09579e+25	1.7359e+03	-7.15e-37	1.25e-22	-7.93e-46
9.11144e+25	1.7726e+03	-7.10e-37	2.07e-22	4.67e-46
9.13178e+25	1.8213e+03	-7.02e-37	2.12e-22	2.11e-47
9.15616e+25	1.8913e+03	-6.91e-37	2.72e-22	2.31e-46
9.17948e+25	1.9947e+03	-6.75e-37	4.95e-22	1.07e-45
9.19597e+25	2.1043e+03	-6.59e-37	9.06e-22	3.40e-45
9.20550e+25	2.1789e+03	-6.47e-37	1.07e-21	2.37e-45
9.21204e+25	2.2188e+03	-6.41e-37	6.55e-22	-6.82e-45
9.21905e+25	2.2481e+03	-6.35e-37	3.68e-22	-3.61e-45
9.22818e+25	2.2877e+03	-6.27e-37	3.85e-22	1.57e-46
9.24004e+25	2.3454e+03	-6.16e-37	4.30e-22	3.38e-46
9.25492e+25	2.4301e+03	-6.00e-37	5.18e-22	5.36e-46
9.27015e+25	2.5629e+03	-5.78e-37	9.43e-22	3.02e-45
9.28126e+25	2.7086e+03	-5.56e-37	1.79e-21	1.04e-44
9.28761e+25	2.8049e+03	-5.42e-37	2.12e-21	7.28e-45
9.29187e+25	2.8547e+03	-5.34e-37	1.25e-21	-2.18e-44
9.29644e+25	2.8957e+03	-5.27e-37	7.95e-22	-8.87e-45
9.30238e+25	2.9470e+03	-5.19e-37	7.65e-22	-4.47e-46
9.31010e+25	3.0259e+03	-5.06e-37	9.04e-22	1.59e-45
9.31949e+25	3.1378e+03	-4.89e-37	1.11e-21	2.09e-45
9.32874e+25	3.3077e+03	-4.64e-37	2.01e-21	1.06e-44
9.33543e+25	3.4855e+03	-4.40e-37	3.60e-21	3.22e-44
9.33935e+25	3.5965e+03	-4.25e-37	3.82e-21	7.54e-45
9.34222e+25	3.6610e+03	-4.16e-37	2.29e-21	-5.44e-44
9.34546e+25	3.6936e+03	-4.10e-37	8.89e-22	-3.80e-44
9.34969e+25	3.7801e+03	-3.98e-37	1.81e-21	1.94e-44
9.35517e+25	3.8702e+03	-3.85e-37	1.45e-21	-5.82e-45
9.36227e+25	4.0064e+03	-3.66e-37	1.70e-21	3.14e-45
9.36980e+25	4.1797e+03	-3.42e-37	2.46e-21	1.07e-44
9.37588e+25	4.3482e+03	-3.19e-37	3.30e-21	1.65e-44
9.38041e+25	4.4660e+03	-3.03e-37	2.98e-21	-8.09e-45
9.38464e+25	4.5392e+03	-2.93e-37	1.63e-21	-3.01e-44
9.38981e+25	4.6103e+03	-2.82e-37	1.22e-21	-7.02e-45
9.39653e+25	4.7027e+03	-2.69e-37	1.22e-21	-6.98e-48
9.40526e+25	4.8096e+03	-2.53e-37	1.08e-21	-1.36e-45
9.41662e+25	4.9475e+03	-2.33e-37	1.07e-21	-5.86e-47
9.42995e+25	5.1070e+03	-2.10e-37	1.15e-21	5.77e-46
9.44350e+25	5.2615e+03	-1.87e-37	1.16e-21	7.63e-47
9.45691e+25	5.3895e+03	-1.68e-37	9.44e-22	-1.63e-45
9.47226e+25	5.4991e+03	-1.51e-37	6.40e-22	-1.77e-45
9.49196e+25	5.6185e+03	-1.31e-37	5.36e-22	-4.64e-46
9.51757e+25	5.7518e+03	-1.09e-37	4.60e-22	-2.63e-46
9.55079e+25	5.8932e+03	-8.44e-38	3.77e-22	-2.22e-46
9.59297e+25	6.0343e+03	-5.88e-38	3.01e-22	-1.62e-46
9.64646e+25	6.1542e+03	-3.47e-38	1.99e-22	-1.69e-46
9.71559e+25	6.2359e+03	-1.43e-38	1.04e-22	-1.22e-46
9.80546e+25	6.2744e+03	1.19e-39	3.79e-23	-6.55e-47
9.92228e+25	6.2363e+03	7.08e-39	-2.88e-23	-5.05e-47
1.00742e+26	6.1087e+03	1.03e-39	-7.43e-23	-2.65e-47
1.02716e+26	5.8688e+03	-2.06e-38	-1.07e-22	-1.49e-47
1.04651e+26	5.6349e+03	-4.53e-38	-1.43e-22	-2.16e-47
1.06062e+26	5.4181e+03	-7.14e-38	-1.83e-22	-3.41e-47
1.07097e+26	5.2272e+03	-9.54e-38	-2.15e-22	-3.60e-47
1.07906e+26	5.0432e+03	-1.19e-37	-2.52e-22	-5.11e-47
1.08570e+26	4.8548e+03	-1.44e-37	-3.14e-22	-1.03e-46
1.09101e+26	4.6734e+03	-1.67e-37	-3.91e-22	-1.67e-46
1.09512e+26	4.4935e+03	-1.91e-37	-5.02e-22	-3.10e-46
1.09825e+26	4.3132e+03	-2.15e-37	-6.72e-22	-6.31e-46
1.10056e+26	4.1338e+03	-2.39e-37	-9.32e-22	-1.35e-45
1.10218e+26	2.7783e+03	-4.12e-37	-1.02e-20	-6.95e-44
1.10346e+26	2.8016e+03	-4.09e-37	1.92e-22	8.56e-44
1.10485e+26	2.5697e+03	-4.38e-37	-1.47e-21	-1.06e-44
1.10635e+26	2.4809e+03	-4.49e-37	-6.20e-22	5.95e-45
1.10772e+26	2.4046e+03	-4.58e-37	-5.85e-22	2.67e-46
1.10897e+26	2.3485e+03	-4.65e-37	-4.72e-22	9.49e-46
1.11010e+26	2.3018e+03	-4.71e-37	-4.33e-22	3.65e-46
1.11113e+26	2.2635e+03	-4.76e-37	-3.89e-22	4.44e-46
1.11226e+26	2.2016e+03	-4.84e-37	-4.85e-22	-7.47e-46
1.11348e+26	2.1652e+03	-4.88e-37	-3.13e-22	1.48e-45
1.11482e+26	2.1061e+03	-4.95e-37	-3.91e-22	-5.20e-46
1.11626e+26	2.0704e+03	-5.00e-37	-2.59e-22	9.60e-46
1.11784e+26	2.0126e+03	-5.06e-37	-3.23e-22	-3.58e-46
1.11955e+26	1.9801e+03	-5.10e-37	-1.99e-22	7.63e-46
1.12142e+26	1.9301e+03	-5.16e-37	-2.36e-22	-1.75e-46
1.12344e+26	1.8982e+03	-5.19e-37	-1.66e-22	3.64e-46
1.12565e+26	1.8483e+03	-5.24e-37	-1.99e-22	-1.33e-46
1.12804e+26	1.8153e+03	-5.28e-37	-1.45e-22	2.40e-46
1.13066e+26	1.7641e+03	-5.33e-37	-1.73e-22	-9.64e-47
1.13349e+26	1.7299e+03	-5.36e-37	-1.27e-22	1.72e-46
1.13659e+26	1.6786e+03	-5.40e-37	-1.46e-22	-5.53e-47
1.13993e+26	1.6438e+03	-5.43e-37	-1.09e-22	1.16e-46
1.14297e+26	1.6143e+03	-5.45e-37	-1.02e-22	2.60e-47
1.14631e+26	1.5700e+03	-5.48e-37	-1.18e-22	-4.19e-47
1.14991e+26	1.5393e+03	-5.50e-37	-8.94e-23	8.19e-47
1.15385e+26	1.4951e+03	-5.52e-37	-9.92e-23	-2.19e-47
1.15811e+26	1.4635e+03	-5.53e-37	-7.78e-23	5.26e-47
1.16199e+26	1.4368e+03	-5.53e-37	-7.23e-23	1.50e-47
1.16623e+26	1.3981e+03	-5.53e-37	-8.05e-23	-1.71e-47
1.17082e+26	1.3706e+03	-5.53e-37	-6.29e-23	4.03e-47
1.17499e+26	1.3471e+03	-5.53e-37	-5.91e-23	9.58e-48
1.17956e+26	1.3132e+03	-5.51e-37	-6.57e-23	-1.28e-47
1.18450e+26	1.2886e+03	-5.50e-37	-5.23e-23	2.86e-47
1.18991e+26	1.2546e+03	-5.47e-37	-5.56e-23	-5.44e-48
1.19574e+26	1.2294e+03	-5.45e-37	-4.54e-23	1.84e-47
1.20106e+26	1.2079e+03	-5.42e-37	-4.23e-23	6.01e-48
1.20688e+26	1.1784e+03	-5.38e-37	-4.49e-23	-3.92e-48
1.21317e+26	1.1560e+03	-5.34e-37	-3.74e-23	1.26e-47
1.22005e+26	1.1265e+03	-5.28e-37	-3.79e-23	-7.13e-49
1.22749e+26	1.1037e+03	-5.23e-37	-3.22e-23	8.02e-48
1.23426e+26	1.0843e+03	-5.18e-37	-3.00e-23	3.52e-48
1.24167e+26	1.0589e+03	-5.10e-37	-3.03e-23	-3.98e-49
1.24967e+26	1.0389e+03	-5.04e-37	-2.63e-23	5.22e-48
1.25845e+26	1.0134e+03	-4.95e-37	-2.57e-23	6.49e-49
1.26792e+26	9.9260e+02	-4.87e-37	-2.30e-23	2.92e-48
1.27653e+26	9.7459e+02	-4.80e-37	-2.19e-23	1.37e-48
1.28598e+26	9.5197e+02	-4.70e-37	-2.12e-23	6.83e-49
1.29617e+26	9.3360e+02	-4.62e-37	-1.89e-23	2.35e-48
1.30734e+26	9.1131e+02	-4.50e-37	-1.77e-23	9.92e-49
1.31940e+26	8.9285e+02	-4.40e-37	-1.61e-23	1.38e-48
1.33038e+26	8.7743e+02	-4.31e-37	-1.47e-23	1.26e-48
1.34240e+26	8.5873e+02	-4.19e-37	-1.38e-23	7.26e-49
1.35539e+26	8.4308e+02	-4.09e-37	-1.27e-23	8.94e-49
1.36961e+26	8.2477e+02	-3.96e-37	-1.14e-23	7.88e-49
1.38497e+26	8.0926e+02	-3.85e-37	-1.06e-23	5.36e-49
1.40180e+26	7.9165e+02	-3.71e-37	-9.26e-24	7.05e-49
1.41997e+26	7.7663e+02	-3.59e-37	-8.68e-24	3.34e-49
1.43988e+26	7.6007e+02	-3.44e-37	-7.36e-24	5.88e-49
