Line			z		err_z	        b	   err_b     	  logN	     err_logN    chi_sq

SiIII    0.2249516675    0.0000190727    35.03894      6.98373  12.803234    0.058471  1.1836367

CIII    0.2249862187    0.0000024163    45.03468      0.91372  13.972539    0.006615  1.3758480 
CIII    0.2253342276    0.0000130441    13.05162      6.21069  12.471005    0.091765  1.3758480 
CIII    0.2264055794    0.0000322607    19.72413     13.67432  12.128282    0.146678  1.3758480

OVI     0.2249808289    0.0000036774    45.39677      1.35523  14.243250    0.009108  1.7494653 
OVI     0.2252254380    0.0000075716     1.32446      3.45702  13.235705    0.704700  1.7494653 
OVI     0.2263856209    0.0000047149    12.65554      2.17167  13.423645    0.028401  1.7494653

#HI      0.2248659017    0.0000699081    49.10389      4.35507     15.268288    0.132768   1073
#HI      0.2250841123    0.0000687099    14.50097      8.60473     15.012031    0.440466   1073
#HI      0.2261303635    0.0006177562    56.59603    222.81837  13.479715    1.100553   1073  

#------- 5 component fit ----------
HI      0.2244883407    0.0000167241    25.70141      4.85382  13.703704    0.073213  0  
HI      0.2248499914    0.0000056350    37.92007      1.67322  15.229016    0.015284  0  
HI      0.2253127537    0.0000011643     4.83090     11.31940  12.814194   0.363671  0  
HI      0.2250839537    0.0000034979    16.30154      0.79196  15.080965    0.026046  0  
HI      0.2261534508   0.0000000000    59.12604     10.03322  13.480139    0.055629  0 
