H	H+	C+	C+2	C+3	O+5	O+6	Si+	Si+2	Si+3
1.34896e+14	5.47636e+19	1.64541e+09	5.20545e+11	1.13108e+13	5.08546e+14	2.28142e+15	7.54922e+05	4.88431e+08	1.36859e+10
1.34896e+14	5.48555e+19	1.84733e+09	5.84818e+11	1.27105e+13	5.72059e+14	2.56262e+15	8.48369e+05	5.48999e+08	1.53848e+10
1.34896e+14	5.49580e+19	2.07414e+09	6.57118e+11	1.42859e+13	6.43693e+14	2.87883e+15	9.53554e+05	6.17208e+08	1.72985e+10
1.34896e+14	5.50747e+19	2.32898e+09	7.38489e+11	1.60602e+13	7.24557e+14	3.23467e+15	1.07203e+06	6.94076e+08	1.94557e+10
1.34896e+14	5.52084e+19	2.61542e+09	8.30119e+11	1.80596e+13	8.15912e+14	3.63534e+15	1.20556e+06	7.80764e+08	2.18893e+10
1.34895e+14	5.53617e+19	2.93748e+09	9.33353e+11	2.03142e+13	9.19210e+14	4.08675e+15	1.35615e+06	8.78597e+08	2.46369e+10
1.34895e+14	5.55379e+19	3.29967e+09	1.04973e+12	2.28583e+13	1.03614e+15	4.59568e+15	1.52611e+06	9.89100e+08	2.77417e+10
1.34895e+14	5.57409e+19	3.70723e+09	1.18099e+12	2.57315e+13	1.16866e+15	5.16991e+15	1.71808e+06	1.11404e+09	3.12539e+10
1.34895e+14	5.59742e+19	4.16597e+09	1.32916e+12	2.89789e+13	1.31900e+15	5.81846e+15	1.93512e+06	1.25544e+09	3.52312e+10
1.34896e+14	5.62444e+19	4.68261e+09	1.49658e+12	3.26542e+13	1.48983e+15	6.55194e+15	2.18082e+06	1.41572e+09	3.97422e+10
1.34896e+14	5.65564e+19	5.26464e+09	1.68588e+12	3.68174e+13	1.68415e+15	7.38235e+15	2.45931e+06	1.59765e+09	4.48657e+10
1.34896e+14	5.69154e+19	5.92040e+09	1.90009e+12	4.15385e+13	1.90536e+15	8.32327e+15	2.77532e+06	1.80444e+09	5.06939e+10
1.34896e+14	5.73327e+19	6.65983e+09	2.14286e+12	4.69024e+13	2.15772e+15	9.39179e+15	3.13461e+06	2.04002e+09	5.73396e+10
1.34896e+14	5.78167e+19	7.49412e+09	2.41828e+12	5.30057e+13	2.44612e+15	1.06078e+16	3.54375e+06	2.30890e+09	6.49335e+10
1.34896e+14	5.83701e+19	8.43509e+09	2.73080e+12	5.99550e+13	2.77609e+15	1.19932e+16	4.01007e+06	2.61617e+09	7.36223e+10
1.34896e+14	5.90125e+19	9.49832e+09	3.08633e+12	6.78929e+13	3.15498e+15	1.35775e+16	4.54316e+06	2.96856e+09	8.36015e+10
1.34896e+14	5.97641e+19	1.06999e+10	3.49141e+12	7.69815e+13	3.59157e+15	1.53961e+16	5.15441e+06	3.37414e+09	9.51057e+10
1.34896e+14	6.06459e+19	1.20592e+10	3.95397e+12	8.74197e+13	4.09648e+15	1.74921e+16	5.85744e+06	3.84268e+09	1.08422e+11
1.34895e+14	6.16840e+19	1.35992e+10	4.48377e+12	9.94561e+13	4.68305e+15	1.99186e+16	6.66885e+06	4.38632e+09	1.23907e+11
1.34895e+14	6.29089e+19	1.53425e+10	5.09123e+12	1.13373e+14	5.36784e+15	2.27422e+16	7.60882e+06	5.02004e+09	1.42007e+11
1.34896e+14	6.43633e+19	1.73157e+10	5.78921e+12	1.29525e+14	6.17218e+15	2.60477e+16	8.70258e+06	5.76302e+09	1.63297e+11
1.34896e+14	6.60961e+19	1.95463e+10	6.59241e+12	1.48344e+14	7.12340e+15	2.99436e+16	9.98095e+06	6.63930e+09	1.88506e+11
1.34896e+14	6.81683e+19	2.20716e+10	7.52103e+12	1.70418e+14	8.25630e+15	3.45687e+16	1.14826e+07	7.68007e+09	2.18588e+11
1.34896e+14	7.06603e+19	2.49633e+10	8.61032e+12	1.96702e+14	9.61795e+15	4.01070e+16	1.32578e+07	8.92696e+09	2.54827e+11
1.34896e+14	7.36793e+19	2.82486e+10	9.88460e+12	2.28073e+14	1.12713e+16	4.68061e+16	1.53679e+07	1.04338e+10	2.98925e+11
1.34896e+14	7.73759e+19	3.19793e+10	1.13826e+13	2.65866e+14	1.33038e+16	5.50048e+16	1.78955e+07	1.22757e+10	3.53293e+11
1.34896e+14	8.19337e+19	3.61640e+10	1.31352e+13	3.11521e+14	1.58352e+16	6.51677e+16	2.09356e+07	1.45482e+10	4.21115e+11
1.34896e+14	8.68469e+19	4.06707e+10	1.50927e+13	3.64362e+14	1.88695e+16	7.72722e+16	2.44932e+07	1.72569e+10	5.02831e+11
1.34896e+14	9.25585e+19	4.55051e+10	1.73249e+13	4.27458e+14	2.26131e+16	9.21033e+16	2.87114e+07	2.05496e+10	6.03933e+11
1.34895e+14	9.87908e+19	5.05723e+10	1.97945e+13	5.01009e+14	2.71462e+16	1.09908e+17	3.36410e+07	2.44825e+10	7.26915e+11
1.34896e+14	1.05792e+20	5.58810e+10	2.25350e+13	5.87300e+14	3.27062e+16	1.31519e+17	3.94585e+07	2.92471e+10	8.78804e+11
1.34896e+14	1.13939e+20	6.12544e+10	2.55131e+13	6.87752e+14	3.96518e+16	1.58179e+17	4.63515e+07	3.50793e+10	1.06952e+12
1.34896e+14	1.23034e+20	6.66751e+10	2.87042e+13	8.02477e+14	4.82257e+16	1.90567e+17	5.44819e+07	4.21826e+10	1.30794e+12
1.34896e+14	1.33478e+20	7.20686e+10	3.20922e+13	9.33964e+14	5.89683e+16	2.30365e+17	6.41052e+07	5.09188e+10	1.61091e+12
1.34896e+14	1.46239e+20	7.74619e+10	3.57825e+13	1.08994e+15	7.28791e+16	2.80687e+17	7.56835e+07	6.19868e+10	2.01099e+12
1.34896e+14	1.62604e+20	8.27188e+10	3.98224e+13	1.27920e+15	9.15043e+16	3.46027e+17	8.99767e+07	7.65317e+10	2.56327e+12
1.34896e+14	1.84867e+20	8.72452e+10	4.40614e+13	1.51076e+15	1.17626e+17	4.34039e+17	1.07387e+08	9.60096e+10	3.36194e+12
1.34896e+14	2.12966e+20	9.13986e+10	4.83845e+13	1.78787e+15	1.53233e+17	5.47218e+17	1.28330e+08	1.21891e+11	4.52114e+12
1.34896e+14	2.47335e+20	9.56067e+10	5.28569e+13	2.11780e+15	2.00741e+17	6.86680e+17	1.54091e+08	1.57181e+11	6.25800e+12
1.34895e+14	2.95095e+20	9.97657e+10	5.74367e+13	2.53094e+15	2.67623e+17	8.63517e+17	1.86292e+08	2.08962e+11	9.18869e+12
1.34896e+14	3.71088e+20	1.03839e+11	6.20140e+13	3.08563e+15	3.63166e+17	1.08464e+18	2.27904e+08	2.94717e+11	1.51738e+13
1.34896e+14	5.10248e+20	1.08121e+11	6.69575e+13	3.91983e+15	4.85251e+17	1.33642e+18	2.86752e+08	4.70732e+11	3.19384e+13
1.34896e+14	8.27517e+20	1.12179e+11	7.16529e+13	5.25498e+15	6.31832e+17	1.59134e+18	3.56024e+08	8.15957e+11	8.64531e+13
1.34896e+14	1.69984e+21	1.15621e+11	7.46647e+13	7.20101e+15	9.06573e+17	1.80264e+18	3.93458e+08	1.15163e+12	1.95085e+14
1.34896e+14	1.01777e+22	1.19063e+11	7.63248e+13	1.13907e+16	3.48074e+18	2.16844e+18	4.03305e+08	1.33174e+12	4.32205e+14
1.34895e+14	3.12693e+23	1.22124e+11	7.66007e+13	2.11778e+16	1.06325e+20	7.48423e+18	4.01247e+08	1.33652e+12	9.07966e+14
1.34896e+14	1.58561e+24	1.27299e+11	7.76805e+13	2.98883e+16	6.04504e+20	3.25147e+19	4.03823e+08	1.31682e+12	1.26503e+15
1.34896e+14	4.25223e+24	1.33538e+11	7.88119e+13	4.10185e+16	1.81995e+21	9.36212e+19	4.08673e+08	1.30343e+12	1.67025e+15
1.34896e+14	9.28171e+24	1.41833e+11	8.07909e+13	5.80763e+16	4.46202e+21	2.26533e+20	4.16426e+08	1.29519e+12	2.21491e+15
1.34896e+14	2.14674e+25	1.51418e+11	8.30206e+13	9.16381e+16	1.15813e+22	5.84866e+20	4.23453e+08	1.28843e+12	3.09013e+15
1.34896e+14	8.38789e+25	1.63125e+11	8.57789e+13	1.90150e+17	5.08829e+22	2.56392e+21	4.32976e+08	1.28773e+12	4.52871e+15
1.11390e+14	2.75424e+26	1.77289e+11	8.91124e+13	2.72470e+17	1.87505e+23	9.44816e+21	4.44822e+08	1.27242e+12	4.90853e+15
8.13594e+13	2.75425e+26	1.94469e+11	9.35045e+13	2.72648e+17	2.10427e+23	1.06094e+22	4.60261e+08	1.26320e+12	4.92065e+15
6.33611e+13	2.75424e+26	2.06480e+11	9.65881e+13	2.73101e+17	2.37136e+23	1.19642e+22	4.74862e+08	1.24791e+12	4.93381e+15
5.19746e+13	2.75422e+26	2.14775e+11	9.83177e+13	2.73947e+17	2.66114e+23	1.34359e+22	4.87425e+08	1.23547e+12	4.95426e+15
4.34091e+13	2.75421e+26	2.14712e+11	9.60331e+13	2.74487e+17	2.98754e+23	1.50978e+22	4.97140e+08	1.23175e+12	4.97525e+15
3.67394e+13	2.75424e+26	2.18100e+11	9.56050e+13	2.75655e+17	3.35255e+23	1.69580e+22	5.06672e+08	1.21804e+12	5.00366e+15
1.34896e+14	5.32930e+19	1.10545e+07	3.43389e+09	7.35795e+10	3.15746e+12	1.37462e+13	5.28362e+03	3.40728e+06	9.45930e+07
1.34896e+14	5.32931e+19	1.24034e+07	3.85289e+09	8.25576e+10	3.54273e+12	1.54235e+13	5.92833e+03	3.82304e+06	1.06136e+08
1.34896e+14	5.32933e+19	1.39168e+07	4.32302e+09	9.26315e+10	3.97503e+12	1.73055e+13	6.65173e+03	4.28955e+06	1.19087e+08
1.34896e+14	5.32935e+19	1.56150e+07	4.85052e+09	1.03935e+11	4.46007e+12	1.94172e+13	7.46341e+03	4.81298e+06	1.33618e+08
1.34896e+14	5.32938e+19	1.75203e+07	5.44238e+09	1.16617e+11	5.00430e+12	2.17865e+13	8.37412e+03	5.40028e+06	1.49923e+08
1.34896e+14	5.32941e+19	1.96581e+07	6.10647e+09	1.30847e+11	5.61495e+12	2.44450e+13	9.39599e+03	6.05927e+06	1.68218e+08
1.34896e+14	5.32945e+19	2.20568e+07	6.85160e+09	1.46814e+11	6.30011e+12	2.74279e+13	1.05426e+04	6.79867e+06	1.88745e+08
1.34896e+14	5.32949e+19	2.47482e+07	7.68765e+09	1.64729e+11	7.06890e+12	3.07748e+13	1.18291e+04	7.62832e+06	2.11778e+08
1.34896e+14	5.32955e+19	2.77681e+07	8.62574e+09	1.84831e+11	7.93152e+12	3.45302e+13	1.32726e+04	8.55923e+06	2.37622e+08
1.34896e+14	5.32962e+19	3.11565e+07	9.67831e+09	2.07386e+11	8.89942e+12	3.87440e+13	1.48923e+04	9.60376e+06	2.66620e+08
1.34896e+14	5.32971e+19	3.49583e+07	1.08593e+10	2.32694e+11	9.98547e+12	4.34721e+13	1.67097e+04	1.07758e+07	2.99159e+08
1.34896e+14	5.32982e+19	3.92242e+07	1.21845e+10	2.61092e+11	1.12041e+13	4.87775e+13	1.87490e+04	1.20909e+07	3.35669e+08
1.34896e+14	5.32996e+19	4.40107e+07	1.36714e+10	2.92956e+11	1.25715e+13	5.47304e+13	2.10372e+04	1.35666e+07	3.76638e+08
1.34896e+14	5.33013e+19	4.93817e+07	1.53399e+10	3.28712e+11	1.41060e+13	6.14103e+13	2.36049e+04	1.52225e+07	4.22609e+08
1.34896e+14	5.33034e+19	5.54084e+07	1.72122e+10	3.68834e+11	1.58278e+13	6.89059e+13	2.64861e+04	1.70806e+07	4.74196e+08
1.34896e+14	5.33060e+19	6.21711e+07	1.93131e+10	4.13857e+11	1.77600e+13	7.73171e+13	2.97192e+04	1.91658e+07	5.32085e+08
1.34896e+14	5.33093e+19	6.97599e+07	2.16706e+10	4.64381e+11	1.99283e+13	8.67561e+13	3.33474e+04	2.15057e+07	5.97048e+08
1.34896e+14	5.33133e+19	7.82758e+07	2.43163e+10	5.21080e+11	2.23616e+13	9.73488e+13	3.74190e+04	2.41317e+07	6.69952e+08
1.34896e+14	5.33183e+19	8.78325e+07	2.72854e+10	5.84713e+11	2.50926e+13	1.09237e+14	4.19884e+04	2.70788e+07	7.51772e+08
1.34896e+14	5.33229e+19	9.85548e+07	3.06168e+10	6.56110e+11	2.81568e+13	1.22575e+14	4.71155e+04	3.03857e+07	8.43579e+08
1.34896e+14	5.33266e+19	1.10584e+08	3.43542e+10	7.36212e+11	3.15947e+13	1.37540e+14	5.28679e+04	3.40958e+07	9.46583e+08
1.34896e+14	5.33307e+19	1.24081e+08	3.85480e+10	8.26100e+11	3.54527e+13	1.54333e+14	5.93231e+04	3.82592e+07	1.06217e+09
1.34896e+14	5.33354e+19	1.39226e+08	4.32541e+10	9.26972e+11	3.97822e+13	1.73178e+14	6.65670e+04	4.29315e+07	1.19189e+09
1.34896e+14	5.33407e+19	1.56219e+08	4.85352e+10	1.04017e+12	4.46410e+13	1.94326e+14	7.46963e+04	4.81749e+07	1.33747e+09
1.34896e+14	5.33467e+19	1.75288e+08	5.44616e+10	1.16721e+12	5.00937e+13	2.18060e+14	8.38193e+04	5.40595e+07	1.50085e+09
1.34896e+14	5.33536e+19	1.96684e+08	6.11123e+10	1.30978e+12	5.62136e+13	2.44695e+14	9.40579e+04	6.06638e+07	1.68422e+09
1.34896e+14	5.33614e+19	2.20693e+08	6.85760e+10	1.46979e+12	6.30822e+13	2.74589e+14	1.05549e+05	6.80761e+07	1.89002e+09
1.34896e+14	5.33704e+19	2.47632e+08	7.69525e+10	1.64938e+12	7.07917e+13	3.08141e+14	1.18446e+05	7.63958e+07	2.12103e+09
1.34896e+14	5.33807e+19	2.77862e+08	8.63539e+10	1.85095e+12	7.94453e+13	3.45800e+14	1.32921e+05	8.57343e+07	2.38033e+09
1.34896e+14	5.33926e+19	3.11782e+08	9.69061e+10	2.07722e+12	8.91594e+13	3.88072e+14	1.49169e+05	9.62171e+07	2.67142e+09
1.34896e+14	5.34062e+19	3.49847e+08	1.08750e+11	2.33121e+12	1.00065e+14	4.35525e+14	1.67410e+05	1.07986e+08	2.99820e+09
1.34896e+14	5.34218e+19	3.92566e+08	1.22046e+11	2.61635e+12	1.12310e+14	4.88792e+14	1.87887e+05	1.21198e+08	3.36511e+09
1.34896e+14	5.34398e+19	4.40506e+08	1.36972e+11	2.93649e+12	1.26064e+14	5.48586e+14	2.10877e+05	1.36034e+08	3.77708e+09
1.34896e+14	5.34603e+19	4.94302e+08	1.53729e+11	3.29595e+12	1.41513e+14	6.15711e+14	2.36690e+05	1.52692e+08	4.23972e+09
1.34896e+14	5.34835e+19	5.54670e+08	1.72543e+11	3.69958e+12	1.58868e+14	6.91069e+14	2.65676e+05	1.71400e+08	4.75929e+09
1.34896e+14	5.35103e+19	6.22413e+08	1.93669e+11	4.15290e+12	1.78371e+14	7.75680e+14	2.98230e+05	1.92413e+08	5.34293e+09
1.34896e+14	5.35412e+19	6.98449e+08	2.17396e+11	4.66210e+12	2.00293e+14	8.70686e+14	3.34797e+05	2.16020e+08	5.99863e+09
1.34896e+14	5.35764e+19	7.83834e+08	2.44045e+11	5.23413e+12	2.24941e+14	9.77370e+14	3.75875e+05	2.42543e+08	6.73542e+09
1.34896e+14	5.36170e+19	8.79700e+08	2.73983e+11	5.87691e+12	2.52661e+14	1.09720e+15	4.22032e+05	2.72350e+08	7.56354e+09
1.34896e+14	5.36638e+19	9.87340e+08	3.07624e+11	6.59933e+12	2.83846e+14	1.23180e+15	4.73907e+05	3.05857e+08	8.49454e+09
1.34896e+14	5.37175e+19	1.10823e+09	3.45433e+11	7.41147e+12	3.18942e+14	1.38304e+15	5.32221e+05	3.43531e+08	9.54148e+09
1.34896e+14	5.37778e+19	1.24398e+09	3.87926e+11	8.32451e+12	3.58444e+14	1.55295e+15	5.97778e+05	3.85893e+08	1.07189e+10
1.34896e+14	5.38472e+19	1.39646e+09	4.35705e+11	9.35148e+12	4.02938e+14	1.74395e+15	6.71514e+05	4.33555e+08	1.20439e+10
1.34896e+14	5.39271e+19	1.56782e+09	4.89446e+11	1.05071e+13	4.53078e+14	1.95871e+15	7.54488e+05	4.87205e+08	1.35355e+10
1.34896e+14	5.40151e+19	1.76027e+09	5.49872e+11	1.18070e+13	5.09571e+14	2.20011e+15	8.47829e+05	5.47580e+08	1.52145e+10
1.34895e+14	5.41088e+19	1.97637e+09	6.17793e+11	1.32689e+13	5.73222e+14	2.47135e+15	9.52809e+05	6.15510e+08	1.71040e+10
1.34896e+14	5.42164e+19	2.21925e+09	6.94238e+11	1.49153e+13	6.45050e+14	2.77655e+15	1.07104e+06	6.92054e+08	1.92335e+10
1.34896e+14	5.43389e+19	2.49222e+09	7.80298e+11	1.67700e+13	7.26147e+14	3.12005e+15	1.20424e+06	7.78336e+08	2.16346e+10
1.34896e+14	5.44793e+19	2.79910e+09	8.77234e+11	1.88608e+13	8.17786e+14	3.50692e+15	1.35441e+06	8.75667e+08	2.43442e+10
1.34895e+14	5.46404e+19	3.14426e+09	9.86484e+11	2.12193e+13	9.21434e+14	3.94292e+15	1.52380e+06	9.85545e+08	2.74043e+10
1.34895e+14	5.48256e+19	3.53261e+09	1.10968e+12	2.38817e+13	1.03879e+15	4.43463e+15	1.71503e+06	1.10970e+09	3.08635e+10
1.34895e+14	5.50387e+19	3.96982e+09	1.24870e+12	2.68899e+13	1.17184e+15	4.98963e+15	1.93111e+06	1.25011e+09	3.47781e+10
1.34895e+14	5.52840e+19	4.46209e+09	1.40568e+12	3.02918e+13	1.32285e+15	5.61673e+15	2.17551e+06	1.40912e+09	3.92132e+10
1.34896e+14	5.55685e+19	5.01680e+09	1.58316e+12	3.41444e+13	1.49452e+15	6.32638e+15	2.45232e+06	1.58945e+09	4.42466e+10
1.34896e+14	5.58969e+19	5.64210e+09	1.78396e+12	3.85118e+13	1.68984e+15	7.13010e+15	2.76624e+06	1.79428e+09	4.99669e+10
1.34896e+14	5.62752e+19	6.34723e+09	2.01139e+12	4.34692e+13	1.91230e+15	8.04137e+15	3.12270e+06	2.02726e+09	5.64790e+10
1.34896e+14	5.67157e+19	7.14296e+09	2.26936e+12	4.91075e+13	2.16631e+15	9.07716e+15	3.52828e+06	2.29291e+09	6.39115e+10
1.34896e+14	5.72218e+19	8.04106e+09	2.56209e+12	5.55255e+13	2.45663e+15	1.02561e+16	3.99019e+06	2.59619e+09	7.24063e+10
1.34896e+14	5.78028e+19	9.05573e+09	2.89471e+12	6.28445e+13	2.78917e+15	1.16009e+16	4.51717e+06	2.94317e+09	8.21375e+10
1.34896e+14	5.84806e+19	1.02036e+10	3.27364e+12	7.12187e+13	3.17155e+15	1.31410e+16	5.12036e+06	3.34167e+09	9.33305e+10
1.34896e+14	5.92740e+19	1.15025e+10	3.70597e+12	8.08229e+13	3.61277e+15	1.49115e+16	5.81273e+06	3.80091e+09	1.06252e+11
1.34896e+14	6.02058e+19	1.29735e+10	4.20024e+12	9.18712e+13	4.12393e+15	1.69554e+16	6.61002e+06	4.33225e+09	1.21232e+11
1.34895e+14	6.13037e+19	1.46432e+10	4.76749e+12	1.04642e+14	4.71886e+15	1.93262e+16	7.53154e+06	4.94983e+09	1.38685e+11
1.34896e+14	6.26018e+19	1.65387e+10	5.41975e+12	1.19456e+14	5.41492e+15	2.20910e+16	8.60088e+06	5.67127e+09	1.59129e+11
1.34896e+14	6.41429e+19	1.86877e+10	6.17063e+12	1.36694e+14	6.23441e+15	2.53357e+16	9.84698e+06	6.51873e+09	1.83227e+11
1.34896e+14	6.59854e+19	2.11234e+10	7.03715e+12	1.56851e+14	7.20665e+15	2.91715e+16	1.13067e+07	7.52116e+09	2.11848e+11
1.34896e+14	6.81963e+19	2.38796e+10	8.03889e+12	1.80531e+14	8.36893e+15	3.37424e+16	1.30250e+07	8.71526e+09	2.46114e+11
1.34896e+14	7.08603e+19	2.70088e+10	9.20541e+12	2.08622e+14	9.77120e+15	3.92366e+16	1.50591e+07	1.01494e+10	2.87515e+11
1.34896e+14	7.40984e+19	3.05846e+10	1.05783e+13	2.42385e+14	1.14814e+16	4.59119e+16	1.74836e+07	1.18894e+10	3.38114e+11
1.34896e+14	7.80765e+19	3.46461e+10	1.21945e+13	2.83224e+14	1.35948e+16	5.41231e+16	2.03942e+07	1.40248e+10	4.00780e+11
1.34896e+14	8.29333e+19	3.91912e+10	1.40817e+13	3.32579e+14	1.62291e+16	6.43073e+16	2.38926e+07	1.66596e+10	4.79000e+11
1.34896e+14	8.79314e+19	4.39884e+10	1.61453e+13	3.88693e+14	1.93404e+16	7.62549e+16	2.79356e+07	1.97517e+10	5.71840e+11
1.34896e+14	9.38425e+19	4.90975e+10	1.84895e+13	4.55884e+14	2.32043e+16	9.09895e+16	3.27367e+07	2.35220e+10	6.87223e+11
1.34895e+14	1.00285e+20	5.45488e+10	2.11136e+13	5.34728e+14	2.78833e+16	1.08668e+17	3.83656e+07	2.80420e+10	8.27932e+11
