#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string
000000000	F	F	                  ok	8	867	-5.000000	-3.000000	-5.000000, -3.000000
000000001	F	F	                  ok	9	260	-5.000000	-2.950000	-5.000000, -2.950000
000000002	F	F	                  ok	11	549	-5.000000	-2.900000	-5.000000, -2.900000
000000003	F	F	                  ok	6	521	-5.000000	-2.850000	-5.000000, -2.850000
000000004	F	F	                  ok	10	843	-5.000000	-2.800000	-5.000000, -2.800000
000000005	F	F	                  ok	7	1374	-5.000000	-2.750000	-5.000000, -2.750000
000000006	F	F	                  ok	2	908	-5.000000	-2.700000	-5.000000, -2.700000
000000007	F	F	                  ok	10	1190	-5.000000	-2.650000	-5.000000, -2.650000
000000008	F	F	                  ok	7	1894	-5.000000	-2.600000	-5.000000, -2.600000
000000009	F	F	                  ok	5	351	-5.000000	-2.550000	-5.000000, -2.550000
000000010	F	F	                  ok	8	422	-5.000000	-2.500000	-5.000000, -2.500000
000000011	F	F	                  ok	3	1038	-5.000000	-2.450000	-5.000000, -2.450000
000000012	F	F	                  ok	2	256	-5.000000	-2.400000	-5.000000, -2.400000
000000013	F	F	                  ok	7	1976	-5.000000	-2.350000	-5.000000, -2.350000
000000014	F	F	                  ok	1	2476	-5.000000	-2.300000	-5.000000, -2.300000
000000015	F	F	                  ok	7	2154	-5.000000	-2.250000	-5.000000, -2.250000
000000016	F	F	                  ok	9	406	-5.000000	-2.200000	-5.000000, -2.200000
000000017	F	F	                  ok	8	2467	-5.000000	-2.150000	-5.000000, -2.150000
000000018	F	F	                  ok	8	406	-5.000000	-2.100000	-5.000000, -2.100000
000000019	F	F	                  ok	4	345	-5.000000	-2.050000	-5.000000, -2.050000
000000020	F	F	                  ok	0	2200	-5.000000	-2.000000	-5.000000, -2.000000
000000021	F	F	                  ok	0	606	-5.000000	-1.950000	-5.000000, -1.950000
000000022	F	F	                  ok	3	280	-5.000000	-1.900000	-5.000000, -1.900000
