#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string
000000000	F	F	                  ok	9	2528	-5.000000	-3.000000	-5.000000, -3.000000
000000001	F	F	                  ok	4	731	-5.000000	-2.960000	-5.000000, -2.960000
000000002	F	F	                  ok	4	66	-5.000000	-2.920000	-5.000000, -2.920000
000000003	F	F	                  ok	11	495	-5.000000	-2.880000	-5.000000, -2.880000
000000004	F	F	                  ok	10	1174	-5.000000	-2.840000	-5.000000, -2.840000
000000005	F	F	                  ok	6	2375	-5.000000	-2.800000	-5.000000, -2.800000
000000006	F	F	                  ok	11	97	-5.000000	-2.760000	-5.000000, -2.760000
000000007	F	F	                  ok	3	924	-5.000000	-2.720000	-5.000000, -2.720000
000000008	F	F	                  ok	8	713	-5.000000	-2.680000	-5.000000, -2.680000
000000009	F	F	                  ok	0	70	-5.000000	-2.640000	-5.000000, -2.640000
000000010	F	F	                  ok	10	2161	-5.000000	-2.600000	-5.000000, -2.600000
000000011	F	F	                  ok	10	1565	-5.000000	-2.560000	-5.000000, -2.560000
000000012	F	F	                  ok	10	310	-5.000000	-2.520000	-5.000000, -2.520000
000000013	F	F	                  ok	9	2224	-5.000000	-2.480000	-5.000000, -2.480000
000000014	F	F	                  ok	8	1202	-5.000000	-2.440000	-5.000000, -2.440000
000000015	F	F	                  ok	1	928	-5.000000	-2.400000	-5.000000, -2.400000
000000016	F	F	                  ok	1	499	-5.000000	-2.360000	-5.000000, -2.360000
000000017	F	F	                  ok	9	1134	-5.000000	-2.320000	-5.000000, -2.320000
000000018	F	F	                  ok	8	2229	-5.000000	-2.280000	-5.000000, -2.280000
000000019	F	F	                  ok	6	1886	-5.000000	-2.240000	-5.000000, -2.240000
000000020	F	F	                  ok	2	1538	-5.000000	-2.200000	-5.000000, -2.200000
000000021	F	F	                  ok	5	2360	-5.000000	-2.160000	-5.000000, -2.160000
000000022	F	F	                  ok	4	672	-5.000000	-2.120000	-5.000000, -2.120000
000000023	F	F	                  ok	6	468	-5.000000	-2.080000	-5.000000, -2.080000
000000024	F	F	                  ok	6	506	-5.000000	-2.040000	-5.000000, -2.040000
000000025	F	F	                  ok	11	1037	-5.000000	-2.000000	-5.000000, -2.000000
000000026	F	F	                  ok	1	507	-5.000000	-1.960000	-5.000000, -1.960000
000000027	F	F	                  ok	0	1058	-5.000000	-1.920000	-5.000000, -1.920000
000000028	F	F	                  ok	0	2110	-5.000000	-1.880000	-5.000000, -1.880000
000000029	F	F	                  ok	2	1418	-5.000000	-1.840000	-5.000000, -1.840000
000000030	F	F	                  ok	5	2399	-5.000000	-1.800000	-5.000000, -1.800000
000000031	F	F	                  ok	9	960	-5.000000	-1.760000	-5.000000, -1.760000
000000032	F	F	                  ok	6	808	-5.000000	-1.720000	-5.000000, -1.720000
000000033	F	F	                  ok	1	352	-5.000000	-1.680000	-5.000000, -1.680000
000000034	F	F	                  ok	5	2120	-5.000000	-1.640000	-5.000000, -1.640000
000000035	F	F	                  ok	8	828	-5.000000	-1.600000	-5.000000, -1.600000
000000036	F	F	                  ok	2	473	-5.000000	-1.560000	-5.000000, -1.560000
000000037	F	F	                  ok	7	397	-5.000000	-1.520000	-5.000000, -1.520000
000000038	F	F	                  ok	0	1790	-5.000000	-1.480000	-5.000000, -1.480000
000000039	F	F	                  ok	6	742	-5.000000	-1.440000	-5.000000, -1.440000
000000040	F	F	                  ok	9	2531	-5.000000	-1.400000	-5.000000, -1.400000
000000041	F	F	                  ok	1	55	-5.000000	-1.360000	-5.000000, -1.360000
000000042	F	F	                  ok	6	1421	-5.000000	-1.320000	-5.000000, -1.320000
000000043	F	F	                  ok	0	965	-5.000000	-1.280000	-5.000000, -1.280000
000000044	F	F	                  ok	8	1619	-5.000000	-1.240000	-5.000000, -1.240000
000000045	F	F	                  ok	3	1471	-5.000000	-1.200000	-5.000000, -1.200000
000000046	F	F	                  ok	8	2295	-5.000000	-1.160000	-5.000000, -1.160000
000000047	F	F	                  ok	8	1300	-5.000000	-1.120000	-5.000000, -1.120000
000000048	F	F	                  ok	6	2333	-5.000000	-1.080000	-5.000000, -1.080000
000000049	F	F	                  ok	8	568	-5.000000	-1.040000	-5.000000, -1.040000
000000050	F	F	                  ok	3	2299	-5.000000	-1.000000	-5.000000, -1.000000
000000051	F	F	                  ok	9	2029	-5.000000	-0.960000	-5.000000, -0.960000
000000052	F	F	                  ok	2	20	-5.000000	-0.920000	-5.000000, -0.920000
000000053	F	F	                  ok	3	1702	-5.000000	-0.880000	-5.000000, -0.880000
000000054	F	F	                  ok	1	2255	-5.000000	-0.840000	-5.000000, -0.840000
000000055	F	F	                  ok	4	1451	-5.000000	-0.800000	-5.000000, -0.800000
000000056	F	F	                  ok	8	350	-5.000000	-0.760000	-5.000000, -0.760000
000000057	F	F	                  ok	6	1709	-5.000000	-0.720000	-5.000000, -0.720000
000000058	F	F	                  ok	8	1886	-5.000000	-0.680000	-5.000000, -0.680000
