# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+2 C+3 O+6 Si+2 Si+3 log_nH parameters
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25892e+16 9.98494e+19 434471000000000.0 552242000000000.0 158118000000000.0 1673800000000.0 3289630000000.0 -4.04 [-4.04]
1.25892e+16 9.4764e+19 440149000000000.0 538594000000000.0 135489000000000.0 1843690000000.0 3513250000000.0 -4.02 [-4.02]
1.25892e+16 8.99422e+19 445258000000000.0 524505000000000.0 115928000000000.0 2027290000000.0 3745670000000.0 -4.0 [-4.0]
1.25892e+16 8.53693e+19 449758000000000.0 510016000000000.0 99046900000000.0 2225220000000.0 3986630000000.0 -3.98 [-3.98]
1.25892e+16 8.10335e+19 453639000000000.0 495159000000000.0 84506600000000.0 2438130000000.0 4235520000000.0 -3.96 [-3.96]
1.25892e+16 7.69224e+19 456874000000000.0 479990000000000.0 72004400000000.0 2666590000000.0 4491910000000.0 -3.94 [-3.94]
1.25892e+16 7.30244e+19 459447000000000.0 464563000000000.0 61270600000000.0 2911140000000.0 4755200000000.0 -3.92 [-3.92]
1.25892e+16 6.93279e+19 461344000000000.0 448924000000000.0 52068500000000.0 3172230000000.0 5024640000000.0 -3.9 [-3.9]
1.25892e+16 6.58227e+19 462553000000000.0 433126000000000.0 44191500000000.0 3450220000000.0 5299370000000.0 -3.88 [-3.88]
1.25892e+16 6.24981e+19 463076000000000.0 417226000000000.0 37457800000000.0 3745380000000.0 5578470000000.0 -3.86 [-3.86]
1.25892e+16 5.93451e+19 462902000000000.0 401267000000000.0 31711000000000.0 4057860000000.0 5860790000000.0 -3.84 [-3.84]
1.25892e+16 5.63544e+19 462033000000000.0 385301000000000.0 26815100000000.0 4387690000000.0 6145140000000.0 -3.82 [-3.82]
1.25892e+16 5.35171e+19 460468000000000.0 369375000000000.0 22648800000000.0 4734650000000.0 6430270000000.0 -3.8 [-3.8]
1.25892e+16 5.08252e+19 458227000000000.0 353544000000000.0 19107900000000.0 5098450000000.0 6714690000000.0 -3.78 [-3.78]
1.25892e+16 4.8271e+19 455312000000000.0 337847000000000.0 16102100000000.0 5478570000000.0 6996880000000.0 -3.76 [-3.76]
1.25892e+16 4.58472e+19 451746000000000.0 322332000000000.0 13553600000000.0 5874240000000.0 7275200000000.0 -3.74 [-3.74]
1.25892e+16 4.35469e+19 447547000000000.0 307041000000000.0 11395200000000.0 6284480000000.0 7547900000000.0 -3.72 [-3.72]
1.25892e+16 4.13636e+19 442736000000000.0 292011000000000.0 9569270000000.0 6708040000000.0 7813170000000.0 -3.7 [-3.7]
1.25892e+16 3.92911e+19 437342000000000.0 277281000000000.0 8026510000000.0 7143440000000.0 8069090000000.0 -3.68 [-3.68]
1.25892e+16 3.73235e+19 431396000000000.0 262882000000000.0 6724450000000.0 7588920000000.0 8313750000000.0 -3.66 [-3.66]
1.25892e+16 3.54554e+19 424928000000000.0 248846000000000.0 5626810000000.0 8042440000000.0 8545180000000.0 -3.64 [-3.64]
