# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+2 C+3 O+6 Si+2 Si+3 log_nH parameters
1.25892e+16 5.2767e+16 158726000000.0 14399200.0 0.0 13796300000.0 96898400.0 -0.96 [-0.96]
1.25892e+16 5.06804e+16 147797000000.0 12580100.0 0.0 12738000000.0 87040000.0 -0.94 [-0.94]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25892e+16 4.67852e+16 128309000000.0 9635090.0 0.0 10877900000.0 70413400.0 -0.9 [-0.9]
1.25892e+16 4.49648e+16 119618000000.0 8445770.0 0.0 10057900000.0 63409500.0 -0.88 [-0.88]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25892e+16 3.99772e+16 97188000000.0 5728680.0 0.0 7981730000.0 46555200.0 -0.82 [-0.82]
1.25892e+16 3.84587e+16 90768400000.0 5045060.0 0.0 7398230000.0 42072200.0 -0.8 [-0.8]
1.25892e+16 3.70065e+16 84810900000.0 4448210.0 0.0 6861470000.0 38054100.0 -0.78 [-0.78]
1.25892e+16 3.56173e+16 79280100000.0 3926560.0 0.0 6367390000.0 34449800.0 -0.76 [-0.76]
1.25892e+16 3.42883e+16 74143500000.0 3470150.0 0.0 5912420000.0 31214000.0 -0.74 [-0.74]
1.25892e+16 3.30165e+16 69371200000.0 3070400.0 0.0 5493260000.0 28306800.0 -0.72 [-0.72]
1.25892e+16 3.17991e+16 64935500000.0 2719870.0 0.0 5106870000.0 25692600.0 -0.7 [-0.7]
1.25892e+16 3.06337e+16 60811000000.0 2412180.0 0.0 4750540000.0 23340000.0 -0.68 [-0.68]
1.25892e+16 2.95176e+16 56974100000.0 2141790.0 0.0 4421710000.0 21221100.0 -0.66 [-0.66]
1.25892e+16 2.84488e+16 53403800000.0 1903930.0 0.0 4118190000.0 19311200.0 -0.64 [-0.64]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25892e+16 2.64435e+16 46983200000.0 1509740.0 0.0 3578610000.0 16032300.0 -0.6 [-0.6]
1.25892e+16 2.5503e+16 44097700000.0 1346700.0 0.0 3338890000.0 14626400.0 -0.58 [-0.58]
1.25892e+16 2.46014e+16 41407800000.0 1202640.0 0.0 3117140000.0 13355000.0 -0.56 [-0.56]
1.25892e+16 2.37368e+16 38899000000.0 1075200.0 0.0 2911830000.0 12204300.0 -0.54 [-0.54]
1.25892e+16 2.29076e+16 36558100000.0 962343.0 0.0 2721660000.0 11161800.0 -0.52 [-0.52]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25892e+16 2.06157e+16 30423700000.0 694552.0 0.0 2230090000.0 8580540.0 -0.46 [-0.46]
1.25892e+16 1.99121e+16 28640300000.0 624354.0 0.0 2089190000.0 7872810.0 -0.44 [-0.44]
1.25892e+16 1.92368e+16 26973200000.0 561862.0 0.0 1958390000.0 7229270.0 -0.42 [-0.42]
1.25892e+16 1.85879e+16 25412800000.0 506145.0 0.0 1836730000.0 6643380.0 -0.4 [-0.4]
1.25892e+16 1.79645e+16 23952100000.0 456423.0 0.0 1723560000.0 6109650.0 -0.38 [-0.38]
1.25892e+16 1.73654e+16 22583900000.0 412005.0 0.0 1618230000.0 5623040.0 -0.36 [-0.36]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25892e+16 1.62359e+16 20100200000.0 336722.0 0.0 1428770000.0 4773630.0 -0.32 [-0.32]
1.25892e+16 1.57035e+16 18973000000.0 304854.0 0.0 1343540000.0 4403130.0 -0.3 [-0.3]
1.25892e+16 1.51912e+16 17915300000.0 276266.0 0.0 1264040000.0 4064290.0 -0.28 [-0.28]
1.25892e+16 1.46984e+16 16922300000.0 250594.0 0.0 1189820000.0 3754180.0 -0.26 [-0.26]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25892e+16 1.37675e+16 15113400000.0 206753.0 0.0 1055710000.0 3209770.0 -0.22 [-0.22]
1.25892e+16 1.33279e+16 14289600000.0 188051.0 0.0 995127000.0 2970950.0 -0.2 [-0.2]
1.25892e+16 1.29045e+16 13514900000.0 171190.0 0.0 938440000.0 2751720.0 -0.18 [-0.18]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25892e+16 1.21036e+16 12099800000.0 142231.0 0.0 835648000.0 2365200.0 -0.14 [-0.14]
1.25892e+16 1.17248e+16 11453700000.0 129805.0 0.0 789053000.0 2194890.0 -0.12 [-0.12]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25892e+16 1.10075e+16 10271300000.0 108375.0 0.0 704351000.0 1893680.0 -0.08 [-0.08]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25892e+16 1.03403e+16 9220090000.0 90762.7 0.0 629692000.0 1637730.0 -0.04 [-0.04]
1.25892e+16 1.00242e+16 8738630000.0 83153.9 0.0 595707000.0 1524360.0 -0.02 [-0.02]
1.25892e+16 9719050000000000.0 8283980000.0 0.0 0.0 563727000.0 1419630.0 -0.0 [-0.0]
1.25892e+16 9424670000000000.0 7854920000.0 0.0 0.0 533674000.0 1322870.0 0.02 [0.02]
1.25892e+16 9140310000000000.0 7449450000.0 0.0 0.0 505359000.0 1233360.0 0.04 [0.04]
1.25892e+16 8865690000000000.0 7066260000.0 0.0 0.0 478687000.0 1150520.0 0.06 [0.06]
1.25892e+16 8600410000000000.0 6704000000.0 0.0 0.0 453554000.0 1073820.0 0.08 [0.08]
1.25892e+16 8343010000000000.0 6360230000.0 0.0 0.0 429702000.0 1002650.0 0.1 [0.1]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25892e+16 7855870000000000.0 5729500000.0 0.0 0.0 386231000.0 875638.0 0.14 [0.14]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25892e+16 7400620000000000.0 5164370000.0 0.0 0.0 347483000.0 766214.0 0.18 [0.18]
1.25892e+16 7184740000000000.0 4904610000.0 0.0 0.0 329724000.0 717292.0 0.2 [0.2]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25892e+16 6772630000000000.0 4424050000.0 0.0 0.0 296953000.0 629404.0 0.24 [0.24]
1.25892e+16 6576500000000000.0 4202370000.0 0.0 0.0 281871000.0 589979.0 0.26 [0.26]
1.25892e+16 6386640000000000.0 3992160000.0 0.0 0.0 267584000.0 553262.0 0.28 [0.28]
1.25892e+16 6202820000000000.0 3792780000.0 0.0 0.0 254044000.0 519051.0 0.3 [0.3]
1.25892e+16 6024720000000000.0 3603550000.0 0.0 0.0 241187000.0 487155.0 0.32 [0.32]
1.25892e+16 5852410000000000.0 3424120000.0 0.0 0.0 229031000.0 457411.0 0.34 [0.34]
1.25892e+16 5685390000000000.0 3253750000.0 0.0 0.0 217480000.0 429651.0 0.36 [0.36]
1.25892e+16 5523880000000000.0 3092210000.0 0.0 0.0 206576000.0 403744.0 0.38 [0.38]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25892e+16 5067540000000000.0 2654130000.0 0.0 0.0 176803000.0 335760.0 0.44 [0.44]
1.25892e+16 4923970000000000.0 2522060000.0 0.0 0.0 167777000.0 315957.0 0.46 [0.46]
1.25892e+16 4785550000000000.0 2397110000.0 0.0 0.0 159273000.0 297452.0 0.48 [0.48]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
1.25893e+16 4520480000000000.0 2165190000.0 0.0 0.0 143377000.0 263890.0 0.52 [0.52]
1.25893e+16 4393820000000000.0 2057770000.0 0.0 0.0 135991000.0 248683.0 0.54 [0.54]
1.25893e+16 4270870000000000.0 1955630000.0 0.0 0.0 128945000.0 234428.0 0.56 [0.56]
1.25893e+16 4151500000000000.0 1858520000.0 0.0 0.0 122219000.0 221061.0 0.58 [0.58]
1.25893e+16 4035670000000000.0 1766210000.0 0.0 0.0 115826000.0 208523.0 0.6 [0.6]
1.25893e+16 3923050000000000.0 1678370000.0 0.0 0.0 109686000.0 196756.0 0.62 [0.62]
1.25893e+16 3813630000000000.0 1594830000.0 0.0 0.0 103813000.0 185709.0 0.64 [0.64]
1.25892e+16 3707260000000000.0 1515350000.0 0.0 0.0 98191500.0 175334.0 0.66 [0.66]
1.25893e+16 3604150000000000.0 1439910000.0 0.0 0.0 92807900.0 165594.0 0.68 [0.68]
1.25893e+16 3503600000000000.0 1367990000.0 0.0 0.0 87649200.0 156433.0 0.7 [0.7]
1.25893e+16 3405790000000000.0 1299560000.0 0.0 0.0 82699400.0 147821.0 0.72 [0.72]
1.25893e+16 3310630000000000.0 1234470000.0 0.0 0.0 77949900.0 139723.0 0.74 [0.74]
1.25893e+16 3217610000000000.0 1172350000.0 0.0 0.0 73368200.0 132098.0 0.76 [0.76]
1.25893e+16 3127260000000000.0 1113370000.0 0.0 0.0 68968300.0 124927.0 0.78 [0.78]
1.25893e+16 3039350000000000.0 1057340000.0 0.0 0.0 64702200.0 118181.0 0.8 [0.8]
1.25893e+16 2954170000000000.0 1004170000.0 0.0 0.0 60688900.0 111830.0 0.82 [0.82]
1.25893e+16 2870580000000000.0 953421000.0 0.0 0.0 56740300.0 105845.0 0.84 [0.84]
1.25893e+16 2788930000000000.0 905095000.0 0.0 0.0 52938500.0 100205.0 0.86 [0.86]
1.25893e+16 2709090000000000.0 859121000.0 0.0 0.0 49226200.0 94891.0 0.88 [0.88]
1.25893e+16 2631210000000000.0 815470000.0 0.0 0.0 45626600.0 89884.8 0.9 [0.9]
1.25892e+16 2554750000000000.0 773898000.0 0.0 0.0 42099800.0 85164.4 0.92 [0.92]
1.25893e+16 2479640000000000.0 734390000.0 0.0 0.0 38596800.0 80716.7 0.94 [0.94]
1.25892e+16 2406130000000000.0 696957000.0 0.0 0.0 35172800.0 76526.1 0.96 [0.96]
1.25892e+16 2331970000000000.0 660954000.0 0.0 0.0 31653000.0 72567.1 0.98 [0.98]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
236338000000000.0 29078700000000.0 8826510.0 0.0 0.0 1201.47 1233.53 1.02 [1.02]
236341000000000.0 27994100000000.0 8312560.0 0.0 0.0 1053.75 1170.47 1.04 [1.04]
236351000000000.0 26983200000000.0 7838440.0 0.0 0.0 950.628 1110.89 1.06 [1.06]
236349000000000.0 26028900000000.0 7397020.0 0.0 0.0 872.934 1054.47 1.08 [1.08]
236354000000000.0 25124600000000.0 6984720.0 0.0 0.0 810.977 1001.11 1.1 [1.1]
236360000000000.0 24263100000000.0 6598160.0 0.0 0.0 759.233 950.575 1.12 [1.12]
236366000000000.0 23440200000000.0 6234980.0 0.0 0.0 714.495 902.714 1.14 [1.14]
236371000000000.0 22652100000000.0 5893110.0 0.0 0.0 674.769 857.363 1.16 [1.16]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
236449000000000.0 20389600000000.0 4951860.0 0.0 0.0 574.762 734.489 1.22 [1.22]
236447000000000.0 19724400000000.0 4683250.0 0.0 0.0 546.153 697.891 1.24 [1.24]
236445000000000.0 19084200000000.0 4429310.0 0.0 0.0 519.277 663.176 1.26 [1.26]
236386000000000.0 18537600000000.0 4210940.0 0.0 0.0 494.229 630.628 1.28 [1.28]
236388000000000.0 17938600000000.0 3981740.0 0.0 0.0 470.252 599.336 1.3 [1.3]
236385000000000.0 17361000000000.0 3764770.0 0.0 0.0 447.541 569.628 1.32 [1.32]
236395000000000.0 16804400000000.0 3559480.0 0.0 0.0 426.034 541.453 1.34 [1.34]
236394000000000.0 16267400000000.0 3364990.0 0.0 0.0 405.607 514.685 1.36 [1.36]
236433000000000.0 15698400000000.0 3166770.0 0.0 0.0 386.025 489.017 1.38 [1.38]
236431000000000.0 15201900000000.0 2993470.0 0.0 0.0 367.619 464.906 1.4 [1.4]
236430000000000.0 14721900000000.0 2829180.0 0.0 0.0 350.127 442.005 1.42 [1.42]
236429000000000.0 14259200000000.0 2673480.0 0.0 0.0 333.498 420.255 1.44 [1.44]
236400000000000.0 13851400000000.0 2535550.0 0.0 0.0 317.821 399.776 1.46 [1.46]
236400000000000.0 13417500000000.0 2394720.0 0.0 0.0 302.77 380.132 1.48 [1.48]
236398000000000.0 12998800000000.0 2261200.0 0.0 0.0 288.448 361.465 1.5 [1.5]
236403000000000.0 12594400000000.0 2134640.0 0.0 0.0 274.83 343.736 1.52 [1.52]
236405000000000.0 12204800000000.0 2014670.0 0.0 0.0 261.868 326.892 1.54 [1.54]
236406000000000.0 11827700000000.0 1900890.0 0.0 0.0 249.531 310.878 1.56 [1.56]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
218306000000000.0 9957950000000.0 1472840.0 0.0 0.0 199.427 247.028 1.62 [1.62]
212694000000000.0 9411510000000.0 1352780.0 0.0 0.0 185.18 228.948 1.64 [1.64]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
201915000000000.0 8410010000000.0 1140170.0 0.0 0.0 159.702 196.695 1.68 [1.68]
196710000000000.0 7951200000000.0 1046120.0 0.0 0.0 148.301 182.31 1.7 [1.7]
191741000000000.0 7521400000000.0 959977.0 0.0 0.0 137.792 169.066 1.72 [1.72]
186895000000000.0 7115830000000.0 880612.0 0.0 0.0 128.031 156.79 1.74 [1.74]
182152000000000.0 6732860000000.0 807456.0 0.0 0.0 118.952 145.4 1.76 [1.76]
177506000000000.0 6370160000000.0 740015.0 0.0 0.0 110.507 134.915 1.78 [1.78]
173016000000000.0 6029120000000.0 678115.0 0.0 0.0 102.686 125.238 1.8 [1.8]
168554000000000.0 5696150000000.0 619657.0 0.0 0.0 95.3485 116.169 1.82 [1.82]
164290000000000.0 5393020000000.0 567478.0 0.0 0.0 88.6069 107.847 1.84 [1.84]
160227000000000.0 5116530000000.0 520745.0 0.0 0.0 82.4121 100.208 1.86 [1.86]
156178000000000.0 4845590000000.0 476551.0 0.0 0.0 76.591 93.0387 1.88 [1.88]
152230000000000.0 4589820000000.0 435963.0 0.0 0.0 71.182 86.3852 1.9 [1.9]
148438000000000.0 4348670000000.0 398815.0 0.0 0.0 66.1815 80.2368 1.92 [1.92]
144725000000000.0 4120680000000.0 364687.0 0.0 0.0 61.5274 74.5223 1.94 [1.94]
0.0 0.0 0.0 0.0 0.0 0.0 0.0 -0.0 [-0.0]
137577000000000.0 3701770000000.0 304670.0 0.0 0.0 53.1825 64.2943 1.98 [1.98]
134212000000000.0 3510390000000.0 278472.0 0.0 0.0 49.4736 59.7529 2.0 [2.0]
