#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	grid parameter string
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000035	F	F	                  ok	2	0	-4.300000	-4.300000
000000036	F	F	                  ok	3	27	-4.280000	-4.280000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000038	F	F	                  ok	1	1	-4.240000	-4.240000
000000039	F	F	                  ok	1	21	-4.220000	-4.220000
000000040	F	F	                  ok	6	38	-4.200000	-4.200000
000000041	F	F	                  ok	4	31	-4.180000	-4.180000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000043	F	F	                  ok	4	25	-4.140000	-4.140000
000000044	F	F	                  ok	5	2	-4.120000	-4.120000
000000045	F	F	                  ok	6	16	-4.100000	-4.100000
000000046	F	F	                  ok	0	33	-4.080000	-4.080000
000000000	F	F	                  ok	0	00	-0.000000	-0.000000
000000048	F	F	                  ok	1	30	-4.040000	-4.040000
000000049	F	F	                  ok	5	29	-4.020000	-4.020000
000000050	F	F	                  ok	3	25	-4.000000	-4.000000
000000051	F	F	                  ok	4	12	-3.980000	-3.980000
000000052	F	F	                  ok	0	14	-3.960000	-3.960000
000000053	F	F	                  ok	4	40	-3.940000	-3.940000
000000054	F	F	                  ok	4	4	-3.920000	-3.920000
000000055	F	F	                  ok	5	11	-3.900000	-3.900000
000000056	F	F	                  ok	2	10	-3.880000	-3.880000
000000057	F	F	                  ok	6	8	-3.860000	-3.860000
000000058	F	F	                  ok	0	43	-3.840000	-3.840000
000000059	F	F	                  ok	5	39	-3.820000	-3.820000
000000060	F	F	                  ok	2	43	-3.800000	-3.800000
000000061	F	F	                  ok	0	10	-3.780000	-3.780000
000000062	F	F	                  ok	0	29	-3.760000	-3.760000
000000063	F	F	                  ok	3	11	-3.740000	-3.740000
000000064	F	F	                  ok	4	19	-3.720000	-3.720000
000000065	F	F	                  ok	4	8	-3.700000	-3.700000
000000066	F	F	                  ok	2	32	-3.680000	-3.680000
000000067	F	F	                  ok	6	12	-3.660000	-3.660000
000000068	F	F	                  ok	5	7	-3.640000	-3.640000
000000069	F	F	                  ok	1	26	-3.620000	-3.620000
000000070	F	F	                  ok	2	2	-3.600000	-3.600000
000000071	F	F	                  ok	6	39	-3.580000	-3.580000
000000072	F	F	                  ok	3	21	-3.560000	-3.560000
000000073	F	F	                  ok	3	37	-3.540000	-3.540000
000000074	F	F	                  ok	6	26	-3.520000	-3.520000
000000075	F	F	                  ok	1	17	-3.500000	-3.500000
000000076	F	F	                  ok	1	24	-3.480000	-3.480000
000000077	F	F	                  ok	2	1	-3.460000	-3.460000
000000078	F	F	                  ok	1	33	-3.440000	-3.440000
000000079	F	F	                  ok	1	37	-3.420000	-3.420000
000000080	F	F	                  ok	0	0	-3.400000	-3.400000
000000081	F	F	                  ok	1	18	-3.380000	-3.380000
000000082	F	F	                  ok	3	6	-3.360000	-3.360000
000000083	F	F	                  ok	5	19	-3.340000	-3.340000
000000084	F	F	                  ok	3	38	-3.320000	-3.320000
000000085	F	F	                  ok	3	43	-3.300000	-3.300000
000000086	F	F	                  ok	6	36	-3.280000	-3.280000
000000087	F	F	                  ok	4	9	-3.260000	-3.260000
000000088	F	F	                  ok	2	42	-3.240000	-3.240000
000000089	F	F	                  ok	4	26	-3.220000	-3.220000
000000090	F	F	                  ok	6	18	-3.200000	-3.200000
000000091	F	F	                  ok	1	42	-3.180000	-3.180000
000000092	F	F	                  ok	5	20	-3.160000	-3.160000
