H	H+	C+2	C+3	O+6	Si+2	Si+3
1.25892e+16	1.33573e+21	5.14033e+13	4.17947e+14	3.77064e+16	2.37972e+09	2.27093e+10
1.25892e+16	1.26041e+21	5.54437e+13	4.33053e+14	3.49791e+16	2.84057e+09	2.61824e+10
1.25892e+16	1.18968e+21	5.96967e+13	4.47987e+14	3.24011e+16	3.38323e+09	3.01246e+10
1.25892e+16	1.12331e+21	6.41739e+13	4.62778e+14	2.99699e+16	4.02166e+09	3.45977e+10
1.25892e+16	1.06097e+21	6.88761e+13	4.77353e+14	2.76796e+16	4.77103e+09	3.96603e+10
1.25892e+16	1.00238e+21	7.38082e+13	4.91683e+14	2.55257e+16	5.64897e+09	4.53797e+10
1.25892e+16	9.47290e+20	7.89746e+13	5.05735e+14	2.35031e+16	6.67565e+09	5.18288e+10
1.25892e+16	8.95469e+20	8.43773e+13	5.19464e+14	2.16068e+16	7.87414e+09	5.90876e+10
1.25892e+16	8.46701e+20	9.00195e+13	5.32839e+14	1.98320e+16	9.27080e+09	6.72432e+10
1.25892e+16	8.00789e+20	9.59056e+13	5.45834e+14	1.81735e+16	1.08955e+10	7.63908e+10
0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
1.25892e+16	7.16801e+20	1.08414e+14	5.70552e+14	1.51866e+16	1.49695e+10	9.80806e+10
1.25892e+16	6.78397e+20	1.15040e+14	5.82220e+14	1.38479e+16	1.75010e+10	1.10855e+11
0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
1.25892e+16	6.07987e+20	1.29034e+14	6.04026e+14	1.14553e+16	2.38003e+10	1.40913e+11
1.25892e+16	5.75726e+20	1.36402e+14	6.14119e+14	1.03919e+16	2.76865e+10	1.58487e+11
1.25892e+16	5.45270e+20	1.44015e+14	6.23643e+14	9.41077e+15	3.21547e+10	1.77969e+11
0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
1.25892e+16	4.89346e+20	1.59972e+14	6.40897e+14	7.67738e+15	4.31623e+10	2.23345e+11
1.25892e+16	4.63667e+20	1.68305e+14	6.48590e+14	6.91600e+15	4.98880e+10	2.49623e+11
1.25892e+16	4.39389e+20	1.76865e+14	6.55630e+14	6.21892e+15	5.75708e+10	2.78565e+11
1.25892e+16	4.16430e+20	1.85645e+14	6.61999e+14	5.58235e+15	6.63318e+10	3.10386e+11
1.25892e+16	3.94706e+20	1.94633e+14	6.67680e+14	5.00197e+15	7.63059e+10	3.45326e+11
1.25892e+16	3.74153e+20	2.03823e+14	6.72659e+14	4.47399e+15	8.76427e+10	3.83623e+11
1.25892e+16	3.54699e+20	2.13200e+14	6.76919e+14	3.99467e+15	1.00507e+11	4.25534e+11
1.25892e+16	3.36282e+20	2.22751e+14	6.80450e+14	3.56033e+15	1.15081e+11	4.71330e+11
0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
1.25892e+16	3.02323e+20	2.42308e+14	6.85271e+14	2.81341e+15	1.50171e+11	5.75708e+11
1.25892e+16	2.86676e+20	2.52279e+14	6.86541e+14	2.49434e+15	1.71146e+11	6.34885e+11
1.25892e+16	2.71851e+20	2.62350e+14	6.87039e+14	2.20761e+15	1.94745e+11	6.99129e+11
1.25892e+16	2.57805e+20	2.72499e+14	6.86756e+14	1.95039e+15	2.21254e+11	7.68757e+11
1.25892e+16	2.44493e+20	2.82702e+14	6.85689e+14	1.72021e+15	2.50976e+11	8.44095e+11
1.25892e+16	2.31880e+20	2.92937e+14	6.83835e+14	1.51460e+15	2.84247e+11	9.25464e+11
1.25892e+16	2.19922e+20	3.03168e+14	6.81190e+14	1.33125e+15	3.21420e+11	1.01322e+12
0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
1.25892e+16	1.97847e+20	3.23519e+14	6.73531e+14	1.02324e+15	4.09043e+11	1.20914e+12
1.25892e+16	1.87665e+20	3.33576e+14	6.68525e+14	8.94862e+14	4.60346e+11	1.31797e+12
0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
1.25892e+16	1.68865e+20	3.53291e+14	6.56184e+14	6.81090e+14	5.80280e+11	1.55891e+12
1.25892e+16	1.60190e+20	3.62873e+14	6.48873e+14	5.92751e+14	6.49923e+11	1.69163e+12
1.25892e+16	1.51967e+20	3.72228e+14	6.40819e+14	5.15054e+14	7.26748e+11	1.83287e+12
1.25892e+16	1.44172e+20	3.81316e+14	6.32037e+14	4.46807e+14	8.11323e+11	1.98284e+12
0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
1.25892e+16	1.29777e+20	3.98552e+14	6.12376e+14	3.34644e+14	1.00618e+12	2.30982e+12
1.25892e+16	1.23136e+20	4.06627e+14	6.01548e+14	2.88935e+14	1.11774e+12	2.48713e+12
1.25892e+16	1.16840e+20	4.14294e+14	5.90088e+14	2.49082e+14	1.23960e+12	2.67375e+12
1.25892e+16	1.10872e+20	4.21512e+14	5.78027e+14	2.14391e+14	1.37244e+12	2.86975e+12
0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
1.25892e+16	9.98494e+19	4.34471e+14	5.52242e+14	1.58118e+14	1.67380e+12	3.28963e+12
1.25892e+16	9.47640e+19	4.40149e+14	5.38594e+14	1.35489e+14	1.84369e+12	3.51325e+12
1.25892e+16	8.99422e+19	4.45258e+14	5.24505e+14	1.15928e+14	2.02729e+12	3.74567e+12
1.25892e+16	8.53693e+19	4.49758e+14	5.10016e+14	9.90469e+13	2.22522e+12	3.98663e+12
1.25892e+16	8.10335e+19	4.53639e+14	4.95159e+14	8.45066e+13	2.43813e+12	4.23552e+12
1.25892e+16	7.69224e+19	4.56874e+14	4.79990e+14	7.20044e+13	2.66659e+12	4.49191e+12
1.25892e+16	7.30244e+19	4.59447e+14	4.64563e+14	6.12706e+13	2.91114e+12	4.75520e+12
1.25892e+16	6.93279e+19	4.61344e+14	4.48924e+14	5.20685e+13	3.17223e+12	5.02464e+12
1.25892e+16	6.58227e+19	4.62553e+14	4.33126e+14	4.41915e+13	3.45022e+12	5.29937e+12
1.25892e+16	6.24981e+19	4.63076e+14	4.17226e+14	3.74578e+13	3.74538e+12	5.57847e+12
1.25892e+16	5.93451e+19	4.62902e+14	4.01267e+14	3.17110e+13	4.05786e+12	5.86079e+12
1.25892e+16	5.63544e+19	4.62033e+14	3.85301e+14	2.68151e+13	4.38769e+12	6.14514e+12
1.25892e+16	5.35171e+19	4.60468e+14	3.69375e+14	2.26488e+13	4.73465e+12	6.43027e+12
1.25892e+16	5.08252e+19	4.58227e+14	3.53544e+14	1.91079e+13	5.09845e+12	6.71469e+12
1.25892e+16	4.82710e+19	4.55312e+14	3.37847e+14	1.61021e+13	5.47857e+12	6.99688e+12
1.25892e+16	4.58472e+19	4.51746e+14	3.22332e+14	1.35536e+13	5.87424e+12	7.27520e+12
1.25892e+16	4.35469e+19	4.47547e+14	3.07041e+14	1.13952e+13	6.28448e+12	7.54790e+12
1.25892e+16	4.13636e+19	4.42736e+14	2.92011e+14	9.56927e+12	6.70804e+12	7.81317e+12
1.25892e+16	3.92911e+19	4.37342e+14	2.77281e+14	8.02651e+12	7.14344e+12	8.06909e+12
1.25892e+16	3.73235e+19	4.31396e+14	2.62882e+14	6.72445e+12	7.58892e+12	8.31375e+12
1.25892e+16	3.54554e+19	4.24928e+14	2.48846e+14	5.62681e+12	8.04244e+12	8.54518e+12
1.25892e+16	3.36815e+19	4.17971e+14	2.35197e+14	4.70253e+12	8.50166e+12	8.76144e+12
1.25892e+16	3.19970e+19	4.10561e+14	2.21959e+14	3.92517e+12	8.96403e+12	8.96058e+12
1.25892e+16	3.03977e+19	4.02744e+14	2.09151e+14	3.27227e+12	9.42696e+12	9.14058e+12
1.25892e+16	2.88781e+19	3.94540e+14	1.96788e+14	2.72433e+12	9.88701e+12	9.29993e+12
1.25892e+16	2.74348e+19	3.85999e+14	1.84885e+14	2.26515e+12	1.03412e+13	9.43683e+12
1.25892e+16	2.60637e+19	3.77161e+14	1.73450e+14	1.88082e+12	1.07861e+13	9.54978e+12
1.25892e+16	2.47613e+19	3.68068e+14	1.62490e+14	1.55955e+12	1.12185e+13	9.63743e+12
1.25892e+16	2.35240e+19	3.58756e+14	1.52008e+14	1.29134e+12	1.16347e+13	9.69873e+12
1.25892e+16	2.23484e+19	3.49262e+14	1.42004e+14	1.06772e+12	1.20314e+13	9.73281e+12
1.25892e+16	2.12316e+19	3.39626e+14	1.32476e+14	8.81539e+11	1.24052e+13	9.73913e+12
1.25892e+16	2.01706e+19	3.29886e+14	1.23420e+14	7.26732e+11	1.27530e+13	9.71742e+12
1.25892e+16	1.91633e+19	3.20094e+14	1.14832e+14	5.98265e+11	1.30725e+13	9.66741e+12
1.25892e+16	1.82056e+19	3.10250e+14	1.06700e+14	4.91691e+11	1.33597e+13	9.59008e+12
1.25892e+16	1.72956e+19	3.00403e+14	9.90156e+13	4.03463e+11	1.36129e+13	9.48580e+12
1.25892e+16	1.64310e+19	2.90583e+14	9.17688e+13	3.30538e+11	1.38301e+13	9.35563e+12
1.25892e+16	1.56096e+19	2.80819e+14	8.49447e+13	2.70348e+11	1.40099e+13	9.20064e+12
1.25892e+16	1.48293e+19	2.71136e+14	7.85294e+13	2.20749e+11	1.41516e+13	9.02229e+12
1.25892e+16	1.40880e+19	2.61555e+14	7.25102e+13	1.79947e+11	1.42540e+13	8.82257e+12
1.25892e+16	1.33837e+19	2.52099e+14	6.68708e+13	1.46435e+11	1.43172e+13	8.60330e+12
1.25892e+16	1.27146e+19	2.42784e+14	6.15954e+13	1.18957e+11	1.43415e+13	8.36657e+12
1.25892e+16	1.20790e+19	2.33628e+14	5.66686e+13	9.64641e+10	1.43277e+13	8.11457e+12
1.25892e+16	1.14751e+19	2.24644e+14	5.20732e+13	7.80842e+10	1.42768e+13	7.84954e+12
1.25892e+16	1.09014e+19	2.15846e+14	4.77936e+13	6.30918e+10	1.41903e+13	7.57375e+12
1.25892e+16	1.03566e+19	2.07245e+14	4.38147e+13	5.08859e+10	1.40701e+13	7.28956e+12
1.25892e+16	9.83886e+18	1.98847e+14	4.01186e+13	4.09645e+10	1.39182e+13	6.99896e+12
0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
1.25892e+16	8.87818e+18	1.82654e+14	3.35127e+13	2.63837e+10	1.35246e+13	6.40791e+12
1.25892e+16	8.43518e+18	1.74923e+14	3.05777e+13	2.11248e+10	1.32935e+13	6.11025e+12
1.25892e+16	8.01376e+18	1.67403e+14	2.78657e+13	1.68785e+10	1.30390e+13	5.81428e+12
1.25892e+16	7.61347e+18	1.60110e+14	2.53640e+13	1.34599e+10	1.27652e+13	5.52127e+12
1.25892e+16	7.23378e+18	1.53055e+14	2.30609e+13	1.07157e+10	1.24757e+13	5.23266e+12
1.25892e+16	6.87223e+18	1.46209e+14	2.09399e+13	8.51124e+09	1.21698e+13	4.94979e+12
1.25892e+16	6.52913e+18	1.39596e+14	1.89913e+13	6.74818e+09	1.18529e+13	4.67341e+12
1.25893e+16	6.20320e+18	1.33209e+14	1.72031e+13	5.33992e+09	1.15263e+13	4.40458e+12
1.25892e+16	5.89364e+18	1.27044e+14	1.55644e+13	4.21748e+09	1.11924e+13	4.14399e+12
1.25892e+16	5.59962e+18	1.21101e+14	1.40645e+13	3.32455e+09	1.08529e+13	3.89235e+12
1.25892e+16	5.32038e+18	1.15375e+14	1.26936e+13	2.61568e+09	1.05099e+13	3.65003e+12
0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
1.25892e+16	4.80295e+18	1.04553e+14	1.03007e+13	1.60960e+09	9.81870e+12	3.19490e+12
1.25892e+16	4.56362e+18	9.94549e+13	9.26180e+12	1.25911e+09	9.47417e+12	2.98229e+12
1.25892e+16	4.33637e+18	9.45586e+13	8.31738e+12	9.83131e+08	9.13205e+12	2.77975e+12
1.25892e+16	4.12053e+18	8.98581e+13	7.45988e+12	7.66204e+08	8.79320e+12	2.58727e+12
1.25892e+16	3.91551e+18	8.53485e+13	6.68234e+12	5.96026e+08	8.45855e+12	2.40476e+12
1.25892e+16	3.72079e+18	8.10253e+13	5.97831e+12	4.62795e+08	8.12897e+12	2.23205e+12
1.25892e+16	3.53586e+18	7.68835e+13	5.34173e+12	3.58696e+08	7.80519e+12	2.06895e+12
1.25892e+16	3.36019e+18	7.29168e+13	4.76687e+12	2.77504e+08	7.48766e+12	1.91520e+12
1.25892e+16	3.19345e+18	6.91236e+13	4.24881e+12	2.14331e+08	7.17724e+12	1.77062e+12
1.25892e+16	3.03511e+18	6.54964e+13	3.78235e+12	1.65253e+08	6.87410e+12	1.63482e+12
0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
1.25892e+16	2.74190e+18	5.87180e+13	2.98623e+12	9.77352e+07	6.29080e+12	1.38829e+12
1.25892e+16	2.60624e+18	5.55561e+13	2.64848e+12	7.49738e+07	6.01102e+12	1.27688e+12
1.25892e+16	2.47741e+18	5.25395e+13	2.34607e+12	5.74207e+07	5.73941e+12	1.17292e+12
1.25892e+16	2.35503e+18	4.96624e+13	2.07564e+12	4.39065e+07	5.47596e+12	1.07606e+12
1.25892e+16	2.23881e+18	4.69206e+13	1.83419e+12	3.35214e+07	5.22080e+12	9.85950e+11
1.25892e+16	2.12836e+18	4.43073e+13	1.61882e+12	2.55516e+07	4.97365e+12	9.02244e+11
1.25892e+16	2.02354e+18	4.18211e+13	1.42711e+12	1.94504e+07	4.73500e+12	8.24606e+11
1.25892e+16	1.92399e+18	3.94559e+13	1.25666e+12	0	4.50460e+12	7.52702e+11
0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00	0.00000e+00
