# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: Fe+, datatype: float64}
# - {name: Al+, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 Fe+ Al+ log_nH parameters
72443400000000.0 2.52921e+17 1476580000000.0 132069000000000.0 200433000000000.0 127236000000.0 24275800000000.0 53410000000000.0 59397700.0 72989100000000.0 178608000000000.0 32313200000000.0 237672000.0 8278400000.0 338572000000.0 3198140000000.0 28516100000000.0 12020300.0 362369000.0 -4.64 [-4.64]
72443400000000.0 2.14762e+17 1817520000000.0 138315000000000.0 176471000000000.0 140780000000.0 23351400000000.0 44888100000000.0 80193000.0 71782300000000.0 127083000000000.0 20087900000000.0 336409000.0 12395900000.0 409107000000.0 3612350000000.0 27280600000000.0 16448400.0 523245000.0 -4.62 [-4.62]
72443300000000.0 1.81882e+17 2192930000000.0 141114000000000.0 152624000000000.0 153778000000.0 22017300000000.0 37643600000000.0 110055000.0 71137500000000.0 86466400000000.0 11985600000000.0 481752000.0 18386400000.0 481309000000.0 4012100000000.0 25563500000000.0 22634200.0 743414000.0 -4.6 [-4.6]
72443300000000.0 1.56499e+17 2534220000000.0 140491000000000.0 132225000000000.0 166471000000.0 20714300000000.0 31820900000000.0 149266000.0 71532600000000.0 59231900000000.0 7316180000000.0 665942000.0 25948300000.0 548263000000.0 4339780000000.0 23692200000000.0 30527600.0 998549000.0 -4.58 [-4.58]
72443400000000.0 1.3735e+17 2813370000000.0 137748000000000.0 115768000000000.0 179413000000.0 19644900000000.0 27134100000000.0 197219000.0 72573400000000.0 41922600000000.0 4691450000000.0 874617000.0 34756600000.0 609470000000.0 4587550000000.0 21893500000000.0 40034800.0 1266710000.0 -4.56 [-4.56]
72443400000000.0 1.22435e+17 3036050000000.0 133904000000000.0 102379000000000.0 192858000000.0 18790800000000.0 23278400000000.0 254011000.0 73807000000000.0 30631700000000.0 3144050000000.0 1100070000.0 44761800000.0 666513000000.0 4771360000000.0 20225500000000.0 51265600.0 1540570000.0 -4.54 [-4.54]
72443500000000.0 1.10337e+17 3214250000000.0 129481000000000.0 91202000000000.0 206867000000.0 18087000000000.0 20044900000000.0 320535000.0 74990500000000.0 22929900000000.0 2176770000000.0 1339940000.0 56069400000.0 720547000000.0 4906470000000.0 18681400000000.0 64481000.0 1819960000.0 -4.52 [-4.52]
72443500000000.0 1.00191e+17 3357270000000.0 124741000000000.0 81656700000000.0 221443000000.0 17481000000000.0 17296600000000.0 398154000.0 76015900000000.0 17467000000000.0 1542430000000.0 1593610000.0 68830700000.0 772099000000.0 5003040000000.0 17244200000000.0 80023300.0 2106210000.0 -4.5 [-4.5]
72443500000000.0 9.15054e+16 3471530000000.0 119851000000000.0 73393600000000.0 236551000000.0 16942700000000.0 14947900000000.0 488210000.0 76836300000000.0 13488500000000.0 1112740000000.0 1859770000.0 83148900000.0 821238000000.0 5067320000000.0 15904800000000.0 98238900.0 2399800000.0 -4.48 [-4.48]
72443500000000.0 8.39498e+16 3561880000000.0 114914000000000.0 66164900000000.0 252155000000.0 16450900000000.0 12932600000000.0 592266000.0 77435900000000.0 10529000000000.0 814110000000.0 2137160000.0 99126800000.0 867901000000.0 5103890000000.0 14654700000000.0 119520000.0 2701310000.0 -4.46 [-4.46]
