H	H+	C+	C+2	C+3	O+5	O+6	Si+	Si+2	Si+3
1.58489e+14	1.03711e+20	5.44230e+08	2.69894e+11	9.15616e+12	9.64534e+14	1.06773e+16	9.02494e+04	6.52786e+07	2.57113e+09
1.58489e+14	1.03810e+20	5.95450e+08	2.95795e+11	1.00397e+13	1.06079e+15	1.17169e+16	9.90706e+04	7.16702e+07	2.82349e+09
1.58489e+14	1.03920e+20	6.51400e+08	3.24190e+11	1.10091e+13	1.16695e+15	1.28590e+16	1.08769e+05	7.86993e+07	3.10115e+09
1.58489e+14	1.04043e+20	7.12537e+08	3.55342e+11	1.20736e+13	1.28409e+15	1.41141e+16	1.19435e+05	8.64334e+07	3.40679e+09
1.58489e+14	1.04182e+20	7.79258e+08	3.89489e+11	1.32417e+13	1.41341e+15	1.54940e+16	1.31171e+05	9.49463e+07	3.74339e+09
1.58489e+14	1.04339e+20	8.52050e+08	4.26927e+11	1.45240e+13	1.55625e+15	1.70115e+16	1.44088e+05	1.04321e+08	4.11426e+09
1.58489e+14	1.04516e+20	9.31448e+08	4.67986e+11	1.59321e+13	1.71411e+15	1.86811e+16	1.58313e+05	1.14650e+08	4.52318e+09
1.58489e+14	1.04717e+20	1.01798e+09	5.13010e+11	1.74786e+13	1.88873e+15	2.05193e+16	1.73987e+05	1.26039e+08	4.97438e+09
1.58488e+14	1.04932e+20	1.11216e+09	5.62326e+11	1.91752e+13	2.08169e+15	2.25410e+16	1.91248e+05	1.38588e+08	5.47188e+09
1.58488e+14	1.05162e+20	1.21485e+09	6.16493e+11	2.10410e+13	2.29495e+15	2.47656e+16	2.10264e+05	1.52424e+08	6.02082e+09
1.58488e+14	1.05421e+20	1.32667e+09	6.75946e+11	2.30924e+13	2.53098e+15	2.72170e+16	2.31243e+05	1.67701e+08	6.62745e+09
1.58488e+14	1.05710e+20	1.44900e+09	7.41541e+11	2.53574e+13	2.79233e+15	2.99198e+16	2.54412e+05	1.84589e+08	7.29858e+09
1.58488e+14	1.06033e+20	1.58226e+09	8.13687e+11	2.78529e+13	3.08182e+15	3.29014e+16	2.80007e+05	2.03265e+08	8.04151e+09
1.58489e+14	1.06397e+20	1.72712e+09	8.92990e+11	3.06023e+13	3.40286e+15	3.61946e+16	3.08308e+05	2.23939e+08	8.86502e+09
1.58489e+14	1.06802e+20	1.88479e+09	9.80251e+11	3.36340e+13	3.75873e+15	3.98326e+16	3.39620e+05	2.46843e+08	9.77845e+09
1.58489e+14	1.07249e+20	2.05623e+09	1.07635e+12	3.69803e+13	4.15355e+15	4.38541e+16	3.74287e+05	2.72238e+08	1.07926e+10
1.58489e+14	1.07742e+20	2.24208e+09	1.18201e+12	4.06708e+13	4.59172e+15	4.83029e+16	4.12698e+05	3.00422e+08	1.19198e+10
1.58489e+14	1.08296e+20	2.44366e+09	1.29842e+12	4.47492e+13	5.07872e+15	5.32328e+16	4.55328e+05	3.31760e+08	1.31754e+10
1.58489e+14	1.08923e+20	2.66220e+09	1.42683e+12	4.92642e+13	5.62099e+15	5.87051e+16	5.02714e+05	3.66672e+08	1.45769e+10
1.58489e+14	1.09628e+20	2.89939e+09	1.56879e+12	5.42727e+13	6.22528e+15	6.47862e+16	5.55457e+05	4.05624e+08	1.61439e+10
1.58489e+14	1.10422e+20	3.15591e+09	1.72549e+12	5.98260e+13	6.90029e+15	7.15552e+16	6.14334e+05	4.49223e+08	1.79019e+10
1.58489e+14	1.11322e+20	3.43290e+09	1.89861e+12	6.59928e+13	7.65504e+15	7.91059e+16	6.80000e+05	4.98006e+08	1.98748e+10
1.58489e+14	1.12343e+20	3.73209e+09	2.09024e+12	7.28572e+13	8.50122e+15	8.75455e+16	7.53466e+05	5.52782e+08	2.20970e+10
1.58489e+14	1.13500e+20	4.05479e+09	2.30260e+12	8.05118e+13	9.45174e+15	9.69994e+16	8.35822e+05	6.14437e+08	2.46072e+10
1.58489e+14	1.14816e+20	4.40274e+09	2.53843e+12	8.90715e+13	1.05232e+16	1.07619e+17	9.28377e+05	6.84054e+08	2.74530e+10
1.58488e+14	1.16314e+20	4.77885e+09	2.80141e+12	9.86855e+13	1.17341e+16	1.19581e+17	1.03264e+06	7.62902e+08	3.06909e+10
1.58488e+14	1.18017e+20	5.18133e+09	3.09323e+12	1.09462e+14	1.31068e+16	1.33091e+17	1.15032e+06	8.52450e+08	3.43880e+10
1.58489e+14	1.19964e+20	5.61324e+09	3.41863e+12	1.21607e+14	1.46692e+16	1.48413e+17	1.28362e+06	9.54617e+08	3.86321e+10
1.58489e+14	1.22197e+20	6.07752e+09	3.78261e+12	1.35354e+14	1.64569e+16	1.65864e+17	1.43552e+06	1.07199e+09	4.35402e+10
1.58489e+14	1.24774e+20	6.57293e+09	4.18959e+12	1.50950e+14	1.85110e+16	1.85835e+17	1.60840e+06	1.20689e+09	4.92298e+10
1.58489e+14	1.27760e+20	7.10294e+09	4.64676e+12	1.68755e+14	2.08860e+16	2.08817e+17	1.80640e+06	1.36315e+09	5.58829e+10
1.58489e+14	1.31241e+20	7.66527e+09	5.15972e+12	1.89137e+14	2.36513e+16	2.35436e+17	2.03405e+06	1.54522e+09	6.37232e+10
1.58489e+14	1.35311e+20	8.26235e+09	5.73708e+12	2.12600e+14	2.68937e+16	2.66471e+17	2.29696e+06	1.75880e+09	7.30417e+10
1.58489e+14	1.40092e+20	8.88766e+09	6.38072e+12	2.39546e+14	3.07279e+16	3.02927e+17	2.60163e+06	2.01092e+09	8.42169e+10
1.58489e+14	1.45751e+20	9.53048e+09	7.08007e+12	2.70047e+14	3.53073e+16	3.46139e+17	2.95536e+06	2.31012e+09	9.77413e+10
1.58489e+14	1.52509e+20	1.02376e+10	7.90426e+12	3.06879e+14	4.08418e+16	3.97907e+17	3.37167e+06	2.67156e+09	1.14417e+11
1.58488e+14	1.60403e+20	1.09878e+10	8.83819e+12	3.50093e+14	4.75459e+16	4.59934e+17	3.86218e+06	3.10938e+09	1.35082e+11
1.58489e+14	1.00191e+20	1.70773e+07	8.12571e+09	2.68456e+11	2.65741e+13	2.87776e+14	2.89569e+03	2.08167e+06	8.04099e+07
1.58489e+14	1.00193e+20	1.87237e+07	8.90954e+09	2.94354e+11	2.91387e+13	3.15545e+14	3.17511e+03	2.28255e+06	8.81694e+07
1.58489e+14	1.00195e+20	2.05286e+07	9.76898e+09	3.22750e+11	3.19507e+13	3.45995e+14	3.48150e+03	2.50282e+06	9.66780e+07
1.58489e+14	1.00197e+20	2.25073e+07	1.07113e+10	3.53885e+11	3.50344e+13	3.79384e+14	3.81746e+03	2.74435e+06	1.06008e+08
1.58489e+14	1.00200e+20	2.46763e+07	1.17446e+10	3.88026e+11	3.84159e+13	4.15996e+14	4.18585e+03	3.00920e+06	1.16239e+08
1.58489e+14	1.00203e+20	2.70540e+07	1.28776e+10	4.25461e+11	4.21240e+13	4.56145e+14	4.58981e+03	3.29964e+06	1.27459e+08
1.58489e+14	1.00206e+20	2.96603e+07	1.41198e+10	4.66509e+11	4.61903e+13	5.00171e+14	5.03277e+03	3.61812e+06	1.39762e+08
1.58489e+14	1.00211e+20	3.25170e+07	1.54820e+10	5.11519e+11	5.06495e+13	5.48451e+14	5.51852e+03	3.96736e+06	1.53254e+08
1.58489e+14	1.00215e+20	3.56503e+07	1.69755e+10	5.60872e+11	5.55395e+13	6.01391e+14	6.05116e+03	4.35033e+06	1.68048e+08
1.58489e+14	1.00221e+20	3.90851e+07	1.86132e+10	6.14990e+11	6.09021e+13	6.59447e+14	6.63524e+03	4.77030e+06	1.84273e+08
1.58489e+14	1.00227e+20	4.28505e+07	2.04089e+10	6.74333e+11	6.67832e+13	7.23114e+14	7.27575e+03	5.23086e+06	2.02066e+08
1.58489e+14	1.00234e+20	4.69782e+07	2.23780e+10	7.39409e+11	7.32331e+13	7.92936e+14	7.97816e+03	5.73594e+06	2.21581e+08
1.58489e+14	1.00243e+20	5.15037e+07	2.45372e+10	8.10772e+11	8.03070e+13	8.69510e+14	8.74847e+03	6.28986e+06	2.42983e+08
1.58489e+14	1.00251e+20	5.64634e+07	2.69044e+10	8.89011e+11	8.80636e+13	9.53470e+14	9.59307e+03	6.89721e+06	2.66451e+08
