#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string
000000000	F	F	                  ok	8	1803	-5.000000	-3.000000	-5.000000, -3.000000


000000002	F	F	                  ok	11	1511	-5.000000	-2.900000	-5.000000, -2.900000


000000004	F	F	                  ok	11	1095	-5.000000	-2.800000	-5.000000, -2.800000
000000005	F	F	                  ok	0	492	-5.000000	-2.750000	-5.000000, -2.750000




000000008	F	F	                  ok	11	251	-5.000000	-2.600000	-5.000000, -2.600000
000000009	F	F	                  ok	1	980	-5.000000	-2.550000	-5.000000, -2.550000
000000010	F	F	                  ok	8	650	-5.000000	-2.500000	-5.000000, -2.500000
000000011	F	F	                  ok	6	229	-5.000000	-2.450000	-5.000000, -2.450000
000000012	F	F	                  ok	11	352	-5.000000	-2.400000	-5.000000, -2.400000
000000013	F	F	                  ok	10	1733	-5.000000	-2.350000	-5.000000, -2.350000
000000014	F	F	                  ok	7	1044	-5.000000	-2.300000	-5.000000, -2.300000
000000015	F	F	                  ok	3	668	-5.000000	-2.250000	-5.000000, -2.250000
000000016	F	F	                  ok	11	1914	-5.000000	-2.200000	-5.000000, -2.200000
000000017	F	F	                  ok	9	1715	-5.000000	-2.150000	-5.000000, -2.150000
000000018	F	F	                  ok	0	1941	-5.000000	-2.100000	-5.000000, -2.100000
000000019	F	F	                  ok	1	208	-5.000000	-2.050000	-5.000000, -2.050000


000000021	F	F	                  ok	5	11	-5.000000	-1.950000	-5.000000, -1.950000
000000022	F	F	                  ok	8	1101	-5.000000	-1.900000	-5.000000, -1.900000
000000023	F	F	                  ok	11	1913	-5.000000	-1.850000	-5.000000, -1.850000
000000024	F	F	                  ok	11	88	-5.000000	-1.800000	-5.000000, -1.800000
000000025	F	F	                  ok	11	1146	-5.000000	-1.750000	-5.000000, -1.750000
000000026	F	F	                  ok	3	850	-5.000000	-1.700000	-5.000000, -1.700000
000000027	F	F	                  ok	7	159	-5.000000	-1.650000	-5.000000, -1.650000


000000029	F	F	                  ok	11	1695	-5.000000	-1.550000	-5.000000, -1.550000


000000031	F	F	                  ok	6	897	-5.000000	-1.450000	-5.000000, -1.450000
000000032	F	F	                  ok	11	349	-5.000000	-1.400000	-5.000000, -1.400000
000000033	F	F	                  ok	5	41	-5.000000	-1.350000	-5.000000, -1.350000


000000035	F	F	                  ok	9	680	-5.000000	-1.250000	-5.000000, -1.250000
000000036	F	F	                  ok	11	2018	-5.000000	-1.200000	-5.000000, -1.200000
000000037	F	F	                  ok	1	78	-5.000000	-1.150000	-5.000000, -1.150000
000000038	F	F	                  ok	8	1689	-5.000000	-1.100000	-5.000000, -1.100000
000000039	F	F	                  ok	3	644	-5.000000	-1.050000	-5.000000, -1.050000
000000040	F	F	                  ok	9	475	-5.000000	-1.000000	-5.000000, -1.000000
000000041	F	F	                  ok	9	1743	-5.000000	-0.950000	-5.000000, -0.950000


000000043	F	F	                  ok	6	605	-5.000000	-0.850000	-5.000000, -0.850000


000000045	F	F	                  ok	5	457	-5.000000	-0.750000	-5.000000, -0.750000




000000048	F	F	                  ok	10	385	-5.000000	-0.600000	-5.000000, -0.600000
000000049	F	F	                  ok	0	2018	-5.000000	-0.550000	-5.000000, -0.550000
000000050	F	F	                  ok	5	301	-5.000000	-0.500000	-5.000000, -0.500000
000000051	F	F	                  ok	11	2055	-5.000000	-0.450000	-5.000000, -0.450000


000000053	F	F	                  ok	4	1480	-5.000000	-0.350000	-5.000000, -0.350000
000000054	F	F	                  ok	0	797	-5.000000	-0.300000	-5.000000, -0.300000
000000055	F	F	                  ok	9	20	-5.000000	-0.250000	-5.000000, -0.250000
000000056	F	F	                  ok	6	141	-5.000000	-0.200000	-5.000000, -0.200000
000000057	F	F	                  ok	10	378	-5.000000	-0.150000	-5.000000, -0.150000
000000058	F	F	                  ok	9	656	-5.000000	-0.100000	-5.000000, -0.100000
000000059	F	F	                  ok	4	1117	-5.000000	-0.050000	-5.000000, -0.050000
000000060	F	F	                  ok	1	794	-5.000000	0.000000	-5.000000, 0.000000
000000061	F	F	                  ok	1	462	-5.000000	0.050000	-5.000000, 0.050000
000000062	F	F	                  ok	4	571	-5.000000	0.100000	-5.000000, 0.100000
000000063	F	F	                  ok	7	1502	-5.000000	0.150000	-5.000000, 0.150000
000000064	F	F	                  ok	9	873	-5.000000	0.200000	-5.000000, 0.200000
000000065	F	F	                  ok	8	399	-5.000000	0.250000	-5.000000, 0.250000


000000067	F	F	                  ok	0	1377	-5.000000	0.350000	-5.000000, 0.350000
000000068	F	F	                  ok	8	857	-5.000000	0.400000	-5.000000, 0.400000
000000069	F	F	                  ok	8	1726	-5.000000	0.450000	-5.000000, 0.450000




000000072	F	F	                  ok	0	759	-5.000000	0.600000	-5.000000, 0.600000
000000073	F	F	                  ok	9	152	-5.000000	0.650000	-5.000000, 0.650000
000000074	F	F	                  ok	5	124	-5.000000	0.700000	-5.000000, 0.700000
000000075	F	F	                  ok	8	1247	-5.000000	0.750000	-5.000000, 0.750000
000000076	F	F	                  ok	0	809	-5.000000	0.800000	-5.000000, 0.800000






000000080	F	F	                  ok	9	1013	-5.000000	1.000000	-5.000000, 1.000000
000000081	F	F	                  ok	11	777	-5.000000	1.050000	-5.000000, 1.050000
000000082	F	F	                  ok	7	217	-5.000000	1.100000	-5.000000, 1.100000
