# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
70794500000000.0 5.58877e+17 424262000000.0 80443200000000.0 297362000000000.0 49570600000.0 20301700000000.0 125495000000000.0 10476000.0 65641700000000.0 648574000000000.0 227942000000000.0 43229000.0 1151780000.0 98058000000.0 1418860000000.0 27898700000000.0 -4.62 4.058 [-4.62]
70794500000000.0 4.98043e+17 506267000000.0 87459300000000.0 287684000000000.0 58355400000.0 21555100000000.0 112128000000000.0 13652000.0 68624200000000.0 547638000000000.0 173659000000000.0 54663700.0 1485470000.0 118228000000.0 1647990000000.0 28801300000000.0 -4.6 4.016 [-4.6]
70794500000000.0 4.30559e+17 635237000000.0 97620700000000.0 272797000000000.0 69831200000.0 22707800000000.0 96709800000000.0 18399100.0 70498900000000.0 443645000000000.0 123371000000000.0 72909200.0 2086650000.0 150453000000.0 1960330000000.0 29596300000000.0 -4.58 3.956 [-4.58]
70794400000000.0 3.74442e+17 789058000000.0 107859000000000.0 256342000000000.0 81502700000.0 23479000000000.0 83405400000000.0 24265200.0 71439500000000.0 357894000000000.0 87806300000000.0 97439500.0 2964020000.0 190188000000.0 2285240000000.0 29991600000000.0 -4.56 3.899 [-4.56]
70794400000000.0 3.27906e+17 963814000000.0 117205000000000.0 239119000000000.0 92992100000.0 23888900000000.0 72192200000000.0 31458000.0 71819100000000.0 287007000000000.0 62614600000000.0 129366000.0 4179460000.0 235412000000.0 2613540000000.0 30009600000000.0 -4.54 3.846 [-4.54]
70794300000000.0 2.83633e+17 1187630000000.0 126323000000000.0 218871000000000.0 105011000000.0 23842700000000.0 61721900000000.0 41316000.0 71393500000000.0 221367000000000.0 42570300000000.0 176044000.0 6072670000.0 290631000000.0 2985040000000.0 29609900000000.0 -4.52 3.785 [-4.52]
70794300000000.0 2.41783e+17 1473140000000.0 134182000000000.0 195575000000000.0 117146000000.0 23224600000000.0 52153000000000.0 55475200.0 70444300000000.0 161450000000000.0 27134500000000.0 247694000.0 9085270000.0 355401000000.0 3398330000000.0 28673400000000.0 -4.5 3.714 [-4.5]
70794400000000.0 2.04334e+17 1810310000000.0 139216000000000.0 170883000000000.0 128927000000.0 22079600000000.0 43791700000000.0 76212200.0 69722400000000.0 111261000000000.0 16323700000000.0 357491000.0 13688900000.0 425265000000.0 3823250000000.0 27168200000000.0 -4.48 3.636 [-4.48]
70794300000000.0 1.74416e+17 2141950000000.0 140550000000000.0 148438000000000.0 140299000000.0 20792800000000.0 36948500000000.0 104590000.0 69974400000000.0 75657700000000.0 9812810000000.0 506231000.0 19847600000.0 492478000000.0 4195660000000.0 25343700000000.0 -4.46 3.563 [-4.46]
70794400000000.0 1.51965e+17 2422650000000.0 139127000000000.0 130037000000000.0 151746000000.0 19696000000000.0 31472200000000.0 140065000.0 71039100000000.0 52910200000000.0 6177480000000.0 681071000.0 27194400000.0 554077000000.0 4485340000000.0 23511300000000.0 -4.44 3.502 [-4.44]
70794500000000.0 1.3473e+17 2649730000000.0 136149000000000.0 115056000000000.0 163617000000.0 18823400000000.0 26995500000000.0 182549000.0 72415600000000.0 38255100000000.0 4078020000000.0 873505000.0 35626600000.0 611379000000.0 4704180000000.0 21783300000000.0 -4.42 3.453 [-4.42]
70794400000000.0 1.20966e+17 2832830000000.0 132333000000000.0 102604000000000.0 176009000000.0 18120000000000.0 23261100000000.0 232507000.0 73794400000000.0 28420900000000.0 2793710000000.0 1080090000.0 45197100000.0 665660000000.0 4868640000000.0 20176100000000.0 -4.4 3.412 [-4.4]
70794500000000.0 1.09556e+17 2981310000000.0 128035000000000.0 91995900000000.0 188939000000.0 17527100000000.0 20095500000000.0 290943000.0 75034600000000.0 21533800000000.0 1965000000000.0 1300220000.0 56042300000.0 717645000000.0 4990900000000.0 18676000000000.0 -4.38 3.374 [-4.38]
70794500000000.0 9.98562e+16 3101670000000.0 123461000000000.0 82809100000000.0 202390000000.0 17007900000000.0 17389700000000.0 358975000.0 76075400000000.0 16559000000000.0 1409550000000.0 1533200000.0 68282300000.0 767537000000.0 5078400000000.0 17272400000000.0 -4.36 3.377 [-4.36]
70794500000000.0 9.14645e+16 3198680000000.0 118749000000000.0 74766100000000.0 216334000000.0 16539000000000.0 15066500000000.0 437808000.0 76893900000000.0 12883200000000.0 1026780000000.0 1778100000.0 82018800000.0 815329000000.0 5136310000000.0 15958100000000.0 -4.34 3.343 [-4.34]
70794500000000.0 8.4114e+16 3276070000000.0 113997000000000.0 67671600000000.0 230731000000.0 16105500000000.0 13067100000000.0 528709000.0 77485900000000.0 10120300000000.0 757425000000.0 2033600000.0 97331900000.0 860892000000.0 5168320000000.0 14728200000000.0 -4.32 3.345 [-4.32]
70794500000000.0 7.76137e+16 3337060000000.0 109272000000000.0 61375900000000.0 245548000000.0 15697500000000.0 11343400000000.0 633065000.0 77856400000000.0 8014540000000.0 564641000000.0 2298330000.0 114288000000.0 904107000000.0 5177370000000.0 13578100000000.0 -4.3 3.315 [-4.3]
70794500000000.0 7.18052e+16 3383960000000.0 104607000000000.0 55751300000000.0 260770000000.0 15305200000000.0 9851930000000.0 752717000.0 78016900000000.0 6387090000000.0 424381000000.0 2571160000.0 132993000000.0 944820000000.0 5165760000000.0 12500800000000.0 -4.28 3.317 [-4.28]
70794500000000.0 6.65773e+16 3418640000000.0 100027000000000.0 50703800000000.0 276367000000.0 14922600000000.0 8559000000000.0 889565000.0 77978800000000.0 5116410000000.0 321097000000.0 2850460000.0 153526000000.0 982854000000.0 5135350000000.0 11491800000000.0 -4.26 3.29 [-4.26]
70794500000000.0 6.18561e+16 3443130000000.0 95569900000000.0 46166100000000.0 292292000000.0 14547800000000.0 7438820000000.0 1045380000.0 77754400000000.0 4118240000000.0 244453000000.0 3134130000.0 175901000000.0 1018050000000.0 5087950000000.0 10549600000000.0 -4.24 3.291 [-4.24]
70794500000000.0 5.75701e+16 3458840000000.0 91246100000000.0 42073300000000.0 308515000000.0 14177500000000.0 6466860000000.0 1222380000.0 77356300000000.0 3328100000000.0 187063000000.0 3420310000.0 200162000000.0 1050260000000.0 5025040000000.0 9670280000000.0 -4.22 3.267 [-4.22]
70794500000000.0 5.36652e+16 3467140000000.0 87068400000000.0 38373500000000.0 324960000000.0 13810000000000.0 5623090000000.0 1422900000.0 76796900000000.0 2699060000000.0 143794000000.0 3707020000.0 226321000000.0 1079330000000.0 4948070000000.0 8850840000000.0 -4.2 3.268 [-4.2]
70794500000000.0 5.00961e+16 3469220000000.0 83044400000000.0 35022200000000.0 341532000000.0 13444400000000.0 4890280000000.0 1649490000.0 76087800000000.0 2195720000000.0 110973000000.0 3992270000.0 254368000000.0 1105160000000.0 4858370000000.0 8088400000000.0 -4.18 3.245 [-4.18]
70794500000000.0 4.68254e+16 3466140000000.0 79178700000000.0 31981400000000.0 358268000000.0 13079900000000.0 4253640000000.0 1904660000.0 75240900000000.0 1791200000000.0 85946500000.0 4274120000.0 284269000000.0 1127630000000.0 4757250000000.0 7380190000000.0 -4.16 3.246 [-4.16]
70794500000000.0 4.38196e+16 3458730000000.0 75471500000000.0 29217100000000.0 375135000000.0 12716200000000.0 3700220000000.0 2191370000.0 74267800000000.0 1464700000000.0 66767400000.0 4550770000.0 315988000000.0 1146680000000.0 4645850000000.0 6723200000000.0 -4.14 3.225 [-4.14]
70794500000000.0 4.10496e+16 3447640000000.0 71919000000000.0 26700200000000.0 392096000000.0 12352800000000.0 3218850000000.0 2512800000.0 73177300000000.0 1200130000000.0 52002300000.0 4820480000.0 349452000000.0 1162160000000.0 4525310000000.0 6114430000000.0 -4.12 3.226 [-4.12]
