H	H+	C+	C+2	C+3	O+5	O+6	Si+	Si+2	Si+3
1.17490e+16	5.95739e+15	1.27969e+14	4.28163e+12	2.73046e+08	0	0	2.09586e+13	3.00410e+09	3.75990e+09
1.17490e+16	5.86506e+15	1.38064e+14	4.49657e+12	2.89790e+08	0	0	2.28233e+13	3.25281e+09	4.06243e+09
1.17490e+16	5.78042e+15	1.49031e+14	4.77035e+12	3.09230e+08	0	0	2.48661e+13	3.52646e+09	4.40129e+09
1.17490e+16	5.70123e+15	1.60900e+14	5.06075e+12	3.30134e+08	0	0	2.71008e+13	3.82642e+09	4.77085e+09
1.17490e+16	5.62749e+15	1.73749e+14	5.36882e+12	3.52626e+08	0	0	2.95460e+13	4.15540e+09	5.17407e+09
1.17490e+16	5.55906e+15	1.87660e+14	5.69541e+12	3.76831e+08	0	0	3.22220e+13	4.51627e+09	5.61412e+09
1.17490e+16	5.49562e+15	2.02718e+14	6.04109e+12	4.02864e+08	0	0	3.51506e+13	4.91205e+09	6.09430e+09
1.17490e+16	5.43765e+15	2.19032e+14	6.40760e+12	4.30918e+08	0	0	3.83575e+13	5.34655e+09	6.61884e+09
1.17490e+16	5.38520e+15	2.36719e+14	6.79612e+12	4.61174e+08	0	0	4.18699e+13	5.82344e+09	7.19200e+09
1.17490e+16	5.33972e+15	2.55946e+14	7.21100e+12	4.94003e+08	0	0	4.57225e+13	6.34811e+09	7.82013e+09
1.17490e+16	5.29860e+15	2.76752e+14	7.64787e+12	5.29277e+08	0	0	4.99402e+13	6.92335e+09	8.50576e+09
1.17489e+16	4.87700e+16	1.41760e+10	1.44261e+09	1.23840e+05	0	0	1.81044e+09	1.44299e+08	8.48823e+05
1.17489e+16	4.87686e+16	1.55430e+10	1.58169e+09	1.35778e+05	0	0	1.98508e+09	1.58193e+08	9.30675e+05
1.17489e+16	4.87671e+16	1.70418e+10	1.73418e+09	1.48867e+05	0	0	2.17657e+09	1.73425e+08	1.02042e+06
1.17489e+16	4.87655e+16	1.86851e+10	1.90137e+09	1.63217e+05	0	0	2.38653e+09	1.90119e+08	1.11881e+06
1.17489e+16	4.87637e+16	2.04869e+10	2.08467e+09	1.78950e+05	0	0	2.61674e+09	2.08417e+08	1.22669e+06
1.17489e+16	4.87617e+16	2.24623e+10	2.28562e+09	1.96197e+05	0	0	2.86915e+09	2.28467e+08	1.34496e+06
1.17489e+16	4.87595e+16	2.46283e+10	2.50594e+09	2.15107e+05	0	0	3.14591e+09	2.50444e+08	1.47462e+06
1.17489e+16	4.87595e+16	2.70040e+10	2.74769e+09	2.35860e+05	0	0	3.44945e+09	2.74566e+08	1.61690e+06
1.17489e+16	4.87545e+16	2.96066e+10	3.01228e+09	2.58562e+05	0	0	3.78205e+09	3.00914e+08	1.77261e+06
1.17490e+16	4.87542e+16	3.24624e+10	3.30287e+09	2.83506e+05	0	0	4.14698e+09	3.29884e+08	1.94363e+06
1.17489e+16	4.87508e+16	3.55921e+10	3.62112e+09	3.10818e+05	0	0	4.54694e+09	3.61569e+08	2.13093e+06
1.17489e+16	4.87450e+16	3.90221e+10	3.96974e+09	3.40726e+05	0	0	4.98533e+09	3.96227e+08	2.33610e+06
1.17489e+16	4.87412e+16	4.27839e+10	4.35221e+09	3.73545e+05	0	0	5.46614e+09	4.34254e+08	2.56119e+06
1.17489e+16	4.87393e+16	4.69098e+10	4.77184e+09	4.09560e+05	0	0	5.99347e+09	4.75971e+08	2.80814e+06
1.17490e+16	4.87350e+16	5.14317e+10	5.23153e+09	4.49002e+05	0	0	6.57149e+09	5.21611e+08	3.07867e+06
1.17489e+16	4.87296e+16	5.63885e+10	5.73531e+09	4.92222e+05	0	0	7.20517e+09	5.71568e+08	3.37514e+06
1.17489e+16	4.87246e+16	6.18236e+10	6.28770e+09	5.39614e+05	0	0	7.90000e+09	6.26317e+08	3.70022e+06
1.17489e+16	4.87160e+16	6.77787e+10	6.89248e+09	5.91480e+05	0	0	8.66147e+09	6.86124e+08	4.05614e+06
1.17489e+16	4.87094e+16	7.43098e+10	7.55596e+09	6.48391e+05	0	0	9.49660e+09	7.51718e+08	4.44659e+06
