# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH parameters
39810600000000.0 2.04888e+17 463239000000.0 60887700000000.0 141175000000000.0 48066400000.0 13278500000000.0 45328800000000.0 14826700.0 40366200000000.0 193090000000000.0 47255900000000.0 58126300.0 1757040000.0 109598000000.0 1290330000000.0 16641600000000.0 -4.6 [-4.6]
39810600000000.0 1.79334e+17 565428000000.0 66088500000000.0 131477000000000.0 54789300000.0 13491600000000.0 39173600000000.0 19220300.0 40540800000000.0 154585000000000.0 33563400000000.0 77138800.0 2478570000.0 135573000000.0 1474560000000.0 16631500000000.0 -4.58 [-4.58]
39810600000000.0 1.5507e+17 695738000000.0 71104600000000.0 120106000000000.0 61797100000.0 13445700000000.0 33447400000000.0 25232000.0 40257400000000.0 119018000000000.0 22751300000000.0 104884000.0 3600290000.0 167172000000.0 1682190000000.0 16386300000000.0 -4.56 [-4.56]
39810700000000.0 1.32209e+17 860915000000.0 75352600000000.0 107113000000000.0 68846700000.0 13080200000000.0 28238100000000.0 33838700.0 39682300000000.0 86694400000000.0 14487100000000.0 147297000.0 5376600000.0 204021000000.0 1911730000000.0 15843000000000.0 -4.54 [-4.54]
39810600000000.0 1.11751e+17 1055180000000.0 77987400000000.0 93397400000000.0 75679000000.0 12421200000000.0 23692600000000.0 46423600.0 39233000000000.0 59675300000000.0 8708020000000.0 212121000.0 8083260000.0 243616000000.0 2146790000000.0 14986500000000.0 -4.52 [-4.52]
39810700000000.0 9.54029e+16 1245480000000.0 78559600000000.0 80974800000000.0 82273400000.0 11686000000000.0 19975200000000.0 63626800.0 39331700000000.0 40541600000000.0 5231400000000.0 299716000.0 11696000000.0 281588000000.0 2351950000000.0 13958500000000.0 -4.5 [-4.5]
39810700000000.0 8.31304e+16 1405870000000.0 77620500000000.0 70821900000000.0 88909800000.0 11060200000000.0 17001600000000.0 85112000.0 39889700000000.0 28332900000000.0 3291800000000.0 402412000.0 15997800000.0 316306000000.0 2510760000000.0 12932000000000.0 -4.48 [-4.48]
39810700000000.0 7.37154e+16 1535010000000.0 75846000000000.0 62583700000000.0 95784600000.0 10562400000000.0 14573800000000.0 110795000.0 40624700000000.0 20480600000000.0 2173060000000.0 515059000.0 20922600000.0 348521000000.0 2629990000000.0 11968400000000.0 -4.46 [-4.46]
39810700000000.0 6.61913e+16 1638770000000.0 73626700000000.0 55747500000000.0 102957000000.0 10160000000000.0 12549100000000.0 140984000.0 41363300000000.0 15211500000000.0 1488480000000.0 635752000.0 26505900000.0 378986000000.0 2719010000000.0 11074300000000.0 -4.44 [-4.44]
39810700000000.0 5.99523e+16 1722600000000.0 71156700000000.0 49933400000000.0 110435000000.0 9820200000000.0 10833800000000.0 176277000.0 42025900000000.0 11522500000000.0 1046760000000.0 764083000.0 32824900000.0 408109000000.0 2784580000000.0 10241300000000.0 -4.42 [-4.42]
