#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string
000000073	F	F	                  ok	8	409	-5.000000	0.650000	-5.000000, 0.650000
000000074	F	F	                  ok	0	1945	-5.000000	0.700000	-5.000000, 0.700000
000000075	F	F	                  ok	5	1879	-5.000000	0.750000	-5.000000, 0.750000
000000076	F	F	                  ok	5	1157	-5.000000	0.800000	-5.000000, 0.800000
000000077	F	F	                  ok	0	1146	-5.000000	0.850000	-5.000000, 0.850000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000079	F	F	                  ok	2	140	-5.000000	0.950000	-5.000000, 0.950000
000000080	F	F	                  ok	3	102	-5.000000	1.000000	-5.000000, 1.000000
000000081	F	F	                  ok	5	396	-5.000000	1.050000	-5.000000, 1.050000
000000082	F	F	                  ok	10	626	-5.000000	1.100000	-5.000000, 1.100000
000000083	F	F	                  ok	8	1295	-5.000000	1.150000	-5.000000, 1.150000
000000084	F	F	                  ok	8	1983	-5.000000	1.200000	-5.000000, 1.200000
000000085	F	F	                  ok	6	92	-5.000000	1.250000	-5.000000, 1.250000
000000086	F	F	                  ok	4	177	-5.000000	1.300000	-5.000000, 1.300000
000000087	F	F	                  ok	8	1943	-5.000000	1.350000	-5.000000, 1.350000
000000088	F	F	                  ok	11	680	-5.000000	1.400000	-5.000000, 1.400000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000090	F	F	                  ok	10	1274	-5.000000	1.500000	-5.000000, 1.500000
000000091	F	F	                  ok	4	646	-5.000000	1.550000	-5.000000, 1.550000
000000092	F	F	                  ok	8	1985	-5.000000	1.600000	-5.000000, 1.600000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

000000094	F	F	                  ok	5	464	-5.000000	1.700000	-5.000000, 1.700000
000000095	F	F	                  ok	4	283	-5.000000	1.750000	-5.000000, 1.750000
000000096	F	F	                  ok	8	1292	-5.000000	1.800000	-5.000000, 1.800000
000000097	F	F	                  ok	7	521	-5.000000	1.850000	-5.000000, 1.850000
000000098	F	F	                  ok	2	1255	-5.000000	1.900000	-5.000000, 1.900000
000000099	F	F	                  ok	3	1189	-5.000000	1.950000	-5.000000, 1.950000
000000100	F	F	                  ok	0	684	-5.000000	2.000000	-5.000000, 2.000000
#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string

