H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4
3.09030e+14	1.00716e+18	6.93978e+12	5.97209e+14	8.29551e+14	5.29034e+11	9.97700e+13	2.16782e+14	2.65496e+08	3.05417e+14	6.41875e+14	1.04033e+14	1.18249e+09	4.39331e+10	1.61317e+12	1.51729e+13	1.22726e+14
3.09030e+14	8.54792e+17	8.40899e+12	6.13207e+14	7.22061e+14	5.80227e+11	9.46947e+13	1.82636e+14	3.63830e+08	3.03426e+14	4.42543e+14	6.33294e+13	1.69521e+09	6.53182e+10	1.91132e+12	1.69501e+13	1.15928e+14
3.09030e+14	7.34339e+17	9.80410e+12	6.14455e+14	6.27413e+14	6.30312e+11	8.93669e+13	1.54705e+14	4.95588e+08	3.05542e+14	3.04079e+14	3.88317e+13	2.36647e+09	9.31065e+10	2.19540e+12	1.84710e+13	1.08075e+14
3.09027e+14	6.42931e+17	1.09776e+13	6.05602e+14	5.50187e+14	6.81266e+11	8.48720e+13	1.32111e+14	6.58946e+08	3.10577e+14	2.14889e+14	2.48204e+13	3.14475e+09	1.26017e+11	2.45781e+12	1.96540e+13	1.00284e+14
3.09029e+14	5.71926e+17	1.19304e+13	5.91187e+14	4.87221e+14	7.34265e+11	8.12763e+13	1.13503e+14	8.53939e+08	3.16605e+14	1.56653e+14	1.65680e+13	3.99752e+09	1.63738e+11	2.70366e+12	2.05517e+13	9.29487e+13
3.09029e+14	5.14630e+17	1.27017e+13	5.73679e+14	4.34678e+14	7.89585e+11	7.83397e+13	9.78979e+13	1.08317e+09	3.22483e+14	1.17075e+14	1.14391e+13	4.91266e+09	2.06580e+11	2.93750e+12	2.12282e+13	8.61091e+13
3.09028e+14	4.66801e+17	1.33297e+13	5.54427e+14	3.89833e+14	8.47287e+11	7.58375e+13	8.46278e+13	1.35124e+09	3.27694e+14	8.90962e+13	8.09161e+12	5.88756e+09	2.55127e+11	3.16184e+12	2.17301e+13	7.97115e+13
3.09028e+14	4.26006e+17	1.38394e+13	5.34222e+14	3.51016e+14	9.07209e+11	7.36331e+13	7.32793e+13	1.66273e+09	3.32009e+14	6.87772e+13	5.83243e+12	6.91758e+09	3.09793e+11	3.37700e+12	2.20856e+13	7.37276e+13
3.09028e+14	3.90559e+17	1.42508e+13	5.13533e+14	3.16975e+14	9.69304e+11	7.16247e+13	6.35157e+13	2.02377e+09	3.35359e+14	5.36659e+13	4.26388e+12	8.00030e+09	3.71133e+11	3.58306e+12	2.23165e+13	6.81145e+13
3.09028e+14	3.59456e+17	1.45787e+13	4.92761e+14	2.86934e+14	1.03336e+12	6.97622e+13	5.51102e+13	2.43959e+09	3.37726e+14	4.22664e+13	3.15523e+12	9.12861e+09	4.39386e+11	3.77935e+12	2.24376e+13	6.28626e+13
3.09028e+14	3.31895e+17	1.48362e+13	4.72160e+14	2.60258e+14	1.09924e+12	6.80010e+13	4.78582e+13	2.91670e+09	3.39141e+14	3.35458e+13	2.35831e+12	1.02966e+10	5.14872e+11	3.96526e+12	2.24611e+13	5.79498e+13
3.09029e+14	3.07191e+17	1.50325e+13	4.51810e+14	2.36385e+14	1.16692e+12	6.62963e+13	4.15715e+13	3.46418e+09	3.39654e+14	2.67753e+13	1.77565e+12	1.15001e+10	5.98170e+11	4.14013e+12	2.23961e+13	5.33397e+13
