H	H+	C+	C+2	C+3	O+5	O+6	Si+	Si+2	Si+3
1.34896e+14	1.15136e+18	1.09550e+11	1.86799e+13	5.14085e+13	8.62161e+13	3.14019e+13	7.19918e+08	4.19274e+10	2.46134e+11
1.34896e+14	1.08911e+18	1.16754e+11	1.91085e+13	5.07191e+13	7.74181e+13	2.68637e+13	8.09767e+08	4.62386e+10	2.66512e+11
1.34896e+14	1.03028e+18	1.24428e+11	1.95324e+13	4.99741e+13	6.93678e+13	2.29377e+13	9.10075e+08	5.09143e+10	2.88030e+11
1.34896e+14	9.74703e+17	1.32600e+11	1.99506e+13	4.91746e+13	6.20245e+13	1.95498e+13	1.02205e+09	5.59784e+10	3.10680e+11
1.34896e+14	9.22202e+17	1.41295e+11	2.03624e+13	4.83219e+13	5.53454e+13	1.66330e+13	1.14701e+09	6.14552e+10	3.34450e+11
1.34896e+14	8.72600e+17	1.50536e+11	2.07663e+13	4.74175e+13	4.92872e+13	1.41273e+13	1.28639e+09	6.73687e+10	3.59323e+11
1.34896e+14	8.25741e+17	1.60348e+11	2.11611e+13	4.64631e+13	4.38072e+13	1.19794e+13	1.44179e+09	7.37443e+10	3.85269e+11
1.34896e+14	7.81476e+17	1.70751e+11	2.15454e+13	4.54609e+13	3.88637e+13	1.01420e+13	1.61501e+09	8.06080e+10	4.12243e+11
1.34896e+14	7.39668e+17	1.81766e+11	2.19179e+13	4.44132e+13	3.44157e+13	8.57366e+12	1.80802e+09	8.79865e+10	4.40192e+11
1.34896e+14	7.00171e+17	1.93411e+11	2.22767e+13	4.33224e+13	3.04233e+13	7.23730e+12	2.02295e+09	9.59051e+10	4.69054e+11
1.34896e+14	6.62851e+17	2.05696e+11	2.26198e+13	4.21912e+13	2.68478e+13	6.10057e+12	2.26209e+09	1.04388e+11	4.98761e+11
1.34896e+14	6.27596e+17	2.18635e+11	2.29458e+13	4.10227e+13	2.36536e+13	5.13553e+12	2.52808e+09	1.13463e+11	5.29217e+11
1.34896e+14	5.94287e+17	2.32235e+11	2.32526e+13	3.98203e+13	2.08063e+13	4.31760e+12	2.82371e+09	1.23153e+11	5.60323e+11
1.34896e+14	5.62809e+17	2.46498e+11	2.35381e+13	3.85872e+13	1.82732e+13	3.62536e+12	3.15196e+09	1.33480e+11	5.91975e+11
1.34896e+14	5.33071e+17	2.61424e+11	2.38007e+13	3.73275e+13	1.60247e+13	3.04056e+12	3.51622e+09	1.44470e+11	6.24037e+11
1.34896e+14	5.04973e+17	2.77006e+11	2.40384e+13	3.60452e+13	1.40328e+13	2.54725e+12	3.92006e+09	1.56141e+11	6.56367e+11
1.34896e+14	4.78424e+17	2.93236e+11	2.42496e+13	3.47443e+13	1.22716e+13	2.13169e+12	4.36732e+09	1.68512e+11	6.88820e+11
