# CeSAM : ASTROPHYSIC DATA CENTER IN MARSEILLE
# Head : C. Surace, Scientific head : V. Le Brun, Information system head : C. Moreau
# VVDS project 
# It these data have been of any use for your research, please include the following acknowledgment :
# This research uses data from the VIMOS VLT Deep Survey, obtained from the VVDS database operated by Cesam, Laboratoire d'Astrophysique de Marseille, France.
# and refer to the paper: 
# Le Fèvre et al., 2013, arXiv:1307.0545
# Search in F14_WIDE field AND MagI between -100 and 100 AND Spectroscopic Redshift > 0
# NUM 	ID-IAU 	ALPHA 	DELTA 	Z 	ZFLAGS 	MAGI 	MAG_U_CFH12K 	MAGERR_AUTO_U 	MAG_B_CFH12K 	MAGERR_AUTO_B 	MAG_V_CFH12K 	MAGERR_AUTO_V 	MAG_R_CFH12K 	MAGERR_AUTO_R 	MAG_I_CFH12K 	MAGERR_AUTO_I 	 
140014649	VVDS-J135730.59+040551.3	209.377471	4.0975959	0.8314	2	21.9372	-99.9	-99.9	-99	-99	-99	-99	23.595583	0.053864	21.9372	0.0538
140014779	VVDS-J135731.98+040552.4	209.383279	4.0979072	0.1625	1	22.0714	-99.9	-99.9	-99	-99	-99	-99	23.510917	0.052366	22.0714	0.0594
140014964	VVDS-J135834.67+040555.7	209.644489	4.0988244	0.8729	2	22.4256	-99.9	-99.9	99.99	99.99	25.232557	0.177646	23.876028	0.06257	22.4256	0.0585
140015153	VVDS-J135930.75+040558.4	209.878127	4.0995632	0.5988	1	22.4049	-99.9	-99.9	24.357504	0.088591	23.083488	0.056544	22.604091	0.030664	22.4049	0.0372
140015178	VVDS-J135851.72+040555.2	209.715519	4.0986927	0.6287	2	21.9971	-99.9	-99.9	23.777378	0.084493	23.28974	0.075794	22.409912	0.035349	21.9971	0.0442
140015210	VVDS-J135544.23+040555.4	208.934315	4.0987281	9.9999	0	22.151	-99.9	-99.9	-99	-99	-99	-99	-99	-99	22.151	0.0572
140015253	VVDS-J135837.11+040558.1	209.654637	4.099477	0.3314	3	22.418	-99.9	-99.9	22.65826	0.031145	99.99	99.99	22.525486	0.027778	22.418	0.0526
140015280	VVDS-J135652.41+040556.2	209.218398	4.098971	9.9999	0	22.0923	-99.9	-99.9	99.99	99.99	23.733494	0.080685	22.738605	0.037411	22.0923	0.0474
140015365	VVDS-J135915.10+040600.3	209.812943	4.1000929	0.7073	3	22.4456	-99.9	-99.9	24.32451	0.0736	23.457581	0.079729	22.934057	0.038428	22.4456	0.0472
140015376	VVDS-J135832.78+040558.2	209.636614	4.0995217	0.9108	2	22.1212	-99.9	-99.9	99.99	99.99	99.99	99.99	22.854864	0.035679	22.1212	0.0534
140015520	VVDS-J135852.27+040559.3	209.717794	4.0998243	0.6199	3	21.2318	-99.9	-99.9	23.276712	0.046062	22.703962	0.045195	21.865781	0.021758	21.2318	0.0231
140015531	VVDS-J135727.24+040600.8	209.363522	4.1002228	0.8038	9	22.1837	-99.9	-99.9	23.933491	0.063166	23.56958	0.068168	23.365444	0.055743	22.1837	0.078
140015569	VVDS-J135836.01+040554.9	209.650055	4.0986099	0.2612	3	19.6663	-99.9	-99.9	21.529375	0.020165	20.407869	0.007844	20.027256	0.005554	19.6663	0.0096
140015674	VVDS-J135732.81+040602.6	209.386714	4.1007475	1.0042	9	22.1975	-99.9	-99.9	24.339741	0.100231	24.314545	0.100253	24.326191	0.091119	22.1975	0.0687
140015722	VVDS-J135843.29+040557.8	209.68039	4.0994142	0.4232	2	19.9672	-99.9	-99.9	22.006243	0.018931	99.99	99.99	20.840623	0.008968	19.9672	0.0112
140015779	VVDS-J135830.29+040558.8	209.626214	4.0996682	0.4137	4	20.1316	-99.9	-99.9	99.99	99.99	20.785715	0.01004	20.324186	0.008603	20.1316	0.0128
