# CeSAM : ASTROPHYSIC DATA CENTER IN MARSEILLE
# Head : C. Surace, Scientific head : V. Le Brun, Information system head : C. Moreau
# VVDS project 
# It these data have been of any use for your research, please include the following acknowledgment :
# This research uses data from the VIMOS VLT Deep Survey, obtained from the VVDS database operated by Cesam, Laboratoire d'Astrophysique de Marseille, France.
# and refer to the paper: 
# Le Fèvre et al., 2013, arXiv:1307.0545
# Search in F10_WIDE field AND MagI between -100 and 100 AND Spectroscopic Redshift > 0
# NUM 	ID-IAU 	ALPHA 	DELTA 	Z 	ZFLAGS 	MAGI 	MAG_U_CFH12K 	MAGERR_AUTO_U 	MAG_B_CFH12K 	MAGERR_AUTO_B 	MAG_V_CFH12K 	MAGERR_AUTO_V 	MAG_R_CFH12K 	MAGERR_AUTO_R 	MAG_I_CFH12K 	MAGERR_AUTO_I 	 
100018611	VVDS-J100442.44+010137.7	151.176849	1.0271579	0.5974	3	20.7934	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	20.7934	0.0145
100018619	VVDS-J100309.73+010142.9	150.790567	1.0285957	0.8474	4	22.3126	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.3126	0.0465
100018622	VVDS-J100645.70+010140.6	151.690444	1.0279695	0.1805	4	22.2172	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.2172	0.0353
100018641	VVDS-J100715.75+010140.8	151.815649	1.0280059	9.9999	0	21.8639	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.8639	0.0304
100018698	VVDS-J100303.66+010141.8	150.765265	1.02829	0.3799	4	21.1782	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.1782	0.0205
100018721	VVDS-J100333.36+010142.3	150.889033	1.0284338	1.0560	1	21.6991	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.6991	0.0381
100018799	VVDS-J100357.89+010144.1	150.991222	1.0289274	0.7805	1	22.222	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.222	0.0293
100018911	VVDS-J100615.59+010144.4	151.564959	1.0290225	9.9999	0	21.7318	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.7318	0.0168
100018991	VVDS-J100410.32+010146.8	151.043028	1.0296887	0.4322	2	22.2318	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.2318	0.029
100019001	VVDS-J100745.24+010137.7	151.938533	1.027151	0.6861	4	20.2535	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	20.2535	0.0122
100019028	VVDS-J100310.81+010146.8	150.795082	1.0296919	9.9999	20	22.4814	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.4814	0.0599
100019029	VVDS-J100311.00+010147.3	150.795852	1.0298285	0.2176	2	21.6108	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	21.6108	0.0275
100019065	VVDS-J100541.71+010143.2	151.423813	1.0286716	0.4931	3	20.8592	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	20.8592	0.0111
100019117	VVDS-J100511.12+010147.3	151.296354	1.0298299	0.5888	3	22.4136	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.4136	0.0359
100019193	VVDS-J100255.88+010150.1	150.732837	1.0306078	9.9999	0	22.3719	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	22.3719	0.0735
100019244	VVDS-J100459.08+010144.5	151.246189	1.0290494	0.1000	3	20.2354	-99.9	-99.9	99.99	99.99	99.99	99.99	99.99	99.99	20.2354	0.0089
