Z_SYS,DELTAV_SYS,WAVELENGTH,LINE_ID,z_ABS,SIGLEVEL,S/N,EQW,EQW_ERR,BVALUE,BVALUE_ERR,LOGN_lower_limit,LOGN,LOGN_ERR,FLAG_FIT,LCOD,NUM_SYS_LINES,NUM_METAL_LINES
0.305541,27,1239.89,Lyd 949,0.3055,10.5,21,74,9,41.9,7.3,0,14.88,0.06,0,0,5,0
0.305541,27,1224.25,Lye 937,0.305448,3.1,15,19,1,13.5,8.4,0,14.55,0.15,0,0,5,0
0.305837,38,1587.41,Lya 1215,0.30581,40.6,12,429,130,17.8,2.9,1,16.58,0.84,1,9,7,0
0.305837,38,1339.36,Lyb 1025,0.305776,45.5,19,283,32,23.8,2.8,1,15.41,0.17,0,9,7,0
0.305837,38,1269.93,Lyc 972,0.305788,32.6,18,210,10,23.9,1.5,1,15.39,0.04,0,4,7,0
0.305837,38,1240.16,Lyd 949,0.305786,27.6,20,154,7,22.4,1.5,0,15.44,0.03,0,2,7,0
0.305837,38,1224.58,Lye 937,0.305793,13.8,15,106,4,24.3,2.3,0,15.4,0.03,0,1,7,0
0.305837,38,1209.45,Ly7 926,0.305788,6.2,12,52,11,18,4.1,0,15.43,0.08,0,0,7,0
0.305837,38,1205.51,Ly8 923,0.305865,6.7,15,62,15,37.1,8.1,1,15.62,0.08,0,9,7,0
0.312053,31,1595,Lya 1215,0.312053,22.1,10,360,20,32.2,2.1,1,14.3,0.05,0,4,6,1
0.312053,31,1345.77,Lyb 1025,0.312022,16.5,19,119,10,33.3,2.5,0,14.32,0.04,0,0,6,1
0.312053,31,1276.04,Lyc 972,0.312073,6.6,19,40,11,24,7.4,0,14.28,0.1,0,0,6,1
0.312053,31,1246.14,Lyd 949,0.312092,3.9,23,22,14,32.2,14.2,0,14.33,0.2,0,0,6,1
0.312053,31,1230.42,Lye 937,0.312023,3.5,18,20,9,18.7,9.9,0,14.56,0.15,0,0,6,1
0.312053,31,1281.76,CIII 977,0.311908,8.2,17,72,10,42,6.1,0,13.1,0.04,0,0,6,1
0.346843,30,1637.29,Lya 1215,0.346843,7.8,12,117,11,40.4,6,0,13.4,0.05,0,0,2,0
0.346843,30,1381.44,Lyb 1025,0.346799,5.6,18,44,6,36.4,4.4,0,13.84,0.12,0,0,2,0
0.347576,34,1638.24,Lya 1215,0.347629,23,12,376,16,48,3,0,14.09,0.03,0,1,6,2
0.347576,34,1382.35,Lyb 1025,0.347655,13.2,19,149,13,79.8,10.1,0,14.36,0.04,0,0,6,2
0.347576,34,1310.55,Lyc 972,0.347561,3.3,16,23,10,23.2,5.1,0,14.04,0.26,0,0,6,2
0.347576,34,1279.86,Lyd 949,0.347586,3.7,19,23,6,27.5,4.4,0,14.39,0.18,0,0,6,2
0.347576,34,1390.6,OVI 1032,0.347567,21.5,18,155,9,30.2,2.3,0,14.27,0.03,0,1,6,2
0.347576,34,1398.27,OVI 1038,0.347579,11.1,16,87,10,28,3.2,0,14.23,0.04,1,0,6,2
0.347961,24,1638.63,Lya 1215,0.347949,31.2,12,430,38,34.2,3.2,1,14.52,0.1,0,7,22,6
0.347961,24,1382.56,Lyb 1025,0.347893,42.9,19,252,29,21.7,2.4,1,15.31,0.17,0,9,22,6
0.347961,24,1310.92,Lyc 972,0.347934,37.1,16,188,15,9.5,1,1,18,0.45,0,9,22,6
0.347961,24,1280.16,Lyd 949,0.347912,33.3,19,176,15,18.1,1.7,1,15.81,0.12,0,7,22,6
0.347961,24,1264.06,Lye 937,0.347894,28.3,18,158,9,18.3,1.2,1,15.89,0.06,0,4,22,6
0.347961,24,1254.54,Ly6 930,0.347894,32.6,20,174,7,21.5,1.1,1,16.09,0.04,1,3,22,6
0.347961,24,1248.46,Ly7 926,0.347901,28.6,22,123,7,15.9,1.2,1,16.09,0.05,0,3,22,6
0.347961,24,1244.32,Ly8 923,0.347906,24.1,21,108,6,15.7,1.3,0,16.13,0.04,0,2,22,6
0.347961,24,1241.38,Ly9 920,0.347915,21.1,21,94,6,15.4,1.4,0,16.15,0.03,0,2,22,6
0.347961,24,1239.2,Ly10 919,0.347918,18.1,22,81,6,17.8,1.9,0,16.13,0.03,0,1,22,6
0.347961,24,1237.54,Ly11 918,0.347915,13,19,70,6,19.7,2.3,0,16.13,0.04,0,0,22,6
0.347961,24,1236.27,Ly12 917,0.347914,10.5,20,47,6,13.8,2.7,0,16.06,0.05,0,0,22,6
0.347961,24,1235.26,Ly13 916,0.347911,7.5,19,35,6,13.6,3.7,0,16,0.06,0,0,22,6
0.347961,24,1234.46,Ly14 915,0.347925,7.8,17,44,6,16.5,3.3,0,16.19,0.06,0,0,22,6
0.347961,24,1233.78,Ly15 915,0.347907,4.7,17,22,6,9.8,5.1,0,15.98,0.09,0,0,22,6
0.347961,24,1233.23,Ly16 914,0.347908,3.6,17,21,4,17.8,7.7,0,15.99,0.1,0,0,22,6
0.347961,24,1390.92,OVI 1032,0.347878,14.7,19,82,7,19,2.5,0,13.96,0.04,0,0,22,6
0.347961,24,1398.59,OVI 1038,0.347877,6.6,16,33,6,8.4,3.1,0,13.85,0.07,0,0,22,6
0.347961,24,1316.95,CIII 977,0.347946,25.9,16,187,9,24.7,1.6,0,13.8,0.03,0,2,22,6
0.347961,24,1396.88,CII 1036,0.347903,6.2,15,31,7,6.4,3.1,0,13.6,0.09,0,1,22,6
0.347961,24,1626.31,SiIII 1206,0.347982,8.4,11,76,13,9.3,2.5,0,12.83,0.09,0,2,22,6
0.347961,24,1698.95,SiII 1260,0.347921,6.6,12,49,22,5.7,4.5,0,12.75,0.31,0,2,22,6
0.35094,30,1642.27,Lya 1215,0.35094,10.2,13,142,14,41.3,5,0,13.5,0.04,0,0,1,0
0.357282,30,1649.98,Lya 1215,0.357282,6.3,10,115,16,42.7,6.9,0,13.39,0.05,0,0,1,0
0.357973,30,1650.82,Lya 1215,0.357973,6.2,11,106,17,45.3,8.1,0,13.34,0.06,0,0,1,0
0.364536,29,1658.74,Lya 1215,0.364488,3.9,14,37,11,20.7,9.1,0,12.88,0.12,0,0,5,4
0.364536,29,1408.11,OVI 1032,0.364536,24.1,18,216,5,47.6,2,0,14.38,0.01,1,1,5,4
0.364536,29,1415.81,OVI 1038,0.364483,18,25,87,6,26.1,2.9,0,14.24,0.04,0,0,5,4
0.364536,29,1690.4,NV 1238,0.364515,5.3,12,69,23,30.4,7.6,0,13.57,0.12,0,0,5,4
0.364536,29,1695.76,NV 1242,0.364455,5.8,13,64,10,25,6.5,0,13.84,0.08,0,0,5,4
0.365126,37,1659.54,Lya 1215,0.365144,15.7,14,183,27,33.7,6,0,13.74,0.07,0,1,6,4
0.365126,37,1400.25,Lyb 1025,0.365132,3.9,17,27,4,25.5,7.3,0,13.65,0.14,0,0,6,4
0.365126,37,1408.67,OVI 1032,0.365085,28.6,18,196,6,27.6,1.4,0,14.47,0.02,1,2,6,4
0.365126,37,1691.15,NV 1238,0.365112,12.7,11,142,12,17.4,2,0,14.08,0.04,0,2,6,4
0.365126,37,1696.58,NV 1242,0.365107,9.9,12,98,38,15.7,2.5,0,14.14,0.05,0,1,6,4
0.365126,37,1333.75,CIII 977,0.36511,27,20,141,6,19.7,1.2,0,13.65,0.03,0,2,6,4
0.365706,44,1660.22,Lya 1215,0.365706,40.6,15,543,31,51,4,1,14.42,0.03,0,3,5,2
0.365706,44,1400.77,Lyb 1025,0.365633,15.8,16,139,10,36.4,2.6,0,14.4,0.03,1,0,5,2
