H	H+	C+	C+2	C+3	O+5	O+6	Si+	Si+2	Si+3
1.25892e+16	1.60216e+20	3.50200e+12	3.62946e+14	6.48883e+14	1.16115e+15	5.92882e+14	1.82083e+10	6.49976e+11	1.69126e+12
1.25892e+16	1.51990e+20	3.70214e+12	3.72300e+14	6.40829e+14	1.05225e+15	5.15164e+14	2.06740e+10	7.26809e+11	1.83248e+12
1.25892e+16	1.44193e+20	3.90901e+12	3.81388e+14	6.32048e+14	9.51947e+14	4.46900e+14	2.34279e+10	8.11391e+11	1.98244e+12
1.25892e+16	1.36801e+20	4.12255e+12	3.90175e+14	6.22559e+14	8.59773e+14	3.87064e+14	2.64974e+10	9.04336e+11	2.14135e+12
1.25892e+16	1.29794e+20	4.34250e+12	3.98623e+14	6.12387e+14	7.75251e+14	3.34710e+14	2.99111e+10	1.00627e+12	2.30939e+12
1.25892e+16	1.23151e+20	4.56866e+12	4.06696e+14	6.01556e+14	6.97907e+14	2.88989e+14	3.36990e+10	1.11783e+12	2.48669e+12
1.25892e+16	1.16854e+20	4.80087e+12	4.14359e+14	5.90096e+14	6.27283e+14	2.49126e+14	3.78937e+10	1.23970e+12	2.67332e+12
1.25892e+16	1.10884e+20	5.03870e+12	4.21573e+14	5.78035e+14	5.62923e+14	2.14426e+14	4.25279e+10	1.37255e+12	2.86932e+12
1.25892e+16	1.05225e+20	5.28195e+12	4.28309e+14	5.65408e+14	5.04391e+14	1.84286e+14	4.76368e+10	1.51706e+12	3.07464e+12
1.25892e+16	9.98591e+19	5.53014e+12	4.34529e+14	5.52249e+14	4.51260e+14	1.58142e+14	5.32558e+10	1.67392e+12	3.28920e+12
1.25892e+16	9.47722e+19	5.78286e+12	4.40203e+14	5.38600e+14	4.03124e+14	1.35509e+14	5.94219e+10	1.84382e+12	3.51282e+12
1.25892e+16	8.99497e+19	6.03979e+12	4.45309e+14	5.24510e+14	3.59596e+14	1.15944e+14	6.61729e+10	2.02743e+12	3.74525e+12
1.25892e+16	8.53756e+19	6.29992e+12	4.49805e+14	5.10020e+14	3.20303e+14	9.90590e+13	7.35439e+10	2.22536e+12	3.98624e+12
1.25892e+16	8.10389e+19	6.56353e+12	4.53682e+14	4.95162e+14	2.84896e+14	8.45161e+13	8.15787e+10	2.43828e+12	4.23513e+12
