H	H+	C+	C+2	C+3	O+5	O+6	Si+	Si+2	Si+3
1.17489e+16	1.49150e+20	3.24686e+12	3.35274e+14	6.00509e+14	1.08344e+15	5.54500e+14	1.69490e+10	6.04455e+11	1.56950e+12
1.17489e+16	1.41494e+20	3.43295e+12	3.43977e+14	5.93163e+14	9.81942e+14	4.81820e+14	1.92456e+10	6.75962e+11	1.70069e+12
1.17489e+16	1.34236e+20	3.62534e+12	3.52439e+14	5.85143e+14	8.88447e+14	4.17968e+14	2.18107e+10	7.54688e+11	1.84002e+12
1.17489e+16	1.27355e+20	3.82401e+12	3.60629e+14	5.76470e+14	8.02515e+14	3.62005e+14	2.46702e+10	8.41208e+11	1.98768e+12
1.17489e+16	1.20833e+20	4.02869e+12	3.68508e+14	5.67159e+14	7.23699e+14	3.13039e+14	2.78504e+10	9.36097e+11	2.14383e+12
1.17489e+16	1.14649e+20	4.23923e+12	3.76045e+14	5.57237e+14	6.51569e+14	2.70274e+14	3.13798e+10	1.03997e+12	2.30861e+12
1.17489e+16	1.08787e+20	4.45535e+12	3.83204e+14	5.46727e+14	5.85695e+14	2.32980e+14	3.52879e+10	1.15344e+12	2.48209e+12
1.17489e+16	1.03229e+20	4.67681e+12	3.89953e+14	5.35657e+14	5.25655e+14	2.00525e+14	3.96060e+10	1.27714e+12	2.66430e+12
1.17489e+16	9.79601e+19	4.90331e+12	3.96260e+14	5.24059e+14	4.71043e+14	1.72331e+14	4.43664e+10	1.41171e+12	2.85520e+12
1.17489e+16	9.29651e+19	5.13466e+12	4.02104e+14	5.11979e+14	4.21465e+14	1.47877e+14	4.96028e+10	1.55780e+12	3.05470e+12
1.17489e+16	8.82298e+19	5.37038e+12	4.07449e+14	4.99439e+14	3.76542e+14	1.26707e+14	5.53498e+10	1.71605e+12	3.26263e+12
1.17489e+16	8.37399e+19	5.60992e+12	4.12262e+14	4.86477e+14	3.35913e+14	1.08409e+14	6.16416e+10	1.88707e+12	3.47880e+12
