# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 O+5 O+6 Si+ Si+2 Si+3 log_nH log_Te parameters
1.17489e+16 2.27637e+20 1992830000000.0 260882000000000.0 633802000000000.0 2231380000000000.0 1608530000000000.0 5720350000.0 233259000000.0 782641000000.0 -4.38 4.477 [-4.38]
1.17489e+16 2.15894e+20 2126830000000.0 270362000000000.0 632173000000000.0 2052150000000000.0 1416340000000000.0 6596560000.0 264204000000.0 858156000000.0 -4.36 4.473 [-4.36]
1.17489e+16 2.04762e+20 2267180000000.0 279845000000000.0 629816000000000.0 1883600000000000.0 1244940000000000.0 7592300000.0 298782000000.0 939597000000.0 -4.34 4.469 [-4.34]
1.17489e+16 1.94213e+20 2414090000000.0 289310000000000.0 626732000000000.0 1725590000000000.0 1092440000000000.0 8721640000.0 337353000000.0 1027260000000.0 -4.32 4.466 [-4.32]
1.17489e+16 1.84212e+20 2567500000000.0 298722000000000.0 622920000000000.0 1577890000000000.0 957030000000000.0 9999590000.0 380300000000.0 1121450000000.0 -4.3 4.462 [-4.3]
1.17489e+16 1.74732e+20 2727520000000.0 308057000000000.0 618387000000000.0 1440200000000000.0 837021000000000.0 11442800000.0 428034000000.0 1222490000000.0 -4.28 4.458 [-4.28]
1.17489e+16 1.65745e+20 2894050000000.0 317279000000000.0 613133000000000.0 1312160000000000.0 730858000000000.0 13069000000.0 480991000000.0 1330660000000.0 -4.26 4.454 [-4.26]
1.17489e+16 1.57226e+20 3067170000000.0 326362000000000.0 607171000000000.0 1193370000000000.0 637111000000000.0 14897500000.0 539637000000.0 1446260000000.0 -4.24 4.451 [-4.24]
1.17489e+16 1.4915e+20 3246860000000.0 335274000000000.0 600509000000000.0 1083440000000000.0 554500000000000.0 16949000000.0 604455000000.0 1569500000000.0 -4.22 4.447 [-4.22]
1.17489e+16 1.41494e+20 3432950000000.0 343977000000000.0 593163000000000.0 981942000000000.0 481820000000000.0 19245600000.0 675962000000.0 1700690000000.0 -4.2 4.444 [-4.2]
1.17489e+16 1.34236e+20 3625340000000.0 352439000000000.0 585143000000000.0 888447000000000.0 417968000000000.0 21810700000.0 754688000000.0 1840020000000.0 -4.18 4.44 [-4.18]
1.17489e+16 1.27355e+20 3824010000000.0 360629000000000.0 576470000000000.0 802515000000000.0 362005000000000.0 24670200000.0 841208000000.0 1987680000000.0 -4.16 4.436 [-4.16]
1.17489e+16 1.20833e+20 4028690000000.0 368508000000000.0 567159000000000.0 723699000000000.0 313039000000000.0 27850400000.0 936097000000.0 2143830000000.0 -4.14 4.433 [-4.14]
1.17489e+16 1.14649e+20 4239230000000.0 376045000000000.0 557237000000000.0 651569000000000.0 270274000000000.0 31379800000.0 1039970000000.0 2308610000000.0 -4.12 4.429 [-4.12]
1.17489e+16 1.08787e+20 4455350000000.0 383204000000000.0 546727000000000.0 585695000000000.0 232980000000000.0 35287900000.0 1153440000000.0 2482090000000.0 -4.1 4.426 [-4.1]
1.17489e+16 1.03229e+20 4676810000000.0 389953000000000.0 535657000000000.0 525655000000000.0 200525000000000.0 39606000000.0 1277140000000.0 2664300000000.0 -4.08 4.422 [-4.08]
1.17489e+16 9.79601e+19 4903310000000.0 396260000000000.0 524059000000000.0 471043000000000.0 172331000000000.0 44366400000.0 1411710000000.0 2855200000000.0 -4.06 4.419 [-4.06]
1.17489e+16 9.29651e+19 5134660000000.0 402104000000000.0 511979000000000.0 421465000000000.0 147877000000000.0 49602800000.0 1557800000000.0 3054700000000.0 -4.04 4.415 [-4.04]
1.17489e+16 8.82298e+19 5370380000000.0 407449000000000.0 499439000000000.0 376542000000000.0 126707000000000.0 55349800000.0 1716050000000.0 3262630000000.0 -4.02 4.412 [-4.02]
1.17489e+16 8.37399e+19 5609920000000.0 412262000000000.0 486477000000000.0 335913000000000.0 108409000000000.0 61641600000.0 1887070000000.0 3478800000000.0 -4.0 4.408 [-4.0]
1.17489e+16 7.94814e+19 5852440000000.0 416507000000000.0 473133000000000.0 299232000000000.0 92617300000000.0 68512100000.0 2071450000000.0 3702970000000.0 -3.98 4.405 [-3.98]
1.17489e+16 7.5444e+19 6098260000000.0 420182000000000.0 459444000000000.0 266175000000000.0 79018500000000.0 76001000000.0 2269800000000.0 3934530000000.0 -3.96 4.402 [-3.96]
1.17489e+16 7.16161e+19 6346640000000.0 423264000000000.0 445462000000000.0 236440000000000.0 67326700000000.0 84142900000.0 2482660000000.0 4173060000000.0 -3.94 4.398 [-3.94]
1.17489e+16 6.79865e+19 6596850000000.0 425732000000000.0 431231000000000.0 209737000000000.0 57288700000000.0 92971800000.0 2710520000000.0 4418070000000.0 -3.92 4.395 [-3.92]
1.17489e+16 6.45445e+19 6848370000000.0 427577000000000.0 416806000000000.0 185798000000000.0 48683400000000.0 102520000000.0 2953780000000.0 4668860000000.0 -3.9 4.392 [-3.9]
1.17489e+16 6.12805e+19 7100730000000.0 428788000000000.0 402225000000000.0 164370000000000.0 41317200000000.0 112823000000.0 3212820000000.0 4924580000000.0 -3.88 4.389 [-3.88]
1.17489e+16 5.8185e+19 7353110000000.0 429354000000000.0 387535000000000.0 145222000000000.0 35020600000000.0 123908000000.0 3487870000000.0 5184400000000.0 -3.86 4.385 [-3.86]
1.17489e+16 5.52492e+19 7605050000000.0 429275000000000.0 372783000000000.0 128138000000000.0 29648700000000.0 135805000000.0 3779090000000.0 5447240000000.0 -3.84 4.382 [-3.84]
1.17489e+16 5.24645e+19 7855810000000.0 428552000000000.0 358021000000000.0 112918000000000.0 25071700000000.0 148533000000.0 4086460000000.0 5712020000000.0 -3.82 4.379 [-3.82]
1.17489e+16 4.98229e+19 8104760000000.0 427188000000000.0 343290000000000.0 99379400000000.0 21177100000000.0 162112000000.0 4409860000000.0 5977500000000.0 -3.8 4.376 [-3.8]
1.17489e+16 4.73164e+19 8350950000000.0 425183000000000.0 328635000000000.0 87353100000000.0 17866800000000.0 176553000000.0 4748940000000.0 6242420000000.0 -3.78 4.373 [-3.78]
1.17489e+16 4.49385e+19 8594080000000.0 422560000000000.0 314102000000000.0 76686300000000.0 15056800000000.0 191866000000.0 5103260000000.0 6505230000000.0 -3.76 4.369 [-3.76]
1.1749e+16 4.26819e+19 8833140000000.0 419324000000000.0 299729000000000.0 67238000000000.0 12674000000000.0 208045000000.0 5472070000000.0 6764510000000.0 -3.74 4.366 [-3.74]
1.17489e+16 4.05402e+19 9067630000000.0 415499000000000.0 285558000000000.0 58880700000000.0 10655900000000.0 225083000000.0 5854480000000.0 7018570000000.0 -3.72 4.363 [-3.72]
1.17489e+16 3.85075e+19 9296920000000.0 411103000000000.0 271623000000000.0 51498600000000.0 8948770000000.0 242962000000.0 6249340000000.0 7265710000000.0 -3.7 4.36 [-3.7]
1.17489e+16 3.6578e+19 9520350000000.0 406163000000000.0 257961000000000.0 44986500000000.0 7506250000000.0 261654000000.0 6655240000000.0 7504200000000.0 -3.68 4.357 [-3.68]
1.17489e+16 3.47463e+19 9737440000000.0 400705000000000.0 244601000000000.0 39249300000000.0 6288770000000.0 281120000000.0 7070570000000.0 7732180000000.0 -3.66 4.354 [-3.66]
1.1749e+16 3.30078e+19 9948020000000.0 394768000000000.0 231573000000000.0 34202100000000.0 5262600000000.0 301321000000.0 7493560000000.0 7947740000000.0 -3.64 4.351 [-3.64]
1.17489e+16 3.13563e+19 10150500000000.0 388361000000000.0 218899000000000.0 29766300000000.0 4398270000000.0 322175000000.0 7921720000000.0 8149330000000.0 -3.62 4.348 [-3.62]
1.1749e+16 2.97882e+19 10345100000000.0 381528000000000.0 206602000000000.0 25873600000000.0 3671320000000.0 343622000000.0 8352860000000.0 8334970000000.0 -3.6 4.345 [-3.6]
1.1749e+16 2.82989e+19 10531400000000.0 374305000000000.0 194700000000000.0 22461700000000.0 3060630000000.0 365579000000.0 8784340000000.0 8502920000000.0 -3.58 4.342 [-3.58]
1.1749e+16 2.68844e+19 10708900000000.0 366726000000000.0 183210000000000.0 19474900000000.0 2548200000000.0 387949000000.0 9213290000000.0 8651540000000.0 -3.56 4.339 [-3.56]
1.1749e+16 2.55408e+19 10877500000000.0 358831000000000.0 172144000000000.0 16863800000000.0 2118770000000.0 410635000000.0 9636800000000.0 8779230000000.0 -3.54 4.336 [-3.54]
1.1749e+16 2.42646e+19 11037000000000.0 350658000000000.0 161511000000000.0 14583800000000.0 1759330000000.0 433522000000.0 10051700000000.0 8884620000000.0 -3.52 4.332 [-3.52]
1.1749e+16 2.30522e+19 11187200000000.0 342239000000000.0 151317000000000.0 12595500000000.0 1458850000000.0 456492000000.0 10454800000000.0 8966460000000.0 -3.5 4.329 [-3.5]
1.1749e+16 2.19004e+19 11327800000000.0 333610000000000.0 141564000000000.0 10863900000000.0 1207990000000.0 479422000000.0 10842900000000.0 9023760000000.0 -3.48 4.326 [-3.48]
