# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 O+5 O+6 Si+ Si+2 Si+3 log_nH parameters
158489000000000.0 2.03454e+18 68986000000.0 13473000000000.0 41298200000000.0 125412000000000.0 66228100000000.0 325132000.0 18485600000.0 98386100000.0 -4.34 [-4.34]
158489000000000.0 1.92698e+18 73368100000.0 13866700000000.0 41074400000000.0 114573000000000.0 57647200000000.0 369449000.0 20675100000.0 107614000000.0 -4.32 [-4.32]
158489000000000.0 1.8252e+18 78005400000.0 14258900000000.0 40807600000000.0 104436000000000.0 50077300000000.0 419172000.0 23086000000.0 117513000000.0 -4.3 [-4.3]
158489000000000.0 1.72887e+18 82908200000.0 14648700000000.0 40497800000000.0 94985900000000.0 43414200000000.0 474865000.0 25735300000.0 128114000000.0 -4.28 [-4.28]
158489000000000.0 1.63758e+18 88077400000.0 15034100000000.0 40144800000000.0 86195200000000.0 37558000000000.0 537086000.0 28640000000.0 139455000000.0 -4.26 [-4.26]
158489000000000.0 1.55123e+18 93536100000.0 15415100000000.0 39749500000000.0 78053800000000.0 32431800000000.0 606531000.0 31818100000.0 151540000000.0 -4.24 [-4.24]
158489000000000.0 1.46951e+18 99306400000.0 15791500000000.0 39312100000000.0 70529800000000.0 27951900000000.0 684035000.0 35292300000.0 164393000000.0 -4.22 [-4.22]
158489000000000.0 1.39219e+18 105400000000.0 16162100000000.0 38833000000000.0 63598300000000.0 24046600000000.0 770393000.0 39082200000.0 178026000000.0 -4.2 [-4.2]
158489000000000.0 1.31903e+18 111832000000.0 16526100000000.0 38313000000000.0 57230800000000.0 20650000000000.0 866504000.0 43208800000.0 192453000000.0 -4.18 [-4.18]
158489000000000.0 1.2498e+18 118617000000.0 16882500000000.0 37752900000000.0 51397700000000.0 17702300000000.0 973341000.0 47694100000.0 207680000000.0 -4.16 [-4.16]
158489000000000.0 1.18431e+18 125770000000.0 17230200000000.0 37153500000000.0 46068900000000.0 15149900000000.0 1091980000.0 52560600000.0 223709000000.0 -4.14 [-4.14]
158489000000000.0 1.12234e+18 133304000000.0 17568300000000.0 36516100000000.0 41213500000000.0 12944300000000.0 1223580000.0 57831200000.0 240536000000.0 -4.12 [-4.12]
158489000000000.0 1.06371e+18 141231000000.0 17895500000000.0 35841700000000.0 36801000000000.0 11042300000000.0 1369370000.0 63528900000.0 258154000000.0 -4.1 [-4.1]
158489000000000.0 1.00823e+18 149565000000.0 18210900000000.0 35131900000000.0 32801100000000.0 9405320000000.0 1530730000.0 69677200000.0 276548000000.0 -4.08 [-4.08]
158489000000000.0 9.55745e+17 158314000000.0 18513000000000.0 34388100000000.0 29184100000000.0 7999170000000.0 1709110000.0 76299400000.0 295694000000.0 -4.06 [-4.06]
158489000000000.0 9.06081e+17 167486000000.0 18800500000000.0 33612300000000.0 25921100000000.0 6793490000000.0 1906080000.0 83418700000.0 315564000000.0 -4.04 [-4.04]
158489000000000.0 8.59087e+17 177093000000.0 19072700000000.0 32805900000000.0 22984300000000.0 5761570000000.0 2123350000.0 91058500000.0 336122000000.0 -4.02 [-4.02]
158489000000000.0 8.14617e+17 187139000000.0 19328100000000.0 31971300000000.0 20347000000000.0 4879880000000.0 2362720000.0 99240900000.0 357323000000.0 -4.0 [-4.0]
