# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH parameters
22908700000000.0 7.19293e+16 534898000000.0 43350900000000.0 58534200000000.0 42797400000.0 7509140000000.0 15112500000000.0 22644400.0 22842300000000.0 45254200000000.0 7434020000000.0 94689600.0 3442560000.0 122526000000.0 1107530000000.0 8823820000000.0 -4.6 [-4.6]
22908600000000.0 6.08174e+16 651781000000.0 44610600000000.0 50814800000000.0 46920500000.0 7109800000000.0 12664500000000.0 31030800.0 22562000000000.0 31019100000000.0 4454380000000.0 135941000.0 5152050000.0 145546000000.0 1238560000000.0 8314250000000.0 -4.58 [-4.58]
22908700000000.0 5.20118e+16 763841000000.0 44710300000000.0 43945600000000.0 50903200000.0 6681110000000.0 10674200000000.0 42375500.0 22604000000000.0 21086100000000.0 2682850000000.0 190739000.0 7398880000.0 167355000000.0 1350750000000.0 7722130000000.0 -4.56 [-4.56]
22908600000000.0 4.53959e+16 857201000000.0 44009600000000.0 38370100000000.0 54921500000.0 6319740000000.0 9081350000000.0 56461100.0 22899700000000.0 14765800000000.0 1694250000000.0 254307000.0 10054900000.0 187230000000.0 1436670000000.0 7139620000000.0 -4.54 [-4.54]
22908700000000.0 4.03089e+16 931805000000.0 42883200000000.0 33862400000000.0 59082600000.0 6032430000000.0 7780700000000.0 73228500.0 23289800000000.0 10697100000000.0 1122270000000.0 323530000.0 13080900000.0 205634000000.0 1500530000000.0 6597250000000.0 -4.52 [-4.52]
22908700000000.0 3.62232e+16 991508000000.0 41532500000000.0 30120400000000.0 63421600000.0 5798000000000.0 6694020000000.0 92932400.0 23679800000000.0 7954450000000.0 770158000000.0 397495000.0 16508300000.0 223023000000.0 1547760000000.0 6094830000000.0 -4.5 [-4.5]
22908700000000.0 3.28285e+16 1039430000000.0 40061200000000.0 26943500000000.0 67939000000.0 5599020000000.0 5773830000000.0 115933000.0 24026100000000.0 6030840000000.0 542359000000.0 475817000.0 20377300000.0 239594000000.0 1581930000000.0 5628130000000.0 -4.48 [-4.48]
22908700000000.0 2.99372e+16 1077830000000.0 38527200000000.0 24200700000000.0 72627200000.0 5423730000000.0 4988280000000.0 142664000.0 24309800000000.0 4639590000000.0 389355000000.0 558213000.0 24727800000.0 255408000000.0 1605350000000.0 5193110000000.0 -4.46 [-4.46]
22908700000000.0 2.74335e+16 1108350000000.0 36969800000000.0 21807300000000.0 77474800000.0 5265000000000.0 4315090000000.0 173574000.0 24523900000000.0 3611100000000.0 283804000000.0 644262000.0 29589800000.0 270456000000.0 1619590000000.0 4787360000000.0 -4.44 [-4.44]
22908700000000.0 2.5237e+16 1132270000000.0 35414100000000.0 19700900000000.0 82469400000.0 5117780000000.0 3736410000000.0 209175000.0 24667300000000.0 2837050000000.0 209400000000.0 733515000.0 34991700000.0 284700000000.0 1625830000000.0 4408580000000.0 -4.42 [-4.42]
