# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
933253000000000.0 1.41818e+19 207297000000.0 20171700000000.0 40764300000000.0 16973800000.0 3636920000000.0 22090300000000.0 2041190.0 10208500000000.0 130121000000000.0 93251400000000.0 35321500.0 630895000.0 23051300000.0 64697800000.0 2798090000000.0 -4.62 4.481 [-4.62]
933253000000000.0 1.34492e+19 220689000000.0 20869200000000.0 40607400000000.0 18165100000.0 3782810000000.0 21157700000000.0 2275600.0 10653900000000.0 119409000000000.0 81734100000000.0 40387400.0 725073000.0 26065800000.0 70865200000.0 2902570000000.0 -4.6 4.477 [-4.6]
933254000000000.0 1.27549e+19 234670000000.0 21563800000000.0 40402700000000.0 19410600000.0 3927990000000.0 20223900000000.0 2536720.0 11102700000000.0 109365000000000.0 71511400000000.0 46096600.0 831690000.0 29427500000.0 77506700000.0 3006210000000.0 -4.58 4.473 [-4.58]
933253000000000.0 1.2097e+19 249232000000.0 22253200000000.0 40150300000000.0 20709400000.0 4071840000000.0 19292700000000.0 2827560.0 11553800000000.0 99974100000000.0 62459100000000.0 52514900.0 952084000.0 33168700000.0 84644500000.0 3108570000000.0 -4.56 4.469 [-4.56]
933253000000000.0 1.14733e+19 264401000000.0 22935800000000.0 39850000000000.0 22063700000.0 4213990000000.0 18366800000000.0 3152190.0 12007000000000.0 91212100000000.0 54455300000000.0 59726800.0 1087880000.0 37327400000.0 92304400000.0 3209290000000.0 -4.54 4.465 [-4.54]
933254000000000.0 1.08822e+19 280144000000.0 23608400000000.0 39502300000000.0 23470300000.0 4353690000000.0 17450200000000.0 3514170.0 12460600000000.0 83064300000000.0 47397600000000.0 67803200.0 1240550000.0 41938300000.0 100506000000.0 3307870000000.0 -4.52 4.461 [-4.52]
933253000000000.0 1.03219e+19 296466000000.0 24268800000000.0 39107600000000.0 24929700000.0 4490460000000.0 16545900000000.0 3918290.0 12914000000000.0 75504900000000.0 41185700000000.0 76834600.0 1411890000.0 47042100000.0 109271000000.0 3403860000000.0 -4.5 4.458 [-4.5]
933253000000000.0 9.79087e+18 313354000000.0 24914300000000.0 38666300000000.0 26441100000.0 4623770000000.0 15656700000000.0 4369730.0 13366200000000.0 68509100000000.0 35729100000000.0 86913300.0 1603740000.0 52680600000.0 118621000000.0 3496810000000.0 -4.48 4.454 [-4.48]
933253000000000.0 9.28745e+18 330795000000.0 25542500000000.0 38179200000000.0 28003800000.0 4753100000000.0 14785600000000.0 4874380.0 13816300000000.0 62050800000000.0 30945400000000.0 98138400.0 1818090000.0 58897400000.0 128572000000.0 3586240000000.0 -4.46 4.45 [-4.46]
933253000000000.0 8.81025e+18 348774000000.0 26150400000000.0 37647100000000.0 29616800000.0 4877960000000.0 13934900000000.0 5438880.0 14263500000000.0 56102800000000.0 26759900000000.0 110615000.0 2057020000.0 65738200000.0 139141000000.0 3671670000000.0 -4.44 4.446 [-4.44]
