# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH parameters
33113100000000.0 1.07967e+17 737424000000.0 62112900000000.0 87207100000000.0 60298400000.0 10947200000000.0 22755700000000.0 30449600.0 33133600000000.0 70696300000000.0 11957300000000.0 126366000.0 4544100000.0 169870000000.0 1560570000000.0 12903600000000.0 -4.6 [-4.6]
33113000000000.0 9.13006e+16 903203000000.0 64297800000000.0 75981800000000.0 66296600000.0 10407800000000.0 19075000000000.0 41604400.0 32666600000000.0 48891600000000.0 7220890000000.0 181162000.0 6822860000.0 203040000000.0 1752350000000.0 12213100000000.0 -4.58 [-4.58]
33113100000000.0 7.77938e+16 1068790000000.0 64779900000000.0 65671700000000.0 72059500000.0 9781670000000.0 16049600000000.0 57000600.0 32630100000000.0 33154000000000.0 4322940000000.0 256411000.0 9910200000.0 235097000000.0 1922350000000.0 11368900000000.0 -4.56 [-4.56]
33113100000000.0 6.76218e+16 1209500000000.0 63968500000000.0 57220100000000.0 77820600000.0 9237090000000.0 13632300000000.0 76382400.0 33005900000000.0 23056700000000.0 2702010000000.0 345637000.0 13614600000.0 264348000000.0 2054500000000.0 10518400000000.0 -4.54 [-4.54]
33113100000000.0 5.98513e+16 1322500000000.0 62444300000000.0 50398300000000.0 83769900000.0 8801920000000.0 11665900000000.0 99616100.0 33559800000000.0 16592700000000.0 1773440000000.0 443762000.0 17858300000.0 291338000000.0 2153190000000.0 9720530000000.0 -4.52 [-4.52]
33113100000000.0 5.36714e+16 1412790000000.0 60551000000000.0 44772600000000.0 89969500000.0 8450520000000.0 10031000000000.0 126944000.0 34134100000000.0 12281900000000.0 1209480000000.0 548798000.0 22663800000.0 316749000000.0 2226280000000.0 8982320000000.0 -4.5 [-4.5]
33113100000000.0 4.85677e+16 1485300000000.0 58456900000000.0 40014500000000.0 96427500000.0 8154680000000.0 8649410000000.0 158881000.0 34654000000000.0 9279870000000.0 847841000000.0 660234000.0 28093600000.0 340949000000.0 2279600000000.0 8296770000000.0 -4.48 [-4.48]
33113100000000.0 4.42389e+16 1543480000000.0 56255600000000.0 35917100000000.0 103136000000.0 7895790000000.0 7471150000000.0 196043000.0 35087400000000.0 7120070000000.0 606513000000.0 777685000.0 34207400000.0 364055000000.0 2316780000000.0 7657830000000.0 -4.46 [-4.46]
33113100000000.0 4.04976e+16 1589850000000.0 54006000000000.0 32344600000000.0 110082000000.0 7662070000000.0 6461010000000.0 239109000.0 35421500000000.0 5528190000000.0 440684000000.0 900681000.0 41057900000.0 386076000000.0 2340270000000.0 7061090000000.0 -4.44 [-4.44]
33113100000000.0 3.72274e+16 1626370000000.0 51754800000000.0 29208400000000.0 117244000000.0 7446850000000.0 5593930000000.0 288714000.0 35652700000000.0 4335630000000.0 324413000000.0 1028380000.0 48672400000.0 406948000000.0 2351830000000.0 6504650000000.0 -4.42 [-4.42]
33113100000000.0 3.43399e+16 1654690000000.0 49531500000000.0 26436900000000.0 124600000000.0 7245020000000.0 4848190000000.0 345588000.0 35783100000000.0 3429120000000.0 241435000000.0 1160010000.0 57079300000.0 426614000000.0 2352890000000.0 5986010000000.0 -4.4 [-4.4]
33113100000000.0 3.17625e+16 1676020000000.0 47347200000000.0 23969300000000.0 132142000000.0 7051680000000.0 4204260000000.0 410722000.0 35817600000000.0 2729800000000.0 181191000000.0 1295010000.0 66327600000.0 445010000000.0 2344540000000.0 5501470000000.0 -4.38 [-4.38]
33113100000000.0 2.94456e+16 1691380000000.0 45214100000000.0 21762200000000.0 139856000000.0 6864150000000.0 3647330000000.0 485115000.0 35761300000000.0 2184840000000.0 136926000000.0 1432500000.0 76446200000.0 462058000000.0 2327690000000.0 5048960000000.0 -4.36 [-4.36]
33113100000000.0 2.73544e+16 1701730000000.0 43145500000000.0 19783400000000.0 147719000000.0 6681130000000.0 3165660000000.0 569720000.0 35620100000000.0 1757230000000.0 104124000000.0 1571420000.0 87439700000.0 477687000000.0 2303180000000.0 4627320000000.0 -4.34 [-4.34]
33113100000000.0 2.54551e+16 1707710000000.0 41142900000000.0 18001800000000.0 155720000000.0 6500700000000.0 2748120000000.0 665817000.0 35399700000000.0 1418770000000.0 79570700000.0 1710910000.0 99335900000.0 491822000000.0 2271660000000.0 4234240000000.0 -4.32 [-4.32]
33113100000000.0 2.37262e+16 1710140000000.0 39214900000000.0 16395300000000.0 163825000000.0 6322630000000.0 2386380000000.0 774521000.0 35106000000000.0 1149690000000.0 61091400000.0 1849890000.0 112118000000.0 504422000000.0 2233870000000.0 3868840000000.0 -4.3 [-4.3]
33113100000000.0 2.2146e+16 1709560000000.0 37362000000000.0 14942700000000.0 171968000000.0 6146070000000.0 2072620000000.0 897278000.0 34744200000000.0 934494000000.0 47086500000.0 1987430000.0 125783000000.0 515427000000.0 2190410000000.0 3529400000000.0 -4.28 [-4.28]
33113100000000.0 2.06986e+16 1706490000000.0 35586300000000.0 13627400000000.0 180178000000.0 5970820000000.0 1800500000000.0 1035360000.0 34320000000000.0 761710000000.0 36421900000.0 2122540000.0 140300000000.0 524794000000.0 2141890000000.0 3214750000000.0 -4.26 [-4.26]
33113100000000.0 1.93687e+16 1701360000000.0 33887100000000.0 12433900000000.0 188438000000.0 5796590000000.0 1564310000000.0 1190320000.0 33839000000000.0 622354000000.0 28258600000.0 2254380000.0 155646000000.0 532501000000.0 2088860000000.0 2923410000000.0 -4.24 [-4.24]
33113100000000.0 1.81432e+16 1694440000000.0 32261400000000.0 11348900000000.0 196733000000.0 5623080000000.0 1359140000000.0 1363890000.0 33305000000000.0 509487000000.0 21979900000.0 2382110000.0 171782000000.0 538487000000.0 2031830000000.0 2653890000000.0 -4.22 [-4.22]
33113100000000.0 1.70117e+16 1686080000000.0 30708300000000.0 10361300000000.0 205045000000.0 5450400000000.0 1180890000000.0 1557820000.0 32723200000000.0 417802000000.0 17133900000.0 2505000000.0 188655000000.0 542746000000.0 1971320000000.0 2405020000000.0 -4.2 [-4.2]
33113100000000.0 1.59651e+16 1676540000000.0 29225800000000.0 9461210000000.0 213358000000.0 5278680000000.0 1026000000000.0 1773990000.0 32098100000000.0 343120000000.0 13381900000.0 2622370000.0 206198000000.0 545266000000.0 1907820000000.0 2175590000000.0 -4.18 [-4.18]
33113100000000.0 1.49948e+16 1665980000000.0 27810600000000.0 8639910000000.0 221660000000.0 5107910000000.0 891335000000.0 2014550000.0 31433600000000.0 282105000000.0 10467100000.0 2733620000.0 224342000000.0 546031000000.0 1841780000000.0 1964340000000.0 -4.16 [-4.16]
33113100000000.0 1.40932e+16 1654520000000.0 26459400000000.0 7889620000000.0 229939000000.0 4938190000000.0 774194000000.0 2281770000.0 30733500000000.0 232134000000.0 8196580000.0 2838210000.0 243006000000.0 545042000000.0 1773620000000.0 1770090000000.0 -4.14 [-4.14]
33113100000000.0 1.32542e+16 1642300000000.0 25169500000000.0 7203590000000.0 238183000000.0 4769690000000.0 672277000000.0 2578110000.0 30001200000000.0 191126000000.0 6423940000.0 2935720000.0 262096000000.0 542309000000.0 1703760000000.0 1591780000000.0 -4.12 [-4.12]
33113100000000.0 1.24727e+16 1629470000000.0 23939200000000.0 6576230000000.0 246376000000.0 4602740000000.0 583657000000.0 2905950000.0 29241200000000.0 157441000000.0 5038450000.0 3025760000.0 281491000000.0 537869000000.0 1632660000000.0 1428490000000.0 -4.1 [-4.1]
33113100000000.0 1.17435e+16 1616090000000.0 22765100000000.0 6002060000000.0 254510000000.0 4437470000000.0 506566000000.0 3268100000.0 28456400000000.0 129723000000.0 3953480000.0 3108040000.0 301079000000.0 531754000000.0 1560690000000.0 1279190000000.0 -4.08 [-4.08]
33113100000000.0 1.10619e+16 1602190000000.0 21644300000000.0 5476230000000.0 262577000000.0 4274000000000.0 439485000000.0 3667630000.0 27649900000000.0 106881000000.0 3102510000.0 3182330000.0 320741000000.0 524006000000.0 1488210000000.0 1142900000000.0 -4.06 [-4.06]
33113100000000.0 1.0424e+16 1587800000000.0 20574000000000.0 4994570000000.0 270566000000.0 4112510000000.0 381120000000.0 4107740000.0 26824700000000.0 88041000000.0 2434460000.0 3248420000.0 340345000000.0 514683000000.0 1415580000000.0 1018750000000.0 -4.04 [-4.04]
33113100000000.0 9826610000000000.0 1573000000000.0 19552600000000.0 4553330000000.0 278466000000.0 3953290000000.0 330362000000.0 4591520000.0 25984400000000.0 72498700000.0 1909890000.0 3306280000.0 359739000000.0 503875000000.0 1343170000000.0 905947000000.0 -4.02 [-4.02]
33113100000000.0 9267960000000000.0 1558110000000.0 18581300000000.0 4148820000000.0 286272000000.0 3797050000000.0 286217000000.0 5122930000.0 25140200000000.0 59674100000.0 1498000000.0 3356250000.0 378868000000.0 491875000000.0 1271930000000.0 803268000000.0 -4.0 [-4.0]
33113100000000.0 8743220000000000.0 1542920000000.0 17653500000000.0 3777470000000.0 293982000000.0 3643280000000.0 247776000000.0 5706190000.0 24286900000000.0 49070900000.0 1173870000.0 3398200000.0 397550000000.0 478598000000.0 1201520000000.0 710160000000.0 -3.98 [-3.98]
33113100000000.0 8250640000000000.0 1527460000000.0 16768400000000.0 3437350000000.0 301572000000.0 3492360000000.0 214389000000.0 6344170000.0 23426700000000.0 40322500000.0 919316000.0 3432080000.0 415569000000.0 464128000000.0 1132200000000.0 626245000000.0 -3.96 [-3.96]
33113100000000.0 7787720000000000.0 1511740000000.0 15923500000000.0 3125760000000.0 309035000000.0 3344360000000.0 185392000000.0 7041020000.0 22562100000000.0 33103700000.0 719380000.0 3458070000.0 432784000000.0 448589000000.0 1064240000000.0 550800000000.0 -3.94 [-3.94]
33113100000000.0 7352590000000000.0 1495830000000.0 15117700000000.0 2840420000000.0 316361000000.0 3199530000000.0 160227000000.0 7800660000.0 21696100000000.0 27151500000.0 562462000.0 3476420000.0 449043000000.0 432131000000.0 997904000000.0 483188000000.0 -3.92 [-3.92]
33113100000000.0 6943420000000000.0 1479770000000.0 14349300000000.0 2579240000000.0 323536000000.0 3058010000000.0 138401000000.0 8627110000.0 20831600000000.0 22247200000.0 439393000.0 3487420000.0 464208000000.0 414905000000.0 933452000000.0 422786000000.0 -3.9 [-3.9]
33113100000000.0 6558460000000000.0 1463600000000.0 13616600000000.0 2340230000000.0 330553000000.0 2919930000000.0 119478000000.0 9524750000.0 19971000000000.0 18208700000.0 342927000.0 3491390000.0 478157000000.0 397062000000.0 871083000000.0 368983000000.0 -3.88 [-3.88]
33113100000000.0 6196270000000000.0 1447390000000.0 12918500000000.0 2121640000000.0 337399000000.0 2785450000000.0 103086000000.0 10497600000.0 19117300000000.0 14887200000.0 267397000.0 3488720000.0 490775000000.0 378768000000.0 811002000000.0 321223000000.0 -3.86 [-3.86]
33113100000000.0 5855510000000000.0 1431200000000.0 12253800000000.0 1921850000000.0 344062000000.0 2654710000000.0 88898200000.0 11549500000.0 18273100000000.0 12158500000.0 208325000.0 3479850000.0 501967000000.0 360187000000.0 753378000000.0 278972000000.0 -3.84 [-3.84]
33113100000000.0 5534900000000000.0 1415070000000.0 11621000000000.0 1739380000000.0 350529000000.0 2527830000000.0 76626400000.0 12684400000.0 17440900000000.0 9919330000.0 162171000.0 3465210000.0 511655000000.0 341475000000.0 698343000000.0 241716000000.0 -3.82 [-3.82]
33113100000000.0 5233280000000000.0 1399080000000.0 11019100000000.0 1572840000000.0 356790000000.0 2404900000000.0 66019900000.0 13906200000.0 16623000000000.0 8084190000.0 126149000.0 3445270000.0 519789000000.0 322787000000.0 645999000000.0 208974000000.0 -3.8 [-3.8]
33113100000000.0 4949530000000000.0 1383280000000.0 10446800000000.0 1420980000000.0 362833000000.0 2286000000000.0 56859100000.0 15218200000.0 15821600000000.0 6582040000.0 98064000.0 3420490000.0 526337000000.0 304264000000.0 596416000000.0 180293000000.0 -3.78 [-3.78]
