# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
9549920000000000.0 1.78627e+20 1704480000000.0 199186000000000.0 469587000000000.0 128198000000.0 34167000000000.0 269497000000000.0 13524600.0 105827000000000.0 1789110000000000.0 1392380000000000.0 214565000.0 4190560000.0 166110000000.0 544288000000.0 27158300000000.0 -4.64 4.481 [-4.64]
9549910000000000.0 1.69376e+20 1820070000000.0 206645000000000.0 468950000000000.0 137838000000.0 35698600000000.0 259351000000000.0 15102000.0 110819000000000.0 1648870000000000.0 1228360000000000.0 246770000.0 4840440000.0 188536000000.0 598185000000.0 28282400000000.0 -4.62 4.477 [-4.62]
9549910000000000.0 1.60611e+20 1941260000000.0 214120000000000.0 467759000000000.0 147988000000.0 37239000000000.0 249106000000000.0 16859800.0 115878000000000.0 1516660000000000.0 1081780000000000.0 283310000.0 5580360000.0 213653000000.0 656457000000.0 29407900000000.0 -4.6 4.473 [-4.6]
9549910000000000.0 1.52306e+20 2068130000000.0 221589000000000.0 466013000000000.0 158654000000.0 38782700000000.0 238801000000000.0 18819200.0 120993000000000.0 1392360000000000.0 951050000000000.0 324691000.0 6421050000.0 241734000000.0 719350000000.0 30531000000000.0 -4.58 4.469 [-4.58]
9549920000000000.0 1.44438e+20 2200720000000.0 229030000000000.0 463709000000000.0 169838000000.0 40324100000000.0 228474000000000.0 21003700.0 126153000000000.0 1275810000000000.0 834666000000000.0 371458000.0 7374140000.0 273073000000.0 787112000000.0 31647500000000.0 -4.56 4.465 [-4.56]
9549910000000000.0 1.36979e+20 2338960000000.0 236416000000000.0 460849000000000.0 181535000000.0 41856700000000.0 218163000000000.0 23439200.0 131345000000000.0 1166820000000000.0 731235000000000.0 424199000.0 8452240000.0 307983000000.0 860000000000.0 32753300000000.0 -4.54 4.462 [-4.54]
9549910000000000.0 1.29912e+20 2482980000000.0 243730000000000.0 457436000000000.0 193755000000.0 43376100000000.0 207907000000000.0 26156900.0 136561000000000.0 1065160000000000.0 639535000000000.0 483584000.0 9669300000.0 346802000000.0 938242000000.0 33843900000000.0 -4.52 4.458 [-4.52]
9549910000000000.0 1.23213e+20 2632680000000.0 250941000000000.0 453475000000000.0 206491000000.0 44875900000000.0 197741000000000.0 29190200.0 141789000000000.0 970586000000000.0 558380000000000.0 550311000.0 11040200000.0 389890000000.0 1022090000000.0 34915000000000.0 -4.5 4.454 [-4.5]
9549910000000000.0 1.16865e+20 2788070000000.0 258027000000000.0 448970000000000.0 219746000000.0 46350600000000.0 187701000000000.0 32578500.0 147017000000000.0 882815000000000.0 486671000000000.0 625158000.0 12581100000.0 437625000000.0 1111750000000.0 35961500000000.0 -4.48 4.45 [-4.48]
9549910000000000.0 1.10848e+20 2949070000000.0 264960000000000.0 443931000000000.0 233515000000.0 47794600000000.0 177819000000000.0 36364700.0 152236000000000.0 801557000000000.0 423442000000000.0 708941000.0 14309300000.0 490408000000.0 1207450000000.0 36978600000000.0 -4.46 4.447 [-4.46]
9549910000000000.0 1.05145e+20 3115570000000.0 271713000000000.0 438368000000000.0 247793000000.0 49202300000000.0 168125000000000.0 40597800.0 157432000000000.0 726504000000000.0 367808000000000.0 802547000.0 16243200000.0 548657000000.0 1309370000000.0 37961300000000.0 -4.44 4.443 [-4.44]
