# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 O+5 O+6 Si+ Si+2 Si+3 log_nH parameters
1.25892e+16 1.33575e+21 166770000000.0 51403700000000.0 417943000000000.0 1.17676e+16 3.7707e+16 28541500.0 2380490000.0 22716000000.0 -5.0 [-5.0]
1.25892e+16 1.26043e+21 184474000000.0 55444200000000.0 433049000000000.0 1.15159e+16 3.49799e+16 35030600.0 2841430000.0 26189400000.0 -4.98 [-4.98]
1.25892e+16 1.18971e+21 203727000000.0 59697200000000.0 447982000000000.0 1.1248e+16 3.24021e+16 42885500.0 3384180000.0 30131800000.0 -4.96 [-4.96]
1.25892e+16 1.12334e+21 224641000000.0 64174500000000.0 462771000000000.0 1.09665e+16 2.99708e+16 52375800.0 4022710000.0 34605100000.0 -4.94 [-4.94]
1.25892e+16 1.061e+21 247340000000.0 68877000000000.0 477346000000000.0 1.0672e+16 2.76808e+16 63815300.0 4772160000.0 39667500000.0 -4.92 [-4.92]
1.25892e+16 1.00241e+21 271945000000.0 73809300000000.0 491675000000000.0 1.03657e+16 2.55269e+16 77574000.0 5650210000.0 45386800000.0 -4.9 [-4.9]
1.25892e+16 9.4733e+20 298596000000.0 78976000000000.0 505725000000000.0 1.00488e+16 2.35043e+16 94087400.0 6677010000.0 51835500000.0 -4.88 [-4.88]
1.25892e+16 8.95514e+20 327429000000.0 84379200000000.0 519454000000000.0 9722780000000000.0 2.16082e+16 113865000.0 7875590000.0 59093500000.0 -4.86 [-4.86]
1.25892e+16 8.46747e+20 358595000000.0 90021900000000.0 532827000000000.0 9388890000000000.0 1.98334e+16 137506000.0 9272340000.0 67248300000.0 -4.84 [-4.84]
1.25892e+16 8.00841e+20 392254000000.0 95908800000000.0 545822000000000.0 9048720000000000.0 1.8175e+16 165705000.0 10897100000.0 76394700000.0 -4.82 [-4.82]
1.25892e+16 7.57603e+20 428567000000.0 102040000000000.0 558403000000000.0 8703400000000000.0 1.66283e+16 199275000.0 12783900000.0 86635000000.0 -4.8 [-4.8]
1.25892e+16 7.1686e+20 467707000000.0 108419000000000.0 570541000000000.0 8354460000000000.0 1.51881e+16 239160000.0 14971300000.0 98081000000.0 -4.78 [-4.78]
1.25892e+16 6.78455e+20 509869000000.0 115046000000000.0 582207000000000.0 8003350000000000.0 1.38494e+16 286453000.0 17502900000.0 110852000000.0 -4.76 [-4.76]
1.25892e+16 6.42223e+20 555212000000.0 121919000000000.0 593368000000000.0 7651250000000000.0 1.26071e+16 342426000.0 20428100000.0 125080000000.0 -4.74 [-4.74]
1.25892e+16 6.0805e+20 603942000000.0 129043000000000.0 604014000000000.0 7299770000000000.0 1.14568e+16 408536000.0 23802500000.0 140904000000.0 -4.72 [-4.72]
1.25892e+16 5.75787e+20 656237000000.0 136411000000000.0 614104000000000.0 6949960000000000.0 1.03932e+16 486468000.0 27688500000.0 158473000000.0 -4.7 [-4.7]
1.25892e+16 5.45337e+20 712343000000.0 144028000000000.0 623631000000000.0 6603330000000000.0 9412190000000000.0 578172000.0 32157100000.0 177949000000.0 -4.68 [-4.68]
1.25892e+16 5.16582e+20 772468000000.0 151888000000000.0 632562000000000.0 6261030000000000.0 8508860000000000.0 685864000.0 37286400000.0 199500000000.0 -4.66 [-4.66]
1.25892e+16 4.89412e+20 836815000000.0 159989000000000.0 640885000000000.0 5924160000000000.0 7678660000000000.0 812076000.0 43164800000.0 223312000000.0 -4.64 [-4.64]
1.25892e+16 4.63733e+20 905592000000.0 168324000000000.0 648580000000000.0 5593800000000000.0 6917230000000000.0 959706000.0 49890700000.0 249581000000.0 -4.62 [-4.62]
1.25892e+16 4.39454e+20 979009000000.0 176887000000000.0 655621000000000.0 5270860000000000.0 6220070000000000.0 1132050000.0 57573700000.0 278516000000.0 -4.6 [-4.6]
1.25892e+16 4.16492e+20 1057290000000.0 185669000000000.0 661990000000000.0 4956220000000000.0 5583410000000000.0 1332810000.0 66334400000.0 310327000000.0 -4.58 [-4.58]
1.25892e+16 3.9477e+20 1140640000000.0 194661000000000.0 667673000000000.0 4650760000000000.0 5002970000000000.0 1566240000.0 76308600000.0 345254000000.0 -4.56 [-4.56]
1.25892e+16 3.74213e+20 1229270000000.0 203853000000000.0 672652000000000.0 4355040000000000.0 4474910000000000.0 1837100000.0 87645600000.0 383540000000.0 -4.54 [-4.54]
1.25892e+16 3.54759e+20 1323420000000.0 213235000000000.0 676915000000000.0 4069790000000000.0 3995530000000000.0 2150780000.0 100511000000.0 425436000000.0 -4.52 [-4.52]
1.25892e+16 3.36342e+20 1423270000000.0 222790000000000.0 680448000000000.0 3795430000000000.0 3561130000000000.0 2513290000.0 115085000000.0 471217000000.0 -4.5 [-4.5]
1.25892e+16 3.18899e+20 1528980000000.0 232501000000000.0 683236000000000.0 3532330000000000.0 3168410000000000.0 2931340000.0 131568000000.0 521163000000.0 -4.48 [-4.48]
1.25892e+16 3.02378e+20 1640750000000.0 242353000000000.0 685272000000000.0 3280830000000000.0 2814060000000000.0 3412480000.0 150178000000.0 575566000000.0 -4.46 [-4.46]
1.25892e+16 2.86729e+20 1758760000000.0 252327000000000.0 686543000000000.0 3041100000000000.0 2494930000000000.0 3965050000.0 171154000000.0 634723000000.0 -4.44 [-4.44]
