# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Te, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+2 N+4 O O+2 O+5 O+6 Si+ Si+2 Si+3 Si+4 log_nH log_Te parameters
147911000000000.0 5.74355e+18 8867930000.0 1609740000000.0 6474360000000.0 255763000000.0 6100770000000.0 42461.9 689171000000.0 67972900000000.0 98162700000000.0 8583430.0 451926000.0 2248150000.0 231153000000.0 -4.56 4.547 [-4.56]
147911000000000.0 5.44193e+18 9603770000.0 1695340000000.0 6558750000000.0 272096000000.0 6008560000000.0 47635.5 736027000000.0 64422100000000.0 88574500000000.0 10165000.0 523284000.0 2516590000.0 245226000000.0 -4.54 4.543 [-4.54]
147911000000000.0 5.15697e+18 10391200000.0 1783560000000.0 6637170000000.0 289160000000.0 5908670000000.0 53429.9 785025000000.0 60926900000000.0 79773600000000.0 12015500.0 604949000.0 2812680000.0 259776000000.0 -4.52 4.539 [-4.52]
147911000000000.0 4.8876e+18 11232900000.0 1874350000000.0 6709450000000.0 306946000000.0 5801370000000.0 59912.5 836129000000.0 57498400000000.0 71711800000000.0 14176100.0 698261000.0 3138750000.0 274789000000.0 -4.5 4.534 [-4.5]
147911000000000.0 4.63283e+18 12130900000.0 1967620000000.0 6775450000000.0 325431000000.0 5686900000000.0 67152.0 889269000000.0 54147000000000.0 64341300000000.0 16693900.0 804708000.0 3497380000.0 290249000000.0 -4.48 4.53 [-4.48]
147911000000000.0 4.39179e+18 13088000000.0 2063310000000.0 6835030000000.0 344599000000.0 5565610000000.0 75233.1 944400000000.0 50882000000000.0 57617800000000.0 19621900.0 925940000.0 3891160000.0 306134000000.0 -4.46 4.526 [-4.46]
147911000000000.0 4.16371e+18 14107000000.0 2161340000000.0 6888010000000.0 364422000000.0 5437860000000.0 84247.4 1001460000000.0 47712100000000.0 51498200000000.0 23020200.0 1063780000.0 4322840000.0 322419000000.0 -4.44 4.522 [-4.44]
147911000000000.0 3.94782e+18 15190400000.0 2261590000000.0 6934270000000.0 384870000000.0 5304030000000.0 94296.1 1060370000000.0 44644700000000.0 45940500000000.0 26956300.0 1220250000.0 4795340000.0 339076000000.0 -4.42 4.518 [-4.42]
147911000000000.0 3.74339e+18 16341000000.0 2363990000000.0 6973700000000.0 405908000000.0 5164550000000.0 105493.0 1121060000000.0 41685900000000.0 40903800000000.0 31506800.0 1397600000.0 5311740000.0 356076000000.0 -4.4 4.514 [-4.4]
147911000000000.0 3.54983e+18 17560900000.0 2468340000000.0 7006140000000.0 427484000000.0 5019930000000.0 117957.0 1183410000000.0 38841800000000.0 36350500000000.0 36755300.0 1598220000.0 5875120000.0 373378000000.0 -4.38 4.51 [-4.38]
147911000000000.0 3.36649e+18 18852900000.0 2574530000000.0 7031500000000.0 449548000000.0 4870630000000.0 131829.0 1247320000000.0 36116300000000.0 32242900000000.0 42797000.0 1824810000.0 6488820000.0 390945000000.0 -4.36 4.506 [-4.36]
147911000000000.0 3.1928e+18 20219100000.0 2682360000000.0 7049660000000.0 472043000000.0 4717190000000.0 147261.0 1312680000000.0 33512600000000.0 28545700000000.0 49737500.0 2080310000.0 7156250000.0 408734000000.0 -4.34 4.502 [-4.34]
147911000000000.0 3.02822e+18 21661600000.0 2791640000000.0 7060510000000.0 494904000000.0 4560160000000.0 164421.0 1379370000000.0 31032800000000.0 25225300000000.0 57693500.0 2367900000.0 7880970000.0 426698000000.0 -4.32 4.498 [-4.32]
147911000000000.0 2.87222e+18 23181800000.0 2902140000000.0 7063950000000.0 518056000000.0 4400120000000.0 183491.0 1447240000000.0 28678200000000.0 22249600000000.0 66793600.0 2691040000.0 8666690000.0 444786000000.0 -4.3 4.495 [-4.3]
