#depth	Te	cC/dT	dt/dr	d^2T/dr^2
5.15153e+25	2.9301e+04	6.43e-38	-1.39e-23	-1.02e-48
5.45096e+25	2.9276e+04	6.43e-38	-8.78e-24	1.80e-48
5.72148e+25	2.9239e+04	6.43e-38	-1.44e-23	-2.18e-48
5.96579e+25	2.9216e+04	6.43e-38	-9.82e-24	1.96e-48
6.18630e+25	2.9196e+04	6.44e-38	-9.85e-24	-1.17e-50
6.38531e+25	2.9177e+04	6.44e-38	-9.91e-24	-3.34e-50
6.56484e+25	2.9158e+04	6.44e-38	-1.09e-23	-5.92e-49
6.72676e+25	2.9146e+04	6.44e-38	-8.40e-24	1.64e-48
6.87277e+25	2.9131e+04	6.44e-38	-1.08e-23	-1.70e-48
7.00439e+25	2.9120e+04	6.44e-38	-8.28e-24	1.98e-48
7.12303e+25	2.9108e+04	6.44e-38	-1.08e-23	-2.20e-48
7.22995e+25	2.9095e+04	6.44e-38	-1.32e-23	-2.42e-48
7.32629e+25	2.9093e+04	6.45e-38	-2.19e-24	1.21e-47
7.41447e+25	2.9078e+04	6.45e-38	-1.77e-23	-1.83e-47
7.49955e+25	2.9072e+04	6.45e-38	-6.29e-24	1.34e-47
7.58468e+25	2.9057e+04	6.45e-38	-1.81e-23	-1.39e-47
7.66987e+25	2.9057e+04	6.45e-38	-3.91e-25	2.08e-47
7.75511e+25	2.9035e+04	6.45e-38	-2.54e-23	-2.93e-47
7.84040e+25	2.9043e+04	6.45e-38	9.32e-24	4.07e-47
7.92575e+25	2.9008e+04	6.45e-38	-4.13e-23	-5.93e-47
8.01115e+25	2.9015e+04	6.45e-38	8.34e-24	5.81e-47
8.09658e+25	2.8992e+04	6.45e-38	-2.69e-23	-4.12e-47
8.16839e+25	2.9013e+04	6.46e-38	3.61e-23	1.08e-46
8.19751e+25	2.9028e+04	6.46e-38	1.70e-20	1.85e-41
8.19751e+25	2.9028e+04	6.46e-38	1.70e-20	0.00e+00
8.67075e+22	3.0574e+04	7.15e-38
5.20245e+23	3.0336e+04	7.17e-38	-3.43e-22
2.19265e+24	2.9911e+04	7.20e-38	-1.60e-22	6.91e-47
6.32001e+24	2.9598e+04	7.20e-38	-5.58e-23	1.86e-47
1.21914e+25	2.9369e+04	7.18e-38	-3.73e-23	3.01e-48
