# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: N+, datatype: float64}
# - {name: N+2, datatype: float64}
# - {name: N+4, datatype: float64}
# - {name: O, datatype: float64}
# - {name: O+2, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: P+, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: Si+4, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[1]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 N+ N+2 N+4 O O+2 O+5 O+6 P+ Si+ Si+2 Si+3 Si+4 log_nH parameters
30902900000000.0 1.62659e+17 347293000000.0 46586300000000.0 110806000000000.0 36404500000.0 10266100000000.0 36064500000000.0 10990600.0 31274500000000.0 155423000000000.0 38782500000000.0 43036100.0 1288900000.0 82073600000.0 979623000000.0 12915700000000.0 -4.6 [-4.6]
30902900000000.0 1.42618e+17 423380000000.0 50619700000000.0 103486000000000.0 41564600000.0 10460400000000.0 31230200000000.0 14228700.0 31474300000000.0 125064000000000.0 27717000000000.0 56926500.0 1809880000.0 101534000000.0 1119850000000.0 12934500000000.0 -4.58 [-4.58]
30902900000000.0 1.23586e+17 520345000000.0 54567800000000.0 94877400000000.0 46972000000.0 10462100000000.0 26717400000000.0 18631300.0 31308800000000.0 97016700000000.0 18952300000000.0 77055700.0 2616390000.0 125338000000.0 1278130000000.0 12778200000000.0 -4.56 [-4.56]
30902900000000.0 1.05614e+17 643644000000.0 58010200000000.0 84983300000000.0 52444700000.0 10222000000000.0 22596000000000.0 24883800.0 30884800000000.0 71395400000000.0 12204000000000.0 107598000.0 3891760000.0 153335000000.0 1453990000000.0 12398200000000.0 -4.54 [-4.54]
30902900000000.0 8.92898e+16 791899000000.0 60316000000000.0 74319200000000.0 57779200000.0 9739370000000.0 18962700000000.0 34051100.0 30489900000000.0 49499700000000.0 7382170000000.0 154707000.0 5864030000.0 183977000000.0 1637810000000.0 11769000000000.0 -4.52 [-4.52]
30902900000000.0 7.60041e+16 941961000000.0 61016600000000.0 64410000000000.0 62907100000.0 9164320000000.0 15964300000000.0 46783400.0 30491000000000.0 33565700000000.0 4413590000000.0 220058000.0 8561650000.0 213845000000.0 1802710000000.0 10981300000000.0 -4.5 [-4.5]
30902900000000.0 6.60023e+16 1070590000000.0 60444400000000.0 56237400000000.0 68030000000.0 8660870000000.0 13567700000000.0 62876100.0 30882500000000.0 23320100000000.0 2753000000000.0 298107000.0 11815800000.0 241197000000.0 1931950000000.0 10178200000000.0 -4.48 [-4.48]
30902900000000.0 5.83775e+16 1174460000000.0 59150800000000.0 49620700000000.0 73321700000.0 8259390000000.0 11618900000000.0 82204700.0 31443500000000.0 16767300000000.0 1803990000000.0 384317000.0 15554100000.0 266482000000.0 2029160000000.0 9420530000000.0 -4.46 [-4.46]
30902900000000.0 5.23253e+16 1257880000000.0 57474500000000.0 44152600000000.0 78842000000.0 7936710000000.0 9998770000000.0 104965000.0 32023300000000.0 12403500000000.0 1229000000000.0 476906000.0 19795700000.0 290336000000.0 2101810000000.0 8717220000000.0 -4.44 [-4.44]
30902900000000.0 4.73327e+16 1325230000000.0 55583100000000.0 39517300000000.0 84600400000.0 7666100000000.0 8628820000000.0 131598000.0 32550900000000.0 9367260000000.0 860848000000.0 575466000.0 24598700000.0 313112000000.0 2155520000000.0 8062330000000.0 -4.42 [-4.42]
30902900000000.0 4.31052e+16 1379610000000.0 53573600000000.0 35520600000000.0 90587700000.0 7430440000000.0 7460360000000.0 162592000.0 32995600000000.0 7186030000000.0 615639000000.0 679624000.0 30014100000.0 334926000000.0 2193810000000.0 7451130000000.0 -4.4 [-4.4]
30902900000000.0 3.94525e+16 1423280000000.0 51502100000000.0 32028100000000.0 96796500000.0 7217950000000.0 6457530000000.0 198552000.0 33345800000000.0 5578500000000.0 447206000000.0 789090000.0 36096300000.0 355790000000.0 2219010000000.0 6879050000000.0 -4.38 [-4.38]
30902900000000.0 3.62605e+16 1458000000000.0 49416300000000.0 28955900000000.0 103205000000.0 7022440000000.0 5595830000000.0 240009000.0 33597900000000.0 4374470000000.0 329158000000.0 903139000.0 42872300000.0 375648000000.0 2232800000000.0 6344600000000.0 -4.36 [-4.36]
