# %ECSV 1.0
# ---
# datatype:
# - {name: H, datatype: float64}
# - {name: H+, datatype: float64}
# - {name: C+, datatype: float64}
# - {name: C+2, datatype: float64}
# - {name: C+3, datatype: float64}
# - {name: O+5, datatype: float64}
# - {name: O+6, datatype: float64}
# - {name: Si+, datatype: float64}
# - {name: Si+2, datatype: float64}
# - {name: Si+3, datatype: float64}
# - {name: log_nH, datatype: float64}
# - {name: log_Z, datatype: float64}
# - {name: parameters, datatype: string, subtype: 'float64[2]'}
# schema: astropy-2.0
H H+ C+ C+2 C+3 O+5 O+6 Si+ Si+2 Si+3 log_nH log_Z parameters
158489000000000.0 1.02779e+20 15348500.0 7473030000.0 252341000000.0 25821900000000.0 291834000000000.0 2461.31 1777520.0 69841400.0 -5.0 -2.0 [-5.0,-2.0]
158489000000000.0 1.0278e+20 16828100.0 8193870000.0 276683000000.0 28313800000000.0 319994000000000.0 2698.81 1949040.0 76580900.0 -5.0 -1.96 [-5.0,-1.96]
158489000000000.0 1.02782e+20 18450200.0 8984260000.0 303373000000.0 31046200000000.0 350872000000000.0 2959.22 2137120.0 83971100.0 -5.0 -1.92 [-5.0,-1.92]
158489000000000.0 1.02784e+20 20228400.0 9850880000.0 332639000000.0 34042500000000.0 384731000000000.0 3244.78 2343350.0 92074700.0 -5.0 -1.88 [-5.0,-1.88]
158489000000000.0 1.02786e+20 22177800.0 10801100000.0 364728000000.0 37328200000000.0 421859000000000.0 3557.89 2569500.0 100961000.0 -5.0 -1.84 [-5.0,-1.84]
158489000000000.0 1.02789e+20 24314500.0 11843000000.0 399913000000.0 40931100000000.0 462572000000000.0 3901.24 2817480.0 110705000.0 -5.0 -1.8 [-5.0,-1.8]
158489000000000.0 1.02793e+20 26656700.0 12985400000.0 438495000000.0 44882200000000.0 507217000000000.0 4277.74 3089410.0 121390000.0 -5.0 -1.76 [-5.0,-1.76]
158489000000000.0 1.02797e+20 29224300.0 14238000000.0 480799000000.0 49214900000000.0 556173000000000.0 4690.58 3387600.0 133108000.0 -5.0 -1.72 [-5.0,-1.72]
158489000000000.0 1.02801e+20 32040200.0 15611500000.0 527185000000.0 53966100000000.0 609857000000000.0 5143.29 3714590.0 145957000.0 -5.0 -1.68 [-5.0,-1.68]
158489000000000.0 1.02806e+20 35127000.0 17117400000.0 578047000000.0 59176400000000.0 668726000000000.0 5639.71 4073160.0 160048000.0 -5.0 -1.64 [-5.0,-1.64]
158489000000000.0 1.02812e+20 38510700.0 18768700000.0 633820000000.0 64890400000000.0 733284000000000.0 6184.08 4466370.0 175501000.0 -5.0 -1.6 [-5.0,-1.6]
158489000000000.0 1.02818e+20 42220000.0 20579300000.0 694980000000.0 71156900000000.0 804082000000000.0 6781.04 4897590.0 192448000.0 -5.0 -1.56 [-5.0,-1.56]
158489000000000.0 1.02826e+20 46286500.0 22564800000.0 762045000000.0 78029500000000.0 881724000000000.0 7435.7 5370500.0 211034000.0 -5.0 -1.52 [-5.0,-1.52]
158489000000000.0 1.02835e+20 50744500.0 24741900000.0 835592000000.0 85567200000000.0 966876000000000.0 8153.63 5889150.0 231419000.0 -5.0 -1.48 [-5.0,-1.48]
158489000000000.0 1.02843e+20 55629300.0 27128500000.0 916216000000.0 93831600000000.0 1060230000000000.0 8940.74 6457760.0 253770000.0 -5.0 -1.44 [-5.0,-1.44]
158489000000000.0 1.02849e+20 60982600.0 29745000000.0 1004610000000.0 102894000000000.0 1162600000000000.0 9803.8 7081240.0 278278000.0 -5.0 -1.4 [-5.0,-1.4]
158489000000000.0 1.02857e+20 66849800.0 32613900000.0 1101540000000.0 112837000000000.0 1274850000000000.0 10750.2 7764990.0 305158000.0 -5.0 -1.36 [-5.0,-1.36]
158489000000000.0 1.02865e+20 73280200.0 35759600000.0 1207830000000.0 123746000000000.0 1397950000000000.0 11788.2 8514870.0 334639000.0 -5.0 -1.32 [-5.0,-1.32]
158489000000000.0 1.02875e+20 80327000.0 39208600000.0 1324370000000.0 135715000000000.0 1532950000000000.0 12926.5 9337280.0 366973000.0 -5.0 -1.28 [-5.0,-1.28]
158489000000000.0 1.02885e+20 88048900.0 42990200000.0 1452170000000.0 148849000000000.0 1681000000000000.0 14174.8 10239200.0 402439000.0 -5.0 -1.24 [-5.0,-1.24]
158489000000000.0 1.02897e+20 96510700.0 47136400000.0 1592300000000.0 163262000000000.0 1843360000000000.0 15544.1 11228600.0 441343000.0 -5.0 -1.2 [-5.0,-1.2]
158489000000000.0 1.0291e+20 105782000.0 51682500000.0 1745960000000.0 179083000000000.0 2021420000000000.0 17045.9 12313800.0 484018000.0 -5.0 -1.16 [-5.0,-1.16]
158489000000000.0 1.02925e+20 115939000.0 56666700000.0 1914460000000.0 196452000000000.0 2216710000000000.0 18693.2 13504200.0 530838000.0 -5.0 -1.12 [-5.0,-1.12]
