#Index	Failure?	Warnings?	Exit code	#rank	#seq	HDEN=%f L	METALS= %	grid parameter string
000000000	F	F	                  ok	9	734	-5.000000	-2.000000	-5.000000, -2.000000
000000001	F	F	                  ok	8	741	-5.000000	-1.960000	-5.000000, -1.960000
000000002	F	F	                  ok	2	1205	-5.000000	-1.920000	-5.000000, -1.920000
000000003	F	F	                  ok	9	198	-5.000000	-1.880000	-5.000000, -1.880000
000000004	F	F	                  ok	6	438	-5.000000	-1.840000	-5.000000, -1.840000
000000005	F	F	                  ok	2	1164	-5.000000	-1.800000	-5.000000, -1.800000
000000006	F	F	                  ok	4	1339	-5.000000	-1.760000	-5.000000, -1.760000
000000007	F	F	                  ok	5	935	-5.000000	-1.720000	-5.000000, -1.720000
000000008	F	F	                  ok	8	1061	-5.000000	-1.680000	-5.000000, -1.680000
000000009	F	F	                  ok	8	48	-5.000000	-1.640000	-5.000000, -1.640000
000000010	F	F	                  ok	5	409	-5.000000	-1.600000	-5.000000, -1.600000
000000011	F	F	                  ok	2	85	-5.000000	-1.560000	-5.000000, -1.560000
000000012	F	F	                  ok	8	349	-5.000000	-1.520000	-5.000000, -1.520000
000000013	F	F	                  ok	4	1239	-5.000000	-1.480000	-5.000000, -1.480000
000000014	F	F	                  ok	1	1576	-5.000000	-1.440000	-5.000000, -1.440000
000000015	F	F	                  ok	10	365	-5.000000	-1.400000	-5.000000, -1.400000
000000016	F	F	                  ok	8	781	-5.000000	-1.360000	-5.000000, -1.360000
000000017	F	F	                  ok	1	1111	-5.000000	-1.320000	-5.000000, -1.320000
000000018	F	F	                  ok	11	438	-5.000000	-1.280000	-5.000000, -1.280000
000000019	F	F	                  ok	2	520	-5.000000	-1.240000	-5.000000, -1.240000
000000020	F	F	                  ok	2	1305	-5.000000	-1.200000	-5.000000, -1.200000
000000021	F	F	                  ok	11	521	-5.000000	-1.160000	-5.000000, -1.160000
000000022	F	F	                  ok	1	32	-5.000000	-1.120000	-5.000000, -1.120000
000000023	F	F	                  ok	11	440	-5.000000	-1.080000	-5.000000, -1.080000
000000024	F	F	                  ok	2	198	-5.000000	-1.040000	-5.000000, -1.040000
000000025	F	F	                  ok	6	1474	-5.000000	-1.000000	-5.000000, -1.000000
000000026	F	F	                  ok	4	1069	-5.000000	-0.960000	-5.000000, -0.960000
000000027	F	F	                  ok	3	234	-5.000000	-0.920000	-5.000000, -0.920000
000000028	F	F	                  ok	1	285	-5.000000	-0.880000	-5.000000, -0.880000
000000029	F	F	                  ok	1	379	-5.000000	-0.840000	-5.000000, -0.840000
000000030	F	F	                  ok	0	608	-5.000000	-0.800000	-5.000000, -0.800000
000000031	F	F	                  ok	9	983	-5.000000	-0.760000	-5.000000, -0.760000
000000032	F	F	                  ok	9	71	-5.000000	-0.720000	-5.000000, -0.720000
000000033	F	F	                  ok	7	1	-5.000000	-0.680000	-5.000000, -0.680000
000000034	F	F	                  ok	10	1090	-5.000000	-0.640000	-5.000000, -0.640000
000000035	F	F	                  ok	10	219	-5.000000	-0.600000	-5.000000, -0.600000
000000036	F	F	                  ok	7	751	-5.000000	-0.560000	-5.000000, -0.560000
000000037	F	F	                  ok	6	661	-5.000000	-0.520000	-5.000000, -0.520000
000000038	F	F	                  ok	3	1484	-5.000000	-0.480000	-5.000000, -0.480000
000000039	F	F	                  ok	10	1019	-5.000000	-0.440000	-5.000000, -0.440000
000000040	F	F	                  ok	8	1342	-5.000000	-0.400000	-5.000000, -0.400000
000000041	F	F	                  ok	1	846	-5.000000	-0.360000	-5.000000, -0.360000
000000042	F	F	                  ok	7	321	-5.000000	-0.320000	-5.000000, -0.320000
000000043	F	F	                  ok	1	785	-5.000000	-0.280000	-5.000000, -0.280000
000000044	F	F	                  ok	10	401	-5.000000	-0.240000	-5.000000, -0.240000
000000045	F	F	                  ok	0	92	-5.000000	-0.200000	-5.000000, -0.200000
000000046	F	F	                  ok	1	697	-5.000000	-0.160000	-5.000000, -0.160000
000000047	F	F	                  ok	2	727	-5.000000	-0.120000	-5.000000, -0.120000
000000048	F	F	                  ok	10	1489	-5.000000	-0.080000	-5.000000, -0.080000
000000049	F	F	                  ok	2	583	-5.000000	-0.040000	-5.000000, -0.040000
000000050	F	F	                  ok	1	460	-5.000000	-0.000000	-5.000000, -0.000000
000000051	F	F	                  ok	8	658	-5.000000	0.040000	-5.000000, 0.040000
000000052	F	F	                  ok	11	340	-5.000000	0.080000	-5.000000, 0.080000
000000053	F	F	                  ok	6	1398	-5.000000	0.120000	-5.000000, 0.120000
000000054	F	F	                  ok	2	400	-5.000000	0.160000	-5.000000, 0.160000
000000055	F	F	                  ok	5	1572	-5.000000	0.200000	-5.000000, 0.200000
