H	H+	C+	C+2	C+3	N+	N+2	N+4	O	O+2	O+5	O+6	P+	Si+	Si+2	Si+3	Si+4
1.09648e+16	2.62053e+19	3.64493e+14	2.32614e+16	2.38316e+16	2.02168e+13	3.04043e+15	5.58767e+15	1.66197e+10	1.19449e+16	9.20460e+15	1.08259e+15	9.36623e+10	4.43049e+12	9.18620e+13	8.04786e+14	3.94041e+15
1.09648e+16	2.34478e+19	3.95991e+14	2.28795e+16	2.12682e+16	2.19266e+13	2.94607e+15	4.83185e+15	2.13487e+10	1.22445e+16	6.83492e+15	7.38278e+14	1.16403e+11	5.58569e+12	1.00323e+14	8.37346e+14	3.67544e+15
1.09648e+16	2.12303e+19	4.21891e+14	2.23488e+16	1.91202e+16	2.36880e+13	2.86877e+15	4.20417e+15	2.68681e+10	1.25232e+16	5.22643e+15	5.25090e+14	1.40952e+11	6.88685e+12	1.08390e+14	8.61779e+14	3.42900e+15
1.09647e+16	1.93260e+19	4.44065e+14	2.17217e+16	1.72241e+16	2.55499e+13	2.79951e+15	3.65801e+15	3.34605e+10	1.27773e+16	4.04094e+15	3.79800e+14	1.67934e+11	8.38955e+12	1.16382e+14	8.80934e+14	3.19169e+15
1.09649e+16	1.77044e+19	4.62427e+14	2.10388e+16	1.55798e+16	2.74712e+13	2.73802e+15	3.19279e+15	4.10797e+10	1.29886e+16	3.17471e+15	2.80862e+14	1.96656e+11	1.00670e+13	1.24024e+14	8.94262e+14	2.97031e+15
1.09648e+16	1.62452e+19	4.78186e+14	2.03069e+16	1.40821e+16	2.95223e+13	2.67871e+15	2.77803e+15	5.02164e+10	1.31692e+16	2.49683e+15	2.08243e+14	2.28110e+11	1.20176e+13	1.31762e+14	9.04219e+14	2.75412e+15
1.09648e+16	1.49726e+19	4.91145e+14	1.95623e+16	1.27681e+16	3.16279e+13	2.62338e+15	2.42316e+15	6.06885e+10	1.33031e+16	1.98663e+15	1.56710e+14	2.61135e+11	1.41734e+13	1.39139e+14	9.09628e+14	2.55288e+15
1.09647e+16	1.38476e+19	5.01720e+14	1.88139e+16	1.16049e+16	3.37785e+13	2.56987e+15	2.11780e+15	7.26335e+10	1.33922e+16	1.59483e+15	1.19264e+14	2.95610e+11	1.65330e+13	1.46038e+14	9.10780e+14	2.36527e+15
1.09648e+16	1.28331e+19	5.10339e+14	1.80643e+16	1.05570e+16	3.60035e+13	2.51696e+15	1.85075e+15	8.64168e+10	1.34439e+16	1.28602e+15	9.12830e+13	3.31817e+11	1.91516e+13	1.52649e+14	9.08671e+14	2.18767e+15
1.09648e+16	1.19163e+19	5.17183e+14	1.73213e+16	9.61368e+15	3.82888e+13	2.46418e+15	1.61786e+15	1.02204e+11	1.34587e+16	1.04168e+15	7.02490e+13	3.69462e+11	2.20263e+13	1.58873e+14	9.03407e+14	2.02050e+15
1.09647e+16	1.10829e+19	5.22489e+14	1.65895e+16	8.76128e+15	4.06357e+13	2.41125e+15	1.41422e+15	1.20262e+11	1.34391e+16	8.46738e+14	5.42830e+13	4.08400e+11	2.51728e+13	1.64712e+14	8.95282e+14	1.86310e+15
1.09648e+16	1.03234e+19	5.26480e+14	1.58740e+16	7.99030e+15	4.30424e+13	2.35808e+15	1.23621e+15	1.40867e+11	1.33879e+16	6.90448e+14	4.20866e+13	4.48419e+11	2.86009e+13	1.70157e+14	8.84615e+14	1.71526e+15
1.09648e+16	9.62890e+18	5.29245e+14	1.51760e+16	7.29237e+15	4.54889e+13	2.30422e+15	1.08072e+15	1.64266e+11	1.33060e+16	5.64652e+14	3.27355e+13	4.89200e+11	3.23011e+13	1.75087e+14	8.71406e+14	1.57686e+15
1.09648e+16	8.99281e+18	5.31062e+14	1.45004e+16	6.65922e+15	4.79751e+13	2.25004e+15	9.44808e+14	1.90789e+11	1.31967e+16	4.62987e+14	2.55346e+13	5.30538e+11	3.62858e+13	1.79579e+14	8.56118e+14	1.44742e+15
1.09647e+16	8.40665e+18	5.31940e+14	1.38450e+16	6.08277e+15	5.05016e+13	2.19505e+15	8.25657e+14	2.20841e+11	1.30613e+16	3.80256e+14	1.99469e+13	5.72200e+11	4.05666e+13	1.83582e+14	8.38838e+14	1.32620e+15
1.09648e+16	7.86889e+18	5.32157e+14	1.32156e+16	5.55997e+15	5.30555e+13	2.13983e+15	7.21833e+14	2.54618e+11	1.29031e+16	3.13148e+14	1.56233e+13	6.13817e+11	4.51086e+13	1.87052e+14	8.19849e+14	1.21366e+15
1.09648e+16	7.37191e+18	5.31712e+14	1.26089e+16	5.08329e+15	5.56381e+13	2.08397e+15	6.30902e+14	2.92645e+11	1.27229e+16	2.58257e+14	1.22578e+13	6.55203e+11	4.99305e+13	1.89991e+14	7.99295e+14	1.10877e+15
1.09648e+16	6.91344e+18	5.30736e+14	1.20267e+16	4.64967e+15	5.82344e+13	2.02772e+15	5.51581e+14	3.35195e+11	1.25234e+16	2.13406e+14	9.64114e+12	6.96013e+11	5.49817e+13	1.92290e+14	7.77248e+14	1.01177e+15
1.09648e+16	6.48887e+18	5.29335e+14	1.14686e+16	4.25369e+15	6.08491e+13	1.97119e+15	4.82162e+14	3.82820e+11	1.23064e+16	1.76572e+14	7.59589e+12	7.36085e+11	6.02829e+13	1.94054e+14	7.54085e+14	9.21754e+14
1.09648e+16	6.09360e+18	5.27477e+14	1.09319e+16	3.89072e+15	6.34864e+13	1.91422e+15	4.21178e+14	4.36240e+11	1.20729e+16	1.46146e+14	5.98766e+12	7.75214e+11	6.58572e+13	1.95314e+14	7.29949e+14	8.37920e+14
1.09648e+16	5.72678e+18	5.25270e+14	1.04181e+16	3.55942e+15	6.61273e+13	1.85709e+15	3.67921e+14	4.95737e+11	1.18252e+16	1.21096e+14	4.72669e+12	8.13042e+11	7.16240e+13	1.95938e+14	7.04938e+14	7.60605e+14
1.09648e+16	5.38524e+18	5.22757e+14	9.92592e+15	3.25609e+15	6.87734e+13	1.79988e+15	3.21292e+14	5.62015e+11	1.15646e+16	1.00394e+14	3.73415e+12	8.49427e+11	7.75888e+13	1.95986e+14	6.79247e+14	6.89164e+14
1.09648e+16	5.06679e+18	5.19979e+14	9.45475e+15	2.97819e+15	7.14222e+13	1.74268e+15	2.80466e+14	6.35735e+11	1.12926e+16	8.32594e+13	2.95164e+12	8.84168e+11	8.37284e+13	1.95462e+14	6.53023e+14	6.23242e+14
1.09647e+16	4.76973e+18	5.16962e+14	9.00400e+15	2.72369e+15	7.40652e+13	1.68563e+15	2.44763e+14	7.17501e+11	1.10108e+16	6.90733e+13	2.33437e+12	9.17067e+11	8.99949e+13	1.94336e+14	6.26385e+14	5.62641e+14
1.09647e+16	4.49213e+18	5.13735e+14	8.57278e+15	2.49037e+15	7.67037e+13	1.62882e+15	2.13517e+14	8.08169e+11	1.07203e+16	5.73066e+13	1.84654e+12	9.47995e+11	9.63749e+13	1.92650e+14	5.99509e+14	5.06913e+14
1.09647e+16	4.23222e+18	5.10294e+14	8.15994e+15	2.27627e+15	7.93326e+13	1.57230e+15	1.86161e+14	9.08577e+11	1.04221e+16	4.75340e+13	1.46051e+12	9.76810e+11	1.02835e+14	1.90406e+14	5.72496e+14	4.55724e+14
1.09647e+16	3.98879e+18	5.06678e+14	7.76502e+15	2.07985e+15	8.19495e+13	1.51622e+15	1.62230e+14	1.01958e+12	1.01175e+16	3.94175e+13	1.15500e+12	1.00337e+12	1.09331e+14	1.87619e+14	5.45462e+14	4.08846e+14
1.09647e+16	3.76064e+18	5.02924e+14	7.38765e+15	1.89942e+15	8.45549e+13	1.46071e+15	1.41279e+14	1.14227e+12	9.80918e+15	3.26679e+13	9.12960e+11	1.02765e+12	1.15843e+14	1.84342e+14	5.18629e+14	3.65870e+14
1.09647e+16	3.54673e+18	4.99065e+14	7.02737e+15	1.73365e+15	8.71441e+13	1.40591e+15	1.22948e+14	1.27766e+12	9.49826e+15	2.70562e+13	7.21242e+11	1.04957e+12	1.22329e+14	1.80604e+14	4.92106e+14	3.26556e+14
1.09648e+16	3.34584e+18	4.95074e+14	6.68289e+15	1.58148e+15	8.97129e+13	1.35180e+15	1.06925e+14	1.42675e+12	9.18418e+15	2.23917e+13	5.69402e+11	1.06903e+12	1.28725e+14	1.76393e+14	4.65876e+14	2.90761e+14
1.09648e+16	3.15720e+18	4.90964e+14	6.35371e+15	1.44193e+15	9.22538e+13	1.29850e+15	9.29425e+13	1.59050e+12	8.86794e+15	1.85185e+13	4.49263e+11	1.08601e+12	1.34966e+14	1.71730e+14	4.40033e+14	2.58311e+14
1.09648e+16	2.97973e+18	4.86734e+14	6.03895e+15	1.31381e+15	9.47692e+13	1.24602e+15	8.07276e+13	1.77033e+12	8.55014e+15	1.52997e+13	3.54131e+11	1.10048e+12	1.41026e+14	1.66665e+14	4.14656e+14	2.28897e+14
1.09647e+16	2.81274e+18	4.82399e+14	5.73811e+15	1.19621e+15	9.72527e+13	1.19446e+15	7.00663e+13	1.96744e+12	8.23178e+15	1.26271e+13	2.78871e+11	1.11244e+12	1.46855e+14	1.61242e+14	3.89836e+14	2.02306e+14
1.09647e+16	2.65563e+18	4.77978e+14	5.45079e+15	1.08841e+15	9.97008e+13	1.14392e+15	6.07746e+13	2.18303e+12	7.91400e+15	1.04106e+13	2.19398e+11	1.12193e+12	1.52391e+14	1.55495e+14	3.65664e+14	1.78375e+14
1.09647e+16	2.50775e+18	4.73486e+14	5.17646e+15	9.89592e+14	1.02111e+14	1.09444e+15	5.26793e+13	2.41851e+12	7.59766e+15	8.57345e+12	1.72432e+11	1.12902e+12	1.57597e+14	1.49480e+14	3.42217e+14	1.56874e+14
1.09647e+16	2.36854e+18	4.68943e+14	4.91469e+15	8.99037e+14	1.04477e+14	1.04610e+15	4.56322e+13	2.67515e+12	7.28366e+15	7.05250e+12	1.35383e+11	1.13379e+12	1.62426e+14	1.43247e+14	3.19556e+14	1.37625e+14
